 	il	a	un	bec-de-lièvre	</S>
w	0.893902	0.0723491	0.0187667	0.0144343	0.0005475
a	0.893906	0.0609104	0.0184983	0.0261923	0.000493024
a	0.163471	0.545871	0.234789	0.00476356	0.0511044
d	0.0809314	0.48136	0.305005	0.0420564	0.0906474
í	0.0198316	0.36839	0.18939	0.00510021	0.417289
l	0.0164617	0.0361216	0.114353	0.0469046	0.786159
a	0.106445	0.165026	0.271607	0.0283206	0.428602
n	0.0858001	0.274246	0.336563	0.129517	0.173874
g	0.0202655	0.153702	0.49019	0.248982	0.0868605
a	0.0316641	0.31461	0.345037	0.158675	0.150014
a	0.0146414	0.0799568	0.248644	0.219335	0.437423
y	0.00771655	0.033944	0.226567	0.390735	0.341038
á	0.0178755	0.0517133	0.441917	0.314452	0.174042
i	0.0181008	0.0146987	0.266378	0.622222	0.0786007
b	0.00333217	0.0152597	0.0891474	0.72866	0.163601
ώ	0.00675543	0.016313	0.0694009	0.874447	0.0330835
l	0.000205975	0.00361429	0.0442471	0.735245	0.216688
i	0.00598587	0.0480245	0.242241	0.259522	0.444227
</S>	0.00118991	0.00669608	0.146835	0.13703	0.708249
