 	c'	est	toi	qui	nous	a	fait	rater	le	voyage	</S>
o	0.443444	0.140636	0.0757772	0.114081	0.00461802	0.0858891	0.0193477	0.0251679	0.0386191	0.0173335	0.0350867
k	0.00633333	0.0125155	0.00969877	0.0751325	0.0300464	0.151751	0.425612	0.106417	0.019798	0.0560971	0.106599
w	0.0121693	0.014119	0.00348551	0.0122893	0.00701911	0.135878	0.505399	0.027882	0.0186112	0.195168	0.0679796
ώ	0.00152902	0.00323405	0.00070763	0.04045	0.241426	0.154927	0.296561	0.106953	0.0244338	0.0946853	0.035093
n	0.0397788	0.0890204	0.203035	0.174274	0.275907	0.0516926	0.0227104	0.0737247	0.0234632	0.0161408	0.0302521
i	0.0314787	0.0273541	0.0384753	0.0270794	0.158057	0.0267017	0.13524	0.221688	0.0609656	0.0753089	0.197651
s	0.0113949	0.0526294	0.129334	0.133194	0.282782	0.0839128	0.0489965	0.085436	0.0805605	0.040016	0.0517441
i	0.0102822	0.00932503	0.0100502	0.056779	0.0400986	0.0427921	0.0541384	0.143016	0.107705	0.0814921	0.444322
b	0.00505819	0.0168246	0.12052	0.180046	0.207643	0.225651	0.0550179	0.0499871	0.0526944	0.0211926	0.0653654
í	0.000873635	0.00161983	0.00217507	0.00483705	0.906157	0.011563	0.00660721	0.0252613	0.0185203	0.0108468	0.0115388
s	0.0003582	0.00139706	0.0171522	0.010226	0.9242	0.00852646	0.00210068	0.0167436	0.00739902	0.00880509	0.0030917
í	0.00196814	0.00389812	0.00946255	0.0125371	0.643279	0.0322002	0.019529	0.100823	0.0470157	0.038353	0.090934
o	0.000545483	0.00101197	0.0131839	0.0520374	0.0664018	0.21317	0.166992	0.210018	0.151331	0.0705655	0.0547428
s	0.000538281	0.000194432	8.55665e-05	0.00125314	0.0027632	0.0289252	0.27207	0.246225	0.164427	0.244702	0.0388149
í	0.000115057	0.000136401	0.000164896	0.00183597	0.0285702	0.00452283	0.0582571	0.694299	0.0605326	0.0985593	0.0530068
n	0.000699252	0.000776956	0.00195158	0.00739175	0.118396	0.0182547	0.0455951	0.34163	0.146614	0.132727	0.185964
á	0.00064176	0.00190128	0.00729751	0.0217954	0.189741	0.0248857	0.0446574	0.371854	0.150648	0.147006	0.0395719
á	0.00340618	0.00395357	0.00793603	0.0215884	0.0987757	0.0801778	0.0296148	0.119612	0.364568	0.154982	0.115386
d	0.00155042	0.00132957	0.00143303	0.00806727	0.0561827	0.0270572	0.0418905	0.234203	0.246192	0.193701	0.188394
z	0.000654556	0.000583514	0.000192159	0.000995381	0.0107508	0.00178112	0.0076905	0.136476	0.0535512	0.0906491	0.696675
e	0.00585426	0.00312636	0.00232675	0.00614309	0.00947083	0.0286198	0.0444538	0.135075	0.224364	0.133426	0.40714
n	0.00192968	0.00261954	0.00306255	0.0111999	0.0107998	0.021053	0.0472656	0.112701	0.205591	0.396112	0.187665
ω	0.000398739	0.000938037	0.000557186	0.00335431	0.00795668	0.00526953	0.0345956	0.130237	0.0901278	0.221773	0.504792
</S>	0.000232509	0.000628197	0.00210117	0.00601803	0.0185356	0.0195545	0.0224844	0.0793362	0.213708	0.0656904	0.57171
