 	sa	barbe	pousse	vite	</S>
l	0.540827	0.388521	0.0652888	0.00403782	0.00132502
ε	0.349531	0.593672	0.0324551	0.0213736	0.00296841
n	0.157631	0.610904	0.0657185	0.0939031	0.0718432
d	0.0462128	0.881633	0.00297857	0.0155575	0.0536181
ε	0.0372737	0.91293	0.00445379	0.00877423	0.0365685
l	0.0585591	0.775603	0.0144231	0.0859241	0.0654907
i	0.171712	0.470959	0.122852	0.0397852	0.194691
l	0.197723	0.0666588	0.693557	0.0158651	0.0261963
á	0.134449	0.0631807	0.530307	0.0177312	0.254332
w	0.751616	0.050856	0.170168	0.0200892	0.00727112
a	0.300744	0.0669201	0.454896	0.123362	0.0540781
l	0.0468533	0.0204676	0.684155	0.130505	0.11802
í	0.0474248	0.015073	0.526262	0.0903949	0.320845
i	0.142215	0.0411507	0.328278	0.325532	0.162824
y	0.00728073	0.012433	0.111512	0.667353	0.201421
ó	0.00232853	0.00779141	0.024515	0.813792	0.151573
l	0.00286234	0.00336961	0.0146925	0.624813	0.354262
á	0.00992105	0.01561	0.0559131	0.468779	0.449777
l	0.0257168	0.00935487	0.109588	0.495893	0.359447
a	0.0129215	0.00528492	0.0522407	0.453372	0.476181
o	0.0131676	0.00395959	0.0291942	0.639122	0.314557
k	0.00729756	0.0257564	0.0171651	0.793854	0.155927
ó	0.00682345	0.0561657	0.0292059	0.597024	0.310781
r	0.000565322	0.00678054	0.0091363	0.569735	0.413782
ó	0.00563541	0.0325631	0.00628654	0.425131	0.530384
</S>	0.034356	0.122447	0.0804338	0.342755	0.420008
