 	le	véhicule	de	nono	est	irréparable	pour	de	bon	</S>
o	0.736922	0.104498	0.0862305	0.0303621	0.024645	0.00125411	0.0119957	0.00348467	0.000495668	0.000112138
t	0.0370534	0.954105	0.00103948	0.00356333	0.000806488	0.00206615	0.000347816	0.000205016	0.000221883	0.000591525
ω	0.0110684	0.966904	0.00210733	0.00475582	0.00305279	0.00700388	0.00123823	0.000983393	0.00215101	0.000734884
m	0.0361358	0.945784	0.0057897	0.00255527	0.000804959	0.00321095	0.00177297	0.000925866	0.00147877	0.00154141
b	0.0439243	0.769844	0.0587553	0.0262728	0.00319941	0.0011354	0.0230303	0.0093515	0.00838954	0.0560976
í	0.158664	0.583407	0.0502555	0.0423452	0.0314956	0.028803	0.0257799	0.00885791	0.00563319	0.0647584
l	0.275568	0.409328	0.181657	0.0306132	0.0209402	0.000647319	0.0237068	0.0149265	0.00643819	0.0361747
i	0.288413	0.396066	0.0535734	0.105224	0.0187647	0.00970047	0.0312802	0.0196215	0.0124599	0.0648971
m	0.171523	0.0632242	0.393712	0.244321	0.0519147	0.00672791	0.0154491	0.0133158	0.00619263	0.0336201
á	0.303695	0.0588915	0.348013	0.0950996	0.138698	0.00378293	0.0148294	0.0104974	0.00168554	0.0248079
n	0.338703	0.0150602	0.343668	0.155136	0.0317304	0.00698921	0.0217059	0.0129418	0.00851417	0.0655512
ω	0.0355088	0.0036756	0.138804	0.788498	0.0156986	0.00199744	0.00312472	0.0023486	0.00116886	0.00917476
n	0.0255937	0.0600862	0.463715	0.251631	0.100619	0.0141589	0.0273589	0.015449	0.00764506	0.0337437
ω	0.0231125	0.0903325	0.138233	0.611177	0.0427641	0.00742884	0.0125495	0.00924085	0.00424315	0.0609179
á	0.0221433	0.00240109	0.425259	0.2062	0.295241	0.0060916	0.0176383	0.0110865	0.00491929	0.00902011
m	0.0199851	0.00363055	0.0452241	0.0461666	0.311588	0.526916	0.0206355	0.00911693	0.00174021	0.0149978
i	0.00604077	0.00184233	0.0534068	0.00678519	0.333358	0.457462	0.0701742	0.0357068	0.00316469	0.0320588
í	0.000866095	0.00165939	0.00383305	0.0312133	0.0280113	0.919073	0.00700954	0.00246797	0.000498544	0.00536769
s	0.00187789	0.00198225	0.00267791	0.00156104	0.0224597	0.93015	0.0172342	0.00576413	0.00167828	0.0146144
á	0.000997606	0.00262485	0.00205172	0.00452279	0.0357627	0.904092	0.0195958	0.0083349	0.00220458	0.0198126
á	0.00269021	0.000782065	0.0267793	0.0100509	0.151653	0.422476	0.125563	0.0874725	0.0436169	0.128916
o	0.00221033	0.000590603	0.0173904	0.0135514	0.107431	0.062606	0.406278	0.286231	0.0888837	0.0148281
w	0.00369079	0.00782414	0.00372997	0.00369831	0.0265727	0.544032	0.198032	0.086893	0.106741	0.0187872
á	0.00251308	0.0260858	0.00483422	0.00511863	0.0446939	0.293142	0.194806	0.114247	0.207961	0.106599
b	0.00248537	0.00336186	0.0078874	0.00183798	0.055277	0.107496	0.19842	0.192439	0.231106	0.19969
v	0.00319607	0.000955842	0.00541769	0.000825455	0.0289856	0.0619616	0.276571	0.159111	0.25329	0.209686
u	0.00745899	0.0169528	0.0115711	0.00215826	0.0528334	0.251013	0.338236	0.140648	0.116573	0.0625565
m	0.0010439	0.00170537	0.00189117	0.00191859	0.00725669	0.00209274	0.295825	0.27832	0.32281	0.0871358
b	0.00673339	0.00236004	0.008929	0.000376983	0.00414578	0.00050208	0.176345	0.331712	0.327413	0.141483
ú	0.012029	0.00195194	0.00833765	0.00690945	0.00415174	0.00104651	0.278625	0.217894	0.356111	0.112944
</S>	0.000810522	0.000334972	0.00106318	0.00179497	0.00475684	0.00134679	0.126519	0.208627	0.413394	0.241352
