 	au	service	on	m'	a	fait	un	crédit	pour	mon	mariage	</S>
e	0.851993	0.112709	0.0188225	0.00497363	0.00188507	0.000844781	0.00146858	0.00142934	0.00191565	0.00383991	7.82059e-05	4.02829e-05
b	0.468264	0.374258	0.0103483	0.00579172	0.0530223	0.0395307	0.0102037	0.0268158	0.00574613	0.000717801	0.00313062	0.00217081
é	0.482699	0.366561	0.0586509	0.00631283	0.00843657	0.0132132	0.00510939	0.0325747	0.0108962	0.00346472	0.00988765	0.00219422
e	0.334622	0.413119	0.0320241	0.00694352	0.011023	0.0327467	0.0178866	0.0294082	0.0175167	0.00486132	0.00485509	0.0949936
y	0.27531	0.479828	0.14513	0.0241674	0.0233456	0.0115957	0.0113762	0.00404961	0.00771173	0.00261174	0.000951202	0.0139221
í	0.327336	0.207149	0.143789	0.0588323	0.0443969	0.0163747	0.0159471	0.00569388	0.0114885	0.0373525	0.0375132	0.094127
s	0.0261621	0.21508	0.444731	0.269009	0.0125091	0.00135493	0.00228084	0.000676474	0.00125908	0.0145797	0.0018351	0.0105227
á	0.0357284	0.65616	0.072398	0.187262	0.0145371	0.00330464	0.00334335	0.00461074	0.00315877	0.00730286	0.00320676	0.00898691
l	0.013793	0.114825	0.543633	0.276112	0.0205811	0.00233499	0.00279109	0.00270267	0.00197617	0.00956295	0.00371706	0.00797035
a	0.0389415	0.0624379	0.493436	0.0922735	0.0361042	0.0166934	0.0238741	0.0153821	0.0252933	0.0595753	0.0227344	0.113255
á	0.0107567	0.0402331	0.530428	0.0978878	0.0747915	0.0274108	0.025258	0.0106753	0.0223913	0.0302981	0.0349649	0.0949042
p	0.00908564	0.0192343	0.0198621	0.0493381	0.335561	0.417248	0.0815511	0.0295723	0.0136312	0.00261158	0.0049919	0.0173125
έ	0.000574097	0.00445756	0.0321521	0.00827271	0.198505	0.57119	0.111348	0.0334731	0.0162413	0.00120087	0.0057118	0.0168735
ε	0.00233594	0.00946024	0.096333	0.0858368	0.123164	0.229698	0.123005	0.0870098	0.0408159	0.0128561	0.0216524	0.167833
n	0.00185311	0.0102133	0.0387632	0.404307	0.0842167	0.0770631	0.222558	0.0910537	0.029857	0.0210969	0.00440529	0.014613
g	0.00498638	0.0429669	0.0286485	0.709353	0.0222993	0.0170371	0.0599177	0.0130122	0.0112312	0.0707332	0.00671066	0.0131036
á	0.00146149	0.0352379	0.0405327	0.791249	0.0236117	0.0104903	0.0379907	0.00406169	0.00418559	0.0341678	0.00524251	0.0117683
e	0.0044977	0.00205527	0.0270682	0.0493851	0.0199506	0.0485115	0.335054	0.257774	0.144869	0.0809777	0.0233554	0.00650196
d	0.0030533	0.00277384	0.00152073	0.00444151	0.0120477	0.0651142	0.229676	0.449174	0.162226	0.00792203	0.053146	0.00890556
i	0.000520039	0.000563966	0.000566331	0.00144773	0.00723002	0.0368492	0.135027	0.688217	0.0882308	0.00462534	0.0185381	0.0181847
m	0.000106965	0.000115812	0.000509918	0.00189281	0.0102613	0.0572343	0.233199	0.513703	0.156032	0.00601115	0.0086821	0.0122513
á	0.000517045	0.000114105	0.00105208	0.003013	0.0100526	0.0222608	0.135472	0.523718	0.174433	0.0488311	0.02536	0.0551767
m	0.00140091	0.000804252	0.0030167	0.00727207	0.00780144	0.0188062	0.0801303	0.191251	0.276714	0.262677	0.110626	0.0395008
í	0.00329673	0.00247672	0.000938048	0.00300201	0.00132306	0.00162031	0.0201476	0.230575	0.193701	0.0664285	0.384927	0.0915635
b	0.000443665	0.000165993	0.00145549	0.00820159	0.00184402	0.00119272	0.00974769	0.0484465	0.110176	0.176156	0.600412	0.0417594
a	0.000527799	0.000587534	0.0032036	0.000608925	0.00103973	0.00464199	0.0186748	0.106298	0.328026	0.054164	0.39218	0.0900485
n	0.000240184	0.00057832	0.00104924	0.00128776	0.000956781	0.00504442	0.0135782	0.0847728	0.241141	0.045707	0.425915	0.179729
d	0.00150617	0.00162228	0.00109227	0.00165261	0.00574478	0.0259694	0.0615094	0.0686578	0.278515	0.144635	0.230387	0.178708
a	0.000740391	0.00147826	0.000739891	0.0017141	0.00389406	0.00834745	0.0323768	0.036529	0.191008	0.127292	0.202479	0.393402
l	0.00091294	0.00225836	0.00190886	0.00626721	0.00476341	0.00962745	0.0508487	0.0177209	0.18452	0.226736	0.165039	0.329397
á	0.00741692	0.00315014	0.00380114	0.0194002	0.0158895	0.0198654	0.0448446	0.0113008	0.0797424	0.385195	0.111226	0.298168
m	0.00308074	0.00298025	0.0148249	0.0279135	0.00326632	0.00190095	0.0114893	0.0108195	0.045679	0.633661	0.136346	0.108038
w	0.00135761	0.00121703	0.00197025	0.00984502	0.00622035	0.0014636	0.015042	0.0510378	0.0688638	0.405291	0.336128	0.101564
á	0.0120808	0.00550525	0.00205602	0.0274749	0.00226281	0.000594143	0.00570161	0.104003	0.0502769	0.183286	0.51295	0.0938085
s	0.00853856	0.000201873	0.000711744	0.00218824	0.000448464	0.000791548	0.00479731	0.0195311	0.0517002	0.627507	0.18537	0.0982134
í	0.00362669	0.00280024	0.000609921	0.00294913	0.00776218	0.0128578	0.0246702	0.0255446	0.0851811	0.140523	0.485408	0.208067
</S>	0.000478175	0.000219225	0.00198368	0.00383041	0.0033293	0.0028988	0.0142526	0.00447311	0.0678392	0.302254	0.0631191	0.535322
