 	ta	part	de	nourriture	est	dans	la	cuisine	</S>
a	0.309785	0.379337	0.117545	0.0732023	0.0173224	0.012893	0.0706329	0.013328	0.00595504
n	0.00749433	0.577896	0.097881	0.0100687	0.0442087	0.0938729	0.0383139	0.126123	0.00414065
ω	0.1716	0.275873	0.158448	0.0384256	0.0268254	0.0752233	0.0437322	0.0120988	0.197773
b	0.111507	0.441712	0.216114	0.0144097	0.027167	0.0559007	0.0332852	0.00154404	0.0983594
e	0.0836999	0.105107	0.351098	0.315094	0.0510311	0.0040533	0.0149517	0.0124884	0.0624767
a	0.112372	0.203752	0.198978	0.0950224	0.0430476	0.0212028	0.0205723	0.00859574	0.296457
b	0.142211	0.147713	0.213973	0.108597	0.138713	0.122584	0.0422982	0.00207185	0.0818398
í	0.0474726	0.113337	0.170496	0.174796	0.222135	0.0974288	0.142124	0.00316316	0.0290483
d	0.286457	0.0943246	0.125178	0.181266	0.0757482	0.055222	0.0556005	0.00831882	0.117885
z	0.0739515	0.0402736	0.0791238	0.0130041	0.332978	0.280491	0.055759	0.00601547	0.118403
á	0.0115258	0.0312439	0.213542	0.0200724	0.327437	0.239585	0.066091	0.0100763	0.080427
a	0.00216151	0.0108918	0.107547	0.0667336	0.384266	0.21813	0.145859	0.0257636	0.0386469
í	0.00258937	0.00817848	0.0251312	0.045227	0.196827	0.484604	0.174805	0.0086352	0.0540032
d	0.00139126	0.0163948	0.0402049	0.0170911	0.21731	0.39231	0.219033	0.0406981	0.0555668
i	0.000209434	0.00105973	0.00145187	0.000401278	0.0486797	0.744691	0.0811425	0.00813996	0.114225
s	0.00049533	0.00125047	0.00802928	0.00718707	0.0963769	0.56999	0.195431	0.0771718	0.0440684
á	0.00101456	0.000831413	0.00465494	0.000996245	0.0966464	0.525067	0.125976	0.104668	0.140146
k	0.00477493	0.0014305	0.0053386	0.00898464	0.0220397	0.0457475	0.0937512	0.752601	0.0653323
ú	0.000258322	0.00060462	0.000708179	0.00130481	0.00286959	0.00448683	0.0166808	0.948024	0.0250628
k	8.09258e-05	7.59083e-05	0.000868628	0.000996961	0.00649581	0.00868564	0.0101024	0.946774	0.0259195
u	0.00172109	0.000569347	0.00166413	0.00387021	0.00731624	0.0158256	0.0485637	0.868249	0.0522207
</S>	0.000682353	0.000865272	0.00905395	0.00985863	0.023343	0.109893	0.260526	0.0545768	0.531201
