 	on	ne	peut	parler	sérieusement	il	blague	toujours	</S>
l	0.815699	0.134539	0.00939379	0.00783049	0.0182026	0.0121176	0.00165781	0.00032685	0.000233195
e	0.558686	0.300885	0.0112979	0.0254698	0.0696274	0.0131937	0.0106695	0.00704056	0.00312934
d	0.415505	0.391215	0.00400467	0.0163621	0.0659074	0.0517198	0.0180842	0.0148349	0.0223669
í	0.0345706	0.560665	0.0606068	0.0368328	0.02378	0.00482565	0.0113721	0.0379807	0.229366
o	0.0384917	0.32372	0.0621024	0.0349085	0.0272886	0.0168632	0.0386222	0.129025	0.328979
b	0.0154847	0.238927	0.648336	0.0467755	0.0176407	0.00332444	0.00815741	0.00807923	0.0132755
h	0.00465669	0.0295593	0.924645	0.0171057	0.0110942	0.00152859	0.00269465	0.00180637	0.00690937
e	0.0016204	0.0165389	0.957487	0.0125271	0.00859744	0.000101601	0.000226069	0.00064371	0.00225742
r	0.0266317	0.0629623	0.697611	0.079198	0.0461471	0.00287127	0.00265809	0.00432131	0.0775994
á	0.103748	0.112565	0.33341	0.0790202	0.245717	0.0201534	0.00918524	0.00335279	0.0928487
ω	0.105336	0.141027	0.150864	0.340102	0.149956	0.0706304	0.02724	0.00602272	0.00882103
s	0.00408268	0.0358843	0.115017	0.645888	0.169536	0.0105033	0.00693647	0.00873851	0.00341368
ε	0.00323931	0.112592	0.121179	0.532542	0.136526	0.00271132	0.00624613	0.0322524	0.0527123
r	0.00152458	0.0578718	0.0399704	0.456945	0.18217	0.015156	0.0269953	0.0482825	0.171085
έ	0.00950802	0.0561272	0.037909	0.262227	0.456856	0.0563527	0.0231164	0.0290883	0.0688159
m	0.0109502	0.0392542	0.0538907	0.324053	0.349892	0.153109	0.0363912	0.00846432	0.0239952
b	0.0166546	0.0159478	0.0207496	0.0275568	0.215334	0.350935	0.295067	0.00675926	0.0509956
v	0.00357877	0.0018948	0.028786	0.0178666	0.785934	0.0948866	0.0491874	0.00473315	0.0131328
a	0.0116368	0.00639908	0.0405102	0.0126836	0.587941	0.193485	0.0900501	0.00418122	0.053113
m	0.00396562	0.00609778	0.0173855	0.0366644	0.66743	0.120528	0.0540376	0.0126432	0.0812477
b	0.0139481	0.0135514	0.0111046	0.0139891	0.253998	0.374992	0.2575	0.0109096	0.0500071
v	0.0112722	0.00771935	0.0162878	0.0152311	0.687188	0.135257	0.0784769	0.0176427	0.0309248
a	0.00807435	0.00516806	0.0140958	0.00883829	0.649539	0.105745	0.0476489	0.00952283	0.151368
k	0.00157682	0.0046461	0.00785446	0.0607934	0.470208	0.201499	0.124715	0.0193594	0.109348
a	0.0143055	0.0151566	0.00539223	0.119121	0.543783	0.0880222	0.0430117	0.087603	0.083605
á	0.00290976	0.00329843	0.00578571	0.038859	0.105708	0.102042	0.184872	0.178267	0.378258
w	0.00168405	0.00469129	0.00316526	0.00482361	0.00541828	0.0278315	0.35249	0.257547	0.342349
a	0.00332469	0.016791	0.0123191	0.0981764	0.0864414	0.0275901	0.116255	0.309909	0.329193
a	0.000471284	0.00198095	0.00109625	0.0127735	0.0147845	0.0254497	0.121267	0.364445	0.457732
d	0.00310655	0.0107724	0.00622181	0.00846853	0.00746335	0.0115144	0.17383	0.360211	0.418411
i	0.000381535	0.00436976	0.000947077	0.0026728	0.00236762	0.002166	0.0422296	0.307223	0.637642
m	0.00062311	0.00249657	0.00087748	0.00608494	0.0153526	0.0120839	0.0678871	0.426036	0.468558
ó	0.0025042	0.02089	0.0118007	0.0211161	0.0481104	0.030098	0.136764	0.442718	0.285999
e	0.00018736	0.0012669	0.00147604	0.00796629	0.0274464	0.0150723	0.144798	0.489037	0.31275
b	0.00102636	0.00406745	0.00389675	0.0152847	0.0188989	0.00506895	0.059339	0.446288	0.44613
h	0.00189918	0.00916981	0.0557302	0.0423861	0.057221	0.00574122	0.0843407	0.494782	0.24873
o	0.000699199	0.00534285	0.0484456	0.0237421	0.0468847	0.0032383	0.0416373	0.499433	0.330577
á	0.000326459	0.000755997	0.00242608	0.00756621	0.0256563	0.00251388	0.0139321	0.204979	0.741844
l	0.00105402	0.00684321	0.00697681	0.0139367	0.0268423	0.0458032	0.12386	0.20413	0.570554
a	0.00384353	0.0129741	0.00734859	0.0280602	0.0457974	0.0164883	0.0600201	0.304225	0.521243
e	0.00600654	0.0067189	0.000672064	0.00996527	0.0412556	0.0856654	0.0854347	0.408803	0.355479
b	0.00433679	0.0146888	0.00671405	0.0332636	0.0531205	0.0183613	0.116773	0.440307	0.312435
h	0.0022383	0.0113791	0.0386717	0.0282907	0.0403616	0.016014	0.0846407	0.384084	0.39432
o	0.00141163	0.00829714	0.0367244	0.012195	0.0479523	0.0051021	0.0415247	0.4627	0.384093
á	0.000514629	0.0012612	0.00357741	0.00981497	0.0275732	0.00250282	0.0144885	0.285828	0.654439
</S>	0.000747367	0.00544982	0.00522846	0.016511	0.0263545	0.0682441	0.126532	0.117876	0.633057
