 	la	bise	et	le	soleil	se	disputaient	chacun	qu'	il	était	plus	fort	</S>
o	0.837125	0.0333312	0.020746	0.0199736	0.0146359	0.0576227	0.0111609	0.00101613	0.00139594	0.00152746	5.85144e-05	0.00121666	0.00017072	1.91558e-05
p	0.0106809	0.980122	0.00194773	0.000749635	0.000543248	0.00096404	0.00128191	0.00190158	0.000271738	0.000208858	0.000265353	0.000265407	0.000328537	0.000469483
ε	0.00115865	0.956132	0.00169174	0.00196999	0.000643238	0.00296806	0.00740789	0.0206917	0.0027607	0.000679705	0.00137904	0.00038036	0.00172032	0.000416367
p	0.0113449	0.865178	0.0186865	0.0199671	0.00488329	0.0159183	0.00408064	0.0433551	0.00758009	0.00199599	0.00225557	0.00131471	0.00110315	0.00233678
ε	0.138644	0.474283	0.0279392	0.0193918	0.0223269	0.0794909	0.0953338	0.00820196	0.0113745	0.046009	0.00941124	0.0124197	0.00528307	0.0498909
m	0.0903581	0.131066	0.137922	0.0627822	0.02455	0.117016	0.0490852	0.0299964	0.0444172	0.0895584	0.0202218	0.0688592	0.00851378	0.125655
á	0.333487	0.0279325	0.168688	0.0677152	0.0312465	0.047538	0.0421414	0.0109859	0.0536733	0.122326	0.0044188	0.0291355	0.00825368	0.0524589
p	0.39994	0.00953522	0.249695	0.117396	0.0522073	0.0527585	0.0209368	0.00993039	0.0153076	0.0309399	0.00623128	0.011215	0.00297417	0.0209318
y	0.103247	0.100958	0.168831	0.0664363	0.0253248	0.047398	0.257076	0.0204038	0.0215461	0.0349982	0.048185	0.0205367	0.0333217	0.0517369
é	0.0166621	0.0664249	0.187015	0.123102	0.0429886	0.0920253	0.227361	0.0133481	0.0333094	0.0908917	0.032319	0.0223563	0.0100144	0.0421819
b	0.0123818	0.0242587	0.0668035	0.0584716	0.0554635	0.0550337	0.227713	0.00503291	0.0263459	0.0789286	0.0395311	0.0322711	0.0362558	0.281509
h	0.0356034	0.0156893	0.203884	0.194866	0.0998239	0.152827	0.0675861	0.0233606	0.0340675	0.0651038	0.0166477	0.0276914	0.00706643	0.0557831
i	0.121391	0.0291896	0.189168	0.116843	0.0707111	0.109304	0.055257	0.0187887	0.0294191	0.055434	0.0138089	0.018091	0.0046797	0.167915
b	0.0219601	0.00101635	0.281421	0.29101	0.129149	0.147155	0.0630494	0.00252207	0.00899647	0.0151476	0.00229268	0.0127259	0.00113756	0.0224164
á	0.0257781	0.00234562	0.041459	0.124811	0.222405	0.295739	0.119295	0.0444717	0.0420166	0.0385459	0.0100441	0.00946394	0.00631649	0.017309
a	0.00556001	4.2507e-05	0.0344077	0.120599	0.137995	0.334451	0.231134	0.00511024	0.0284037	0.0620156	0.00330688	0.0139953	0.0047859	0.0181932
l	0.00490513	0.000692315	0.0816077	0.15634	0.131652	0.325234	0.177421	0.0348248	0.0151058	0.0163191	0.0113765	0.0123284	0.00430427	0.0278879
a	0.00891208	0.0014998	0.0491109	0.126065	0.121933	0.186872	0.155639	0.116811	0.0359898	0.0127938	0.0283004	0.0163165	0.0113028	0.128454
m	0.00149376	0.000205032	0.059564	0.145134	0.118674	0.289837	0.247019	0.0603616	0.0271217	0.0110887	0.00911941	0.00539724	0.00421595	0.0207677
w	0.00244865	6.44339e-05	0.0129366	0.115295	0.557898	0.0801459	0.0505386	0.0939225	0.0634699	0.0139357	0.00318114	0.000557768	0.00124931	0.00435635
é	0.000864932	5.98955e-05	0.00360727	0.0462088	0.644863	0.0406066	0.0517578	0.059199	0.103023	0.0240311	0.00650653	0.00082145	0.00192019	0.0165298
s	0.0080317	3.21616e-05	0.0446271	0.262264	0.441786	0.0488276	0.0207479	0.0421317	0.0871175	0.0272794	0.000905425	0.00343089	0.000720546	0.0120987
é	0.00263565	0.000233011	0.00870091	0.0616213	0.448275	0.0644171	0.0821045	0.0743921	0.0949582	0.0215924	0.0124309	0.00606938	0.00745323	0.115116
á	0.00187165	0.000236188	0.0272908	0.0472964	0.052571	0.245141	0.32048	0.13512	0.0695784	0.056159	0.013031	0.0143486	0.00208441	0.014792
d	0.0067601	0.00286417	0.0192436	0.0238779	0.0315372	0.0947232	0.124536	0.34885	0.102178	0.0471022	0.117321	0.0361598	0.0107627	0.0340846
z	0.00241339	0.000351113	0.0038609	0.00994816	0.0222469	0.0466393	0.150163	0.241667	0.0598801	0.0297971	0.137658	0.0269071	0.0184567	0.25001
a	0.00295962	0.000412156	0.00376471	0.0163144	0.112299	0.0313737	0.101757	0.288709	0.112038	0.0320985	0.247202	0.00438663	0.0167605	0.0299245
b	0.00183887	0.000211749	0.00541905	0.0155629	0.0165711	0.140174	0.146295	0.121408	0.12755	0.126273	0.144488	0.0791215	0.0112869	0.0637998
á	0.00329572	0.000125656	0.00972862	0.0430071	0.108258	0.284906	0.110819	0.14436	0.163348	0.0431047	0.0220151	0.0362588	0.00617446	0.024598
a	0.000465157	1.14361e-05	0.00282128	0.00967759	0.0174677	0.105236	0.0819444	0.0325617	0.214249	0.43554	0.0300904	0.0397414	0.0078691	0.0223248
d	0.00053278	0.000386552	0.00576752	0.00473084	0.00237395	0.0187864	0.0313931	0.213122	0.140691	0.1256	0.229006	0.112718	0.0262966	0.0885952
z	0.000216736	5.88156e-05	0.00435769	0.0136835	0.0190513	0.0204233	0.0147065	0.348488	0.15622	0.0198116	0.241654	0.0328515	0.0350365	0.0934398
ω	0.000166762	7.76555e-05	0.00178905	0.00617259	0.0294419	0.0118296	0.0203006	0.23729	0.13503	0.0292008	0.447729	0.00942107	0.0459334	0.0256175
