 	ca	c'	est	mon	étang	</S>
y	0.600245	0.336736	0.0566326	0.00539011	0.000275321	0.000721227
é	0.755135	0.166429	0.00820417	0.00923959	0.0513082	0.0096843
e	0.673498	0.241121	0.00473463	0.0101427	0.0562756	0.0142288
d	0.429289	0.313362	0.12916	0.00793512	0.0199403	0.100314
u	0.232569	0.0942577	0.0733409	0.00452381	0.0194626	0.575846
b	0.530739	0.173945	0.130242	0.0780006	0.0253026	0.0617716
h	0.0954131	0.114924	0.283061	0.234354	0.0466638	0.225584
u	0.418803	0.114401	0.103585	0.0896884	0.0841056	0.189418
l	0.132733	0.0876533	0.321923	0.233844	0.0468129	0.177033
u	0.0591613	0.0370854	0.217197	0.150602	0.146362	0.389592
y	0.0530558	0.0160602	0.0341759	0.0920009	0.351055	0.453653
á	0.04797	0.0322833	0.0829352	0.160405	0.441085	0.235322
n	0.0119303	0.00702655	0.0201309	0.307533	0.465702	0.187677
g	0.00733421	0.00586253	0.00954958	0.433956	0.2769	0.266398
á	0.00400156	0.00247089	0.00742452	0.188295	0.3566	0.441208
</S>	0.00706561	0.00651043	0.0599145	0.0948285	0.0926979	0.738983
