 	la	vache	beugle	</S>
n	0.415094	0.583807	0.000928714	0.000170751
g	0.0563671	0.94362	8.1888e-06	5.08497e-06
w	0.0278998	0.96778	0.00430934	1.07159e-05
έ	0.388787	0.577989	0.0230509	0.0101734
m	0.569442	0.201853	0.147882	0.0808219
b	0.234533	0.537404	0.182426	0.0456361
ε	0.489674	0.179789	0.255945	0.0745918
l	0.0690625	0.0198435	0.648728	0.262366
á	0.0217625	0.0210879	0.219082	0.738067
a	0.420574	0.0124714	0.320668	0.246287
l	0.0317376	0.0025733	0.083573	0.882116
e	0.0144526	0.000301683	0.0504368	0.934809
a	0.00941782	8.93551e-05	0.00552161	0.984971
</S>	0.0189004	0.00191743	0.0131545	0.966028
