 	son	nez	est	bouché	</S>
w	0.96402	0.0216507	0.0122129	0.00126152	0.000855269
a	0.966766	0.0125143	0.0191914	0.00134028	0.000188125
p	0.828306	0.11842	0.0382525	0.00283094	0.0121898
e	0.0822597	0.817713	0.0180305	0.011854	0.0701428
m	0.141597	0.730136	0.0337079	0.00487086	0.0896884
b	0.328743	0.558563	0.0866424	0.00134123	0.0247098
á	0.0486614	0.891975	0.0142882	0.00677531	0.0382999
é	0.286664	0.10511	0.550438	0.00221425	0.0555741
d	0.0352856	0.0274339	0.818461	0.0219633	0.0968565
í	0.00248359	0.021916	0.423231	0.00752776	0.544842
e	0.0149413	0.0179133	0.604642	0.0386672	0.323836
k	0.00766329	0.0157816	0.111488	0.740202	0.124865
í	0.00391753	0.0832074	0.0353711	0.799642	0.0778622
n	0.00667928	0.214384	0.0323112	0.601462	0.145163
d	0.0196269	0.0396625	0.100701	0.544143	0.295867
á	0.0301559	0.039827	0.125545	0.309422	0.495049
k	0.0309632	0.00786229	0.145366	0.615805	0.200003
i	0.0182333	0.0509957	0.0572818	0.819656	0.0538328
n	0.00431574	0.138403	0.0325012	0.475572	0.349208
d	0.00416235	0.0315628	0.00687606	0.878514	0.0788843
a	0.00867546	0.00692965	0.0160723	0.758448	0.209875
</S>	0.00743682	0.00148379	0.0604959	0.267555	0.663029
