 	le	forgeron	polit	le	manche	de	la	houe	</S>
o	0.983642	0.0120961	0.0017001	0.00138372	0.000343001	0.000447409	0.000315731	3.83936e-05	3.32466e-05
k	0.051922	0.938695	0.00769011	0.000310603	0.000243883	0.000200408	0.000188785	0.000433057	0.000316135
u	0.00155633	0.997002	0.000555907	4.68138e-05	0.000213828	0.000144128	8.70366e-05	0.000163315	0.000230141
b	0.000845696	0.996613	0.000501664	0.000166051	0.000897752	0.000285453	0.000263574	0.000146048	0.000280253
h	0.154982	0.612906	0.0128162	0.0223339	0.0339789	0.0585036	0.0430264	0.0320374	0.0294146
a	0.274832	0.677497	0.0194691	0.00708256	0.00690696	0.00310874	0.001428	0.000657485	0.00901795
l	0.319728	0.0121854	0.127723	0.17359	0.0503413	0.0794475	0.0463206	0.0186691	0.171994
á	0.146855	0.0015516	0.0644162	0.121198	0.045184	0.0842447	0.0304537	0.0374581	0.468638
a	0.710083	0.000457892	0.035996	0.185687	0.0322542	0.0116253	0.00855142	0.00446065	0.0108848
b	0.0113938	0.0267772	0.826875	0.0741648	0.0467023	0.00327431	0.00152436	0.00101234	0.00827568
h	0.00183729	0.0221087	0.88985	0.0649546	0.00876555	0.00246278	0.00178129	0.000776416	0.0074629
ε	0.00114424	0.0203025	0.93593	0.0206895	0.0131957	0.00195876	0.000847099	0.00103919	0.0048931
n	0.028931	0.00267725	0.42534	0.217025	0.0719793	0.088836	0.0424031	0.0447734	0.0780353
g	0.0555703	0.00118417	0.0562617	0.29363	0.394738	0.129633	0.0274634	0.012614	0.028905
έ	0.10497	0.000319799	0.0257324	0.372024	0.190187	0.197059	0.0416311	0.0314768	0.036599
p	0.00138983	0.000194821	0.00158006	0.275989	0.523925	0.147991	0.0344767	0.0107355	0.00371784
á	0.00457925	0.000374154	0.000875028	0.0926919	0.789593	0.0855183	0.0143163	0.00251965	0.00953238
n	0.000802555	0.0011661	0.00294667	0.0742591	0.789919	0.0468203	0.0105101	0.00545231	0.0681235
d	0.000442105	0.00119542	0.00631602	0.229305	0.502923	0.141922	0.029342	0.0283653	0.0601889
e	0.000235187	0.000399756	0.00168647	0.0772986	0.370788	0.169727	0.037655	0.110717	0.231494
y	0.00044549	6.31921e-05	0.000739452	0.108194	0.179869	0.390003	0.146534	0.0890814	0.0850702
é	0.0123157	0.000229437	0.000934825	0.0302432	0.164807	0.26059	0.222131	0.263186	0.0455623
s	0.000330301	8.74154e-05	0.000198378	0.0143547	0.0479339	0.187471	0.225882	0.429461	0.0942812
έ	8.56298e-05	1.79157e-05	0.0001644	0.00168646	0.00532772	0.0260826	0.0671894	0.856421	0.0430249
έ	0.000247919	6.86894e-06	3.65916e-05	0.00445919	0.0161301	0.054464	0.0699961	0.654265	0.200394
</S>	0.000446237	6.4467e-05	0.000184404	0.00644922	0.00887203	0.0705033	0.211307	0.353775	0.348399
