 	cet	enfant	grandit	vite	</S>
m	0.4577	0.541011	0.000998065	0.000120612	0.000169431
w	0.0959985	0.896351	0.00696139	9.24314e-05	0.000596752
á	0.0145002	0.985116	0.000310532	3.52039e-05	3.80195e-05
n	0.111784	0.8749	0.000342121	0.000111507	0.0128622
a	0.0693884	0.585805	0.0229744	0.00529829	0.316534
w	0.885505	0.0795759	0.0234486	0.00416062	0.00731032
ó	0.480841	0.0705586	0.0762866	0.0612697	0.311044
a	0.0961985	0.0302305	0.609282	0.0375814	0.226707
d	0.00387488	0.00242709	0.90292	0.0257996	0.0649788
í	0.00641106	0.00167507	0.920845	0.0127408	0.0583278
l	0.0246469	0.00742165	0.502429	0.143354	0.322149
a	0.00209732	0.00122802	0.309627	0.346899	0.340148
d	0.00312205	0.00103185	0.196858	0.733079	0.0659092
z	0.00347004	0.000211911	0.0227648	0.934709	0.0388441
ó	0.00831944	0.00235806	0.0248173	0.8901	0.0744056
l	0.0177988	0.00154811	0.019326	0.681152	0.280175
a	0.000480831	0.000134581	0.0205051	0.308662	0.670217
</S>	0.00407252	0.000534022	0.0114835	0.138263	0.845647
