 	les	safous	sont	mûrs	</S>
s	0.833866	0.160544	0.00517764	0.000269395	0.000143095
á	0.145894	0.834808	0.0109592	0.000889772	0.00744829
á	0.137924	0.76407	0.0107641	0.0211929	0.0660483
é	0.101845	0.230259	0.587456	0.0525689	0.0278708
m	0.0289771	0.0294087	0.538969	0.338998	0.0636467
i	0.0272691	0.0286866	0.206434	0.500873	0.236737
b	0.00776595	0.000851954	0.00914179	0.922009	0.0602313
h	0.00131377	5.74302e-05	0.000676647	0.983115	0.0148371
í	0.000361751	3.50654e-05	0.000834783	0.987642	0.0111262
n	0.131252	0.0052577	0.0467013	0.285497	0.531292
d	0.0939022	0.00279881	0.00673926	0.247641	0.648919
a	0.0321133	0.00743219	0.0183471	0.100638	0.84147
</S>	0.0477879	0.0102344	0.241601	0.0882641	0.612113
