 	j'	ai	acheté	des	tissus	de	raphia	pour	confectionner	une	robe	pour	la	danse	kyebé-kyebé	</S>
n	0.904432	0.0515589	0.0048814	0.0285515	0.00306778	0.0033329	0.0011103	0.00102982	0.000369863	0.00076733	0.000270693	0.00016696	9.57465e-05	0.000211673	0.000128257	2.52357e-05
g	0.936219	0.0528196	0.00624613	0.00348296	2.38283e-05	0.000587141	0.000211705	0.000139374	2.13991e-05	8.89455e-05	2.52194e-05	2.78817e-05	4.03647e-05	5.10368e-05	4.8974e-06	1.03575e-05
á	0.857976	0.104718	0.0303585	0.00409732	0.00041103	0.000784674	0.000552648	0.00032977	0.000330714	0.000141459	0.000123754	3.10248e-05	7.14551e-05	6.57283e-05	3.53279e-06	4.09785e-06
í	0.0213838	0.333392	0.200306	0.140143	0.0103579	0.0362036	0.00725486	0.0430045	0.00428497	0.0149562	0.00912875	0.0217814	0.0170978	0.0102856	0.000220465	0.130199
s	0.0111385	0.2682	0.656628	0.0169514	0.0187683	0.00455593	0.00377426	0.00840365	0.00109557	0.00100409	0.00213445	0.0013112	0.00155387	0.000799069	8.16325e-05	0.00359998
ó	0.00261857	0.0643583	0.923757	0.000674516	0.00118837	0.000470925	0.00231787	0.00076705	0.000661999	0.00042063	0.00038276	0.000228091	0.000529276	0.00012469	2.00495e-05	0.00147945
m	0.0134224	0.27899	0.645824	0.00957517	0.00292335	0.00459346	0.0111181	0.0035405	0.00415193	0.00449642	0.000892229	0.00227397	0.0033174	0.000777241	0.000128279	0.0139757
b	0.00315342	0.0327635	0.946762	0.00144523	0.00471293	0.00114167	0.00504529	0.000313614	0.00151312	0.000917203	0.000183535	0.000236686	0.000292385	9.20065e-05	0.000275987	0.00115152
i	0.00554	0.168058	0.219788	0.142514	0.135164	0.110721	0.0454497	0.0264914	0.00593093	0.013621	0.0142383	0.0160312	0.015625	0.00592935	0.000582582	0.0743146
i	0.0222718	0.0711154	0.00463068	0.636334	0.0421696	0.128566	0.0509013	0.0143741	0.00164641	0.0057665	0.00157433	0.00588241	0.00318012	0.00347489	0.00318953	0.00492291
