 	toute	ma	famille	habite	à	brazaville	</S>
o	0.716718	0.0716763	0.203169	0.00280492	0.00445121	0.000951108	0.00022936
k	0.546731	0.117825	0.203778	0.0376963	0.0196589	0.0655703	0.00874028
u	0.130644	0.00765199	0.623381	0.122693	0.0359875	0.0541995	0.0254429
l	0.0751845	0.0265653	0.269726	0.489307	0.0321682	0.0832599	0.0237898
u	0.480334	0.298151	0.109006	0.0262679	0.00997947	0.0542419	0.0220204
m	0.312315	0.183112	0.396404	0.0299038	0.0148843	0.000875888	0.062505
á	0.079311	0.7292	0.124921	0.0270324	0.0134794	0.00394818	0.0221079
n	0.184321	0.435464	0.280062	0.0733798	0.0151935	0.00346883	0.00811068
g	0.00799499	0.937951	0.011853	0.00155995	0.00100782	0.0299351	0.00969775
á	0.0169984	0.69395	0.0517445	0.00807127	0.00350277	0.195813	0.0299202
ó	0.0300736	0.152693	0.435372	0.170444	0.149003	0.0371691	0.0252455
t	0.0346166	0.034891	0.0734236	0.382171	0.458404	0.0067594	0.00973508
s	0.0104997	0.00791887	0.0889394	0.484314	0.360893	0.00461904	0.0428159
ω	0.0166057	0.0201544	0.198072	0.33576	0.34407	0.0134688	0.0718686
ó	0.0196496	0.143272	0.190664	0.115649	0.344288	0.0365223	0.149956
d	0.0110147	0.0264041	0.0342081	0.0483516	0.747594	0.0381955	0.0942325
i	0.00230385	0.00624851	0.00457848	0.0239249	0.257371	0.0528855	0.652688
ó	0.00414633	0.0111261	0.00744947	0.0567642	0.581503	0.0655855	0.273425
n	0.0244243	0.0107423	0.0146848	0.055088	0.316676	0.464397	0.113987
g	0.00326845	0.0413587	0.00182204	0.00173268	0.0136255	0.856271	0.0819216
y	0.000176744	0.00613715	0.00106798	0.000394583	0.00353602	0.976161	0.012527
ε	0.000201721	0.00150746	0.000818839	0.00113242	0.0149206	0.793678	0.187741
l	0.00301384	0.00988157	0.00767146	0.0043867	0.0318789	0.427601	0.515566
έ	0.000201455	0.000261129	0.00117937	0.0010793	0.0637981	0.309625	0.623856
</S>	0.000946962	0.00148107	0.00189004	0.00162028	0.115686	0.100223	0.778153
