 	quelle	est	la	préférée	parmi	tes	femmes	</S>
s	0.515081	0.326756	0.109082	0.0155131	0.0144237	0.0148226	0.00240949	0.001912
á	0.630798	0.11649	0.040709	0.0200685	0.0521768	0.0836688	0.0291694	0.0269193
b	0.227559	0.282921	0.314137	0.0987713	0.0152926	0.0327312	0.0262142	0.0023738
á	0.0244076	0.122956	0.089479	0.0607929	0.0283971	0.050078	0.61123	0.0126592
s	0.0347051	0.182122	0.510126	0.0669553	0.0387217	0.0364621	0.0398363	0.0910711
i	0.153479	0.17365	0.208194	0.0604093	0.101875	0.126806	0.0794194	0.0961673
b	0.144541	0.109864	0.48205	0.105751	0.0683355	0.0270566	0.0230821	0.0393199
á	0.149221	0.14341	0.31639	0.0989743	0.0907717	0.0735346	0.0199609	0.107738
n	0.118678	0.0297387	0.305086	0.0550657	0.237495	0.119814	0.0762239	0.0578986
ω	0.0526968	0.00968933	0.111118	0.0455979	0.135862	0.234647	0.394134	0.016255
k	0.0210843	0.0528962	0.251309	0.132337	0.146889	0.079931	0.0872394	0.228315
w	0.0825846	0.0680424	0.212985	0.378556	0.108865	0.037118	0.0218005	0.0900479
é	0.00678713	0.0188809	0.28365	0.223708	0.250058	0.133884	0.0344001	0.0486321
n	0.0439555	0.0175781	0.211559	0.232121	0.193476	0.139662	0.0587859	0.102863
d	0.0246171	0.0129172	0.133812	0.493281	0.115519	0.0814437	0.0374277	0.100983
é	0.00671913	0.0124849	0.0715696	0.554893	0.0802594	0.0563479	0.0847238	0.133002
n	0.0286543	0.0234477	0.160615	0.0376493	0.398404	0.117403	0.12517	0.108657
d	0.0242724	0.0172459	0.0730167	0.0694996	0.287473	0.163892	0.191511	0.173089
a	0.00224261	0.00264029	0.0331276	0.0603057	0.207466	0.234998	0.269752	0.189468
</S>	0.00334353	0.00465753	0.0626197	0.0633792	0.206138	0.0664518	0.109755	0.483655
