 	notre	père	fume	la	pipe	</S>
t	0.667583	0.32142	0.00674346	0.00295967	0.00103945	0.000254279
á	0.0427956	0.914978	0.0267803	0.00745901	0.00621521	0.00177213
á	0.00968273	0.910165	0.0415147	0.0112503	0.00745102	0.0199364
y	0.425512	0.377852	0.0518047	0.0224225	0.00773416	0.114675
a	0.501038	0.268877	0.1023	0.0272418	0.00772195	0.0928208
b	0.969375	0.00593173	0.00727708	0.00208979	0.000371954	0.0149548
í	0.844382	0.034272	0.0823702	0.0154765	0.0150954	0.00840435
s	0.982625	0.00405057	0.00451136	0.0011471	0.00565602	0.00201007
í	0.463137	0.009876	0.342424	0.0257789	0.0171743	0.14161
l	0.0276917	0.0501152	0.438656	0.287866	0.0307336	0.164938
á	0.0303533	0.00928742	0.271396	0.0655655	0.0118582	0.611539
a	0.287339	0.0153759	0.262249	0.188992	0.115726	0.130318
n	0.0201086	0.0148201	0.623738	0.260303	0.0451947	0.0358358
y	0.00501807	0.000942515	0.753312	0.175797	0.0227641	0.0421659
w	0.135351	0.000583645	0.700303	0.11943	0.0137838	0.0305481
á	0.0188352	0.00110831	0.734783	0.119696	0.0217304	0.103847
á	0.0209982	0.00072806	0.077824	0.195432	0.0880723	0.616946
m	0.0598752	0.00281802	0.0662811	0.494439	0.182028	0.194559
b	0.00419284	0.000788455	0.0110459	0.0681354	0.779833	0.136004
έ	0.000474529	9.77339e-06	0.00351702	0.017902	0.969013	0.00908382
ε	0.00765362	1.27495e-05	0.00723187	0.0288397	0.740549	0.215713
</S>	0.00328944	9.75965e-05	0.0157961	0.169405	0.25393	0.557482
