 	il	est	à	bout	de	forces	</S>
w	0.748156	0.137451	0.0390022	0.0194339	0.0302537	0.0223981	0.00330459
a	0.64504	0.0631573	0.0176027	0.0533179	0.162368	0.0573217	0.00119217
á	0.272105	0.494257	0.103644	0.0419657	0.0276141	0.0121882	0.0482256
m	0.0568866	0.514355	0.322054	0.0480478	0.018075	0.00751825	0.0330632
i	0.0122433	0.191758	0.317414	0.0784409	0.0309412	0.00338321	0.36582
s	0.0127392	0.132158	0.518063	0.129711	0.0262166	0.00656951	0.174543
á	0.00187076	0.182622	0.46056	0.143374	0.0144318	0.0551787	0.141963
á	0.0159536	0.072006	0.160679	0.0739383	0.0248648	0.0489791	0.603579
o	0.0775499	0.0853506	0.250134	0.293897	0.148874	0.115393	0.0288016
s	0.00539775	0.0321414	0.141046	0.278154	0.107754	0.297315	0.138191
ú	0.00174877	0.0623743	0.253488	0.305484	0.0843879	0.164363	0.128154
a	0.00284906	0.0183745	0.0672752	0.156019	0.0860179	0.185157	0.484307
</S>	0.00210116	0.0062583	0.0508456	0.118343	0.185799	0.0559829	0.58067
