 	elle	lui	donne	un	coup	de	bâton	</S>
w	0.825402	0.126819	0.0289278	0.00529612	0.00287998	0.00888986	0.00115756	0.000627948
a	0.9624	0.0272179	0.00278418	0.00173789	0.00103815	0.0021642	0.00253173	0.000125847
a	0.0818393	0.681316	0.216759	0.0101525	0.00271733	0.00384603	0.000242941	0.00312686
p	0.025195	0.504052	0.322845	0.0762168	0.0363656	0.0152292	0.00141706	0.0186787
í	0.00467588	0.10947	0.261256	0.458563	0.0984244	0.0163919	0.00192941	0.0492887
m	0.00387608	0.0953827	0.462186	0.294583	0.0798964	0.0134435	0.00171191	0.0489204
b	0.0111886	0.0895807	0.550663	0.256416	0.0621421	0.00686782	5.74135e-05	0.0230845
í	0.0412876	0.116568	0.168831	0.335867	0.185446	0.0517361	0.00123797	0.0990256
w	0.11243	0.233279	0.262188	0.162292	0.135319	0.05475	0.00527497	0.034469
a	0.0411018	0.111035	0.353914	0.322673	0.0861021	0.0464481	0.00145001	0.0372759
i	0.00761158	0.0322616	0.170839	0.169195	0.277037	0.263924	0.0049575	0.0741736
b	0.00110675	0.00673475	0.0213426	0.0904187	0.127994	0.480534	0.188895	0.0829738
v	0.000504666	0.00446228	0.00456417	0.0228322	0.0314024	0.227244	0.691447	0.0175435
ú	0.000365267	0.00582217	0.01391	0.0573238	0.0597211	0.245413	0.573214	0.0442298
a	0.000760053	0.00881365	0.0123252	0.0238985	0.127773	0.299791	0.349717	0.176922
</S>	0.000321227	0.0032138	0.012706	0.0204023	0.109909	0.50062	0.0915763	0.261251
