 	mon	champ	de	du	sésame	est	distant	des	leurs	</S>
l	0.29969	0.294436	0.228937	0.0680035	0.0676657	0.0179673	0.0140301	0.00804501	0.000943995	0.000281841
e	0.0478475	0.547739	0.206314	0.0892779	0.0382802	0.0101078	0.0144063	0.0293408	0.00912079	0.00756604
b	0.0272935	0.52197	0.119477	0.0972608	0.0736342	0.0179395	0.0268497	0.0374537	0.0202964	0.0578248
h	0.0484112	0.053922	0.439715	0.11545	0.0633041	0.075311	0.0376588	0.0229494	0.101973	0.0413048
ó	0.0132699	0.0732508	0.39526	0.213072	0.14916	0.0303734	0.0153302	0.0117203	0.0344611	0.0641013
n	0.15514	0.277333	0.370893	0.0948457	0.06832	0.0114382	0.00470567	0.00686643	0.00238273	0.00807514
d	0.121568	0.298543	0.290465	0.0608295	0.069159	0.0295456	0.0143188	0.00918171	0.00624836	0.100141
á	0.171651	0.485695	0.1651	0.071419	0.0230307	0.00567477	0.0194673	0.00430328	0.00448637	0.0491721
l	0.284437	0.0307174	0.3459	0.212247	0.0205315	0.0284342	0.0242621	0.0287479	0.00754075	0.0171814
á	0.467077	0.0106442	0.177031	0.116508	0.0196412	0.0215108	0.0253809	0.0372948	0.00934614	0.115566
n	0.603741	0.0174947	0.075021	0.105155	0.139166	0.0180094	0.0126375	0.00862635	0.00688762	0.0132623
g	0.515274	0.0664016	0.108995	0.139275	0.0234877	0.00559829	0.102059	0.0137727	0.00818991	0.0169468
á	0.102759	0.32624	0.119228	0.236305	0.11501	0.00469077	0.0649917	0.00737665	0.00596194	0.0174362
í	0.0621608	0.00291621	0.18139	0.407465	0.167444	0.104125	0.0254145	0.0318697	0.00672255	0.0104911
d	0.00885305	0.00359932	0.112877	0.240844	0.271265	0.165593	0.0481218	0.100238	0.0175719	0.0310359
i	0.00442789	0.00010301	0.0770211	0.379689	0.0262392	0.0691366	0.0647056	0.135457	0.0238189	0.219402
n	0.00421513	0.000106839	0.0284411	0.15753	0.241668	0.157452	0.0516933	0.229312	0.0226012	0.106981
é	0.0253928	0.00135303	0.0121508	0.0725429	0.0296695	0.0577179	0.678957	0.0887784	0.0168562	0.0165812
é	0.00067693	0.000407988	0.0399331	0.102143	0.136158	0.175016	0.18253	0.251427	0.0227045	0.0890036
l	0.00302063	0.000599323	0.0142337	0.0479754	0.178583	0.177222	0.120654	0.262761	0.0936202	0.101332
a	0.0015242	6.53548e-05	0.00844145	0.024614	0.0510998	0.13214	0.0794779	0.393832	0.107724	0.201081
b	0.000897404	0.000163963	0.00384277	0.0168185	0.0332136	0.197904	0.119312	0.205055	0.281166	0.141626
á	0.00406663	0.000230551	0.0181318	0.0270645	0.0707975	0.209018	0.0544834	0.109464	0.456282	0.0504619
a	0.002153	0.000154153	0.00416767	0.0158182	0.0293899	0.134851	0.0627356	0.0891061	0.472065	0.189559
</S>	0.000893195	4.70995e-05	0.00465928	0.00728832	0.00297823	0.0235738	0.0546404	0.408343	0.240979	0.256597
