 	après	la	mort	de	lazare	jésus	le	ressuscita	</S>
l	0.52062	0.352323	0.0347289	0.0220704	0.0120337	0.0341308	0.0213922	0.000385677	0.00231526
a	0.534126	0.348639	0.0488446	0.0184301	0.0080157	0.0205291	0.0119166	0.00448531	0.0050136
d	0.307632	0.40943	0.0890942	0.0376036	0.0238255	0.0279111	0.0146321	0.021576	0.0682957
z	0.162933	0.297067	0.0583674	0.0256876	0.155027	0.137303	0.0031973	0.042739	0.11768
á	0.207575	0.250417	0.0698096	0.0232819	0.0880518	0.178853	0.0108407	0.0198936	0.151277
á	0.0249825	0.308805	0.210647	0.0879172	0.0233374	0.0984764	0.0913627	0.00379034	0.150682
r	0.0576637	0.245383	0.293907	0.149004	0.0842727	0.0371553	0.0197601	0.0112037	0.101651
e	0.306443	0.0936083	0.113112	0.0283371	0.263656	0.0251467	0.0037793	0.107849	0.0580695
l	0.020593	0.120127	0.396728	0.256567	0.0491287	0.0382779	0.00933841	0.0223171	0.086923
ó	0.0351705	0.064059	0.310511	0.19808	0.096137	0.0412164	0.0161004	0.00978548	0.22894
w	0.0148482	0.0647429	0.220597	0.304314	0.160666	0.0954234	0.0313241	0.016367	0.0917177
á	0.00562359	0.0789741	0.425463	0.204174	0.0790674	0.062622	0.0696612	0.00812607	0.066289
a	0.00433171	0.0293097	0.137478	0.227407	0.241596	0.116659	0.0516142	0.0108425	0.180761
y	0.000922111	0.00585309	0.0380762	0.20307	0.218119	0.424748	0.0458218	0.016856	0.0465337
e	0.000463373	0.0041725	0.0278556	0.101488	0.189782	0.597607	0.0182178	0.00818943	0.0522238
s	0.000364851	0.00122702	0.0135323	0.0795159	0.163875	0.660701	0.0333227	0.00387761	0.0435837
ú	0.000565515	0.00225664	0.0155955	0.0670285	0.229727	0.612591	0.0365308	0.00681157	0.0288938
a	0.000185893	0.000766957	0.00617264	0.078626	0.124388	0.671895	0.100036	0.00217024	0.0157592
l	0.000778534	0.00367242	0.0124876	0.0670422	0.0641102	0.209128	0.501007	0.0626006	0.0791727
a	0.00147514	0.00741202	0.0232057	0.0604299	0.0649996	0.180241	0.124901	0.163338	0.373997
n	0.00137904	0.00167652	0.00413297	0.0231346	0.0617057	0.105354	0.35462	0.351565	0.0964322
g	0.00569634	0.000695263	0.00157615	0.00329997	0.117697	0.0225246	0.0131294	0.817435	0.0179462
í	0.00097352	0.000117637	0.000288525	0.000514277	0.00970997	0.00287128	0.00297728	0.979236	0.00331168
s	0.000389621	0.00522974	0.0151621	0.0385617	0.0332484	0.033335	0.300284	0.273884	0.299905
í	0.00144667	0.00309907	0.00596207	0.0145065	0.0293576	0.0679425	0.0984269	0.355979	0.423279
w	0.000564102	0.00175593	0.00262694	0.0104565	0.022107	0.0626172	0.276679	0.219668	0.403526
a	0.00029882	0.00508841	0.0117621	0.0207585	0.0134091	0.0479891	0.522216	0.185752	0.192726
</S>	0.000317353	0.000810406	0.00226241	0.00591596	0.00666281	0.0144333	0.260062	0.160401	0.549135
