 	cette	fille	est	calme	si	bien	qu'	il	te	faut	la	prendre	en	mariage	</S>
m	0.600941	0.25304	0.0163584	0.00228616	0.0216231	0.018997	0.0109711	0.0102665	0.0257222	0.0314678	0.00411958	0.000966667	0.00261297	0.00030083	0.000326612
w	0.00975137	0.982825	0.00301529	0.000121052	0.00148293	0.000128868	0.000185788	0.000430965	0.000271193	6.08987e-05	0.000133836	7.28448e-05	0.000178514	2.0605e-05	0.00132046
á	0.00305034	0.996341	0.000159962	2.9297e-05	0.000350074	1.00452e-05	1.71963e-05	2.10594e-05	5.41728e-06	2.60573e-06	2.57674e-06	1.58076e-06	1.14081e-06	3.3038e-06	3.98664e-06
n	0.118512	0.866579	0.00330018	0.000171899	0.00502297	0.00140702	0.00129839	0.00099583	0.000374081	0.000294326	0.000393527	0.000145187	0.000282234	4.77551e-05	0.00117581
a	0.0941018	0.327588	0.0668882	0.0304449	0.118782	0.0300517	0.0532154	0.064122	0.0136268	0.00859491	0.014257	0.0262169	0.00636884	0.0057218	0.14002
o	0.886572	0.0420218	0.0134261	0.00734464	0.00676069	0.00641896	0.00637141	0.00494455	0.00681604	0.00438154	0.0048271	0.00165199	0.00403634	0.000613897	0.00381269
y	0.111421	0.0640821	0.521082	0.24661	0.0163972	0.00620275	0.00396662	0.00377606	0.000447198	0.00286367	0.00387158	0.0150933	0.00126146	0.000760543	0.00216409
ú	0.701178	0.193799	0.07076	0.0198777	0.00230047	0.000589169	0.000839458	0.00141258	0.000950589	0.000236746	0.00107204	0.00124072	0.000482175	0.000411586	0.00484981
r	0.912268	0.0161607	0.0231227	0.00995347	0.00268735	0.00166907	0.00145493	0.00105265	0.00169757	0.000424362	0.00471792	0.00286145	0.00327158	0.000524089	0.0181346
u	0.926818	0.0326398	0.0108766	0.00464255	0.00927498	0.0020884	0.00204073	0.00118242	0.00165875	0.000403921	0.00183279	0.00123554	0.00134479	0.000917967	0.00304278
w	0.103277	0.00642171	0.456479	0.12448	0.019227	0.0351324	0.029845	0.0296908	0.0226124	0.0200107	0.0315839	0.0202826	0.0437061	0.00615523	0.0510961
ó	0.0855914	0.00307899	0.0867927	0.0264523	0.0941723	0.0791032	0.112641	0.0925604	0.0801368	0.0588587	0.0476373	0.0202808	0.0540844	0.0322925	0.126317
a	0.170174	0.00517848	0.296194	0.156045	0.0420656	0.0467498	0.0444903	0.0396743	0.0272795	0.0339995	0.0302636	0.012682	0.0170344	0.0108997	0.0672701
d	0.0146978	0.000887853	0.350959	0.508076	0.0228517	0.0147467	0.00606255	0.00831177	0.00345546	0.00870471	0.0127076	0.0281284	0.0089244	0.00337593	0.00811047
i	0.0664384	0.00554534	0.338993	0.338575	0.0502765	0.0279205	0.0172916	0.019519	0.00444048	0.00170977	0.0144253	0.020265	0.00644817	0.00285679	0.085296
p	0.0607501	0.00133678	0.137688	0.478498	0.0959063	0.105702	0.0344277	0.0118317	0.00648095	0.00341136	0.0242553	0.0126406	0.0142704	0.00182114	0.0109795
í	0.0117704	0.00203272	0.0887167	0.516033	0.0852849	0.0703261	0.031418	0.0275091	0.0140413	0.0434256	0.0089586	0.0493993	0.00502848	0.0184024	0.0276531
í	0.0027386	0.000188075	0.0863146	0.327618	0.122382	0.115572	0.0690642	0.0588463	0.040655	0.0463876	0.0137708	0.0186573	0.0128678	0.0237149	0.0612231
d	0.00158615	4.4501e-05	0.0276153	0.107826	0.188465	0.2566	0.188675	0.0893996	0.0365197	0.0189364	0.0203061	0.00841113	0.0205913	0.00548046	0.0295433
i	0.00282603	7.72906e-05	0.025269	0.19619	0.167756	0.113252	0.151476	0.129434	0.0442978	0.00586694	0.0249705	0.0148251	0.0136763	0.0177524	0.0923309
a	0.00528206	6.944e-05	0.0207538	0.115786	0.161307	0.316156	0.204093	0.0852795	0.0256993	0.0163058	0.0200562	0.0101066	0.00731306	0.00261991	0.00917256
b	0.00464174	0.000133752	0.0331793	0.0855785	0.113437	0.159373	0.181289	0.159479	0.0468793	0.0524555	0.0753626	0.0427663	0.024892	0.00808788	0.0124444
v	0.00272061	0.000563836	0.0114745	0.0218501	0.0301276	0.105557	0.0791574	0.0904125	0.0682929	0.235679	0.104537	0.164656	0.0399124	0.0276027	0.0174561
ú	0.00104158	0.000362934	0.00494529	0.00732447	0.0258868	0.0873185	0.0976556	0.124295	0.162431	0.219433	0.0863844	0.0606598	0.0623819	0.0202298	0.0396503
u	0.0496363	0.000162829	0.00970046	0.0324046	0.130748	0.218392	0.181249	0.112772	0.0551553	0.0260046	0.0771515	0.0470863	0.0192335	0.00295726	0.0373467
n	0.00140719	1.36695e-05	0.0121957	0.0291454	0.0829482	0.107056	0.148389	0.207592	0.0700614	0.0609123	0.152471	0.0564635	0.0372343	0.0109938	0.0231169
ω	0.0223312	0.0004774	0.0113319	0.00346779	0.117387	0.0274941	0.107141	0.20703	0.297051	0.0351026	0.0485264	0.00729009	0.0177435	0.0123791	0.0852462
k	0.00192587	6.88627e-05	0.00787161	0.0109892	0.0304327	0.0600211	0.108695	0.149933	0.243694	0.0999235	0.159874	0.0287287	0.0419628	0.0130299	0.0428507
á	0.000337268	4.59101e-05	0.00392483	0.00752548	0.0134537	0.0516969	0.0391067	0.0635476	0.0608894	0.496719	0.0900253	0.110118	0.0195131	0.0241143	0.018983
a	0.000728186	0.00014645	0.00394347	0.00493728	0.0120969	0.0459996	0.049367	0.111276	0.104583	0.376845	0.046494	0.098067	0.0185004	0.0522785	0.0747377
l	0.000412689	5.42399e-06	0.00324829	0.00255969	0.00912562	0.0171428	0.0514388	0.0937237	0.125156	0.129639	0.259039	0.100773	0.135737	0.0367665	0.0352331
ó	0.0045544	6.6541e-05	0.00773343	0.00746844	0.0102815	0.0128663	0.0206561	0.0598368	0.0714482	0.0559312	0.139951	0.144161	0.0839181	0.0888785	0.292249
o	0.0025941	0.000136478	0.0035547	0.00466285	0.00663105	0.012525	0.0279749	0.0512762	0.102697	0.0442316	0.184573	0.135589	0.148665	0.205849	0.0690406
b	5.38201e-05	1.62996e-05	0.00454987	0.0082431	0.00232953	0.00430721	0.0031057	0.00685916	0.011575	0.0118464	0.265268	0.331432	0.261231	0.0401581	0.0490247
a	0.000211644	0.000966111	0.0136702	0.0120692	0.00892311	0.0222902	0.00561538	0.00829574	0.00556899	0.0232011	0.118392	0.62865	0.0938516	0.0348306	0.0234635
n	0.000168226	0.000103814	0.0024136	0.0050945	0.00260608	0.00730152	0.00421192	0.00860759	0.0102332	0.0186051	0.0811269	0.573016	0.0631479	0.0513397	0.172024
d	0.000712287	1.36177e-05	0.000870198	0.00455454	0.00413636	0.00707185	0.00920616	0.0142091	0.0381089	0.0306394	0.155453	0.388325	0.105554	0.0988582	0.142288
á	0.000786209	6.74551e-05	0.00444188	0.0123804	0.015033	0.0130708	0.0237686	0.0296844	0.037457	0.00837618	0.108159	0.214445	0.0937337	0.104919	0.333677
w	0.00257618	4.92668e-05	0.0018909	0.00320946	0.00902855	0.0117989	0.0358393	0.0381545	0.0673074	0.0203337	0.121829	0.0797021	0.295292	0.109952	0.203037
a	0.00112354	8.11299e-05	0.00247915	0.00164786	0.0137672	0.0352525	0.0766863	0.0969386	0.145321	0.156033	0.0936074	0.0640367	0.127995	0.14433	0.0407015
</S>	0.00167413	5.9061e-05	0.000530367	0.00133991	0.00116212	0.00412716	0.00708393	0.00928925	0.0294139	0.0300477	0.0641138	0.0921654	0.245441	0.297286	0.216267
