 	cette	mangue	a	une	fissure	</S>
m	0.567531	0.408834	0.0165804	0.00678763	0.00014468	0.000121914
b	0.0555088	0.859598	0.0674028	0.00496445	0.000113904	0.0124124
á	0.0047633	0.994443	0.000550566	0.000151456	4.414e-05	4.79048e-05
n	0.00766335	0.991816	0.000141106	2.61247e-05	7.39975e-05	0.000279084
g	0.271243	0.413293	0.0853939	0.0194679	0.020361	0.190241
é	0.54902	0.316036	0.0482768	0.0267558	0.0104217	0.0494899
w	0.296181	0.0670547	0.542432	0.0703691	0.00337957	0.0205836
ó	0.309232	0.0539133	0.410032	0.156235	0.0027005	0.0678871
a	0.076503	0.00477635	0.62356	0.144857	0.0057573	0.144546
d	0.0186196	0.00357394	0.536984	0.310867	0.0161278	0.113828
í	0.120265	0.00788416	0.375287	0.223938	0.00270308	0.269923
l	0.0414249	0.00286014	0.153271	0.390288	0.117018	0.295138
o	0.00975057	0.00110417	0.197092	0.461506	0.0353411	0.295206
l	0.013538	0.00327968	0.0421652	0.123936	0.704709	0.112372
a	0.0308168	0.00944871	0.0348717	0.219649	0.625975	0.0792387
l	0.00113386	0.000406831	0.00443235	0.0460723	0.912786	0.0351691
e	0.00313308	0.00034765	0.0101138	0.169824	0.510818	0.305763
e	0.00507441	0.000521653	0.0107028	0.133881	0.483492	0.366328
</S>	0.0125818	0.000915199	0.018861	0.0995623	0.107172	0.760907
