 	il	taille	un	banc	dans	du	bois	</S>
w	0.823757	0.0795862	0.0513627	0.0165932	0.00976679	0.0164645	0.00229613	0.00017334
a	0.835126	0.0167129	0.0628773	0.0402133	0.0103536	0.0257912	0.008826	9.96155e-05
l	0.247239	0.593094	0.11506	0.00541422	0.00842439	0.0180064	0.00206592	0.0106964
á	0.164406	0.196118	0.0707528	0.0337756	0.0743219	0.0673166	0.00979638	0.383513
a	0.321979	0.181499	0.105798	0.0630234	0.065357	0.0643657	0.0397484	0.15823
p	0.0239049	0.908561	0.0430405	0.00652216	0.00892974	0.001891	0.000904607	0.00624637
á	0.0108386	0.814652	0.0963159	0.0490537	0.00642576	0.00253722	0.00152445	0.018652
á	0.0278387	0.597618	0.330489	0.0219113	0.009184	0.00416048	0.000625971	0.00817343
i	0.0738993	0.0484277	0.57978	0.173969	0.0755587	0.0324802	0.00810862	0.00777596
b	0.00369618	0.0182492	0.124635	0.742592	0.0787739	0.0142469	0.0115886	0.00621858
v	0.00187778	0.00237621	0.0360594	0.878233	0.0705077	0.00318456	0.0063742	0.00138714
ú	0.000407757	0.0025393	0.0427365	0.806416	0.135352	0.00926224	0.00231774	0.000968387
a	0.0259957	0.0166952	0.28968	0.353309	0.250806	0.0362032	0.00413	0.0231804
m	0.00148124	0.0085132	0.282736	0.0313498	0.5023	0.129344	0.00811578	0.0361604
ó	0.00748535	0.00395752	0.231498	0.0613135	0.17076	0.126123	0.0104735	0.388389
i	0.00647	0.00472176	0.12001	0.114777	0.126484	0.127543	0.461339	0.0386549
b	0.00180796	0.014848	0.0465326	0.0915032	0.285981	0.177973	0.270032	0.111322
ω	0.00150723	0.00369903	0.0740206	0.381435	0.181261	0.083685	0.231232	0.0431596
n	7.27407e-05	0.000859508	0.0154218	0.33939	0.0610025	0.0635024	0.492974	0.0267774
g	0.00661311	0.0339919	0.0328122	0.213737	0.123007	0.205355	0.238119	0.146365
ω	0.0150218	0.00357724	0.0169519	0.225032	0.0443537	0.167756	0.456709	0.0705984
l	0.001304	0.00126389	0.0205011	0.02338	0.119837	0.205771	0.23301	0.394933
á	0.00400949	0.0181422	0.102733	0.0232004	0.127318	0.304527	0.230973	0.189097
k	0.0211077	0.00670956	0.0946603	0.0211595	0.0159916	0.0735606	0.697379	0.069432
í	0.000952971	0.00690503	0.00574349	0.0152712	0.0187899	0.0555037	0.873841	0.0229926
t	0.00166279	0.00302227	0.0129284	0.00710424	0.0406639	0.0677035	0.689269	0.177646
i	0.00382195	0.0149002	0.0154383	0.00771241	0.0338157	0.0856159	0.475316	0.36338
</S>	0.00171567	0.0141053	0.0226146	0.00666617	0.0365983	0.094448	0.176058	0.647794
