 	elle	a	un	bouton	sur	le	nez	</S>
w	0.844397	0.0796649	0.0464984	0.00191585	0.0108516	0.0148646	0.00159242	0.000214951
a	0.899868	0.0358903	0.023225	0.000279503	0.0146667	0.0193395	0.00667854	5.21987e-05
a	0.167838	0.665348	0.129697	0.00362781	0.0189371	0.0114448	0.000632567	0.00247475
d	0.0663265	0.420381	0.271381	0.0690579	0.0392885	0.0117649	0.0108619	0.110938
í	0.00532235	0.604794	0.269138	0.043476	0.0233589	0.00156908	0.00102119	0.0513213
l	0.00505968	0.165375	0.279326	0.274433	0.0628435	0.0181949	0.00361738	0.19115
a	0.13285	0.25445	0.212776	0.204266	0.0833554	0.0320621	0.00149197	0.0787478
l	0.0244603	0.143062	0.163184	0.5414	0.0844043	0.0170351	0.00392602	0.0225287
e	0.00108377	0.0431268	0.142157	0.681631	0.0869232	0.0163476	0.00320974	0.025521
p	9.5988e-05	0.0119753	0.0434805	0.750773	0.152199	0.0126592	0.00862439	0.0201931
á	0.000101297	0.0052961	0.0409665	0.911338	0.0259155	0.00263377	0.0101495	0.00359979
n	0.000291013	0.0195422	0.072641	0.699127	0.0808814	0.0187021	0.0723894	0.0364261
d	0.00874689	0.0507117	0.165789	0.479392	0.170038	0.0500878	0.0269186	0.0483157
á	0.00921375	0.0157875	0.0427586	0.255654	0.331853	0.163797	0.0296459	0.151291
ó	0.00695481	0.0142965	0.0336724	0.0391509	0.308495	0.476357	0.0559166	0.0651566
p	0.00131189	0.0229168	0.0246055	0.0255909	0.128795	0.123786	0.643369	0.0296247
e	0.000171867	0.00895393	0.0520819	0.160984	0.0380275	0.0242324	0.691633	0.0239162
m	0.000266903	0.00346902	0.0225198	0.066526	0.0349174	0.0481984	0.781612	0.04249
b	0.000195394	0.00107935	0.00389231	0.0012978	0.0630858	0.184199	0.588817	0.157433
á	0.000607951	0.00179702	0.0076043	0.00483096	0.055653	0.0713139	0.702818	0.155375
</S>	0.00315312	0.0101358	0.010458	0.00575124	0.0488855	0.119015	0.0850658	0.717535
