 	tu	creuses	des	trous	partout	qui	va	les	remblayer	</S>
n	0.945435	0.014936	0.0105099	0.00345797	0.00531734	0.0118919	0.00176635	0.00571622	0.000845058	0.000124043
ω	0.988466	0.00367959	0.00159575	0.00174306	0.00190059	0.000938538	4.28558e-05	0.000918532	0.000660147	5.50979e-05
l	0.517826	0.350568	0.0183919	0.0108363	0.0311346	0.0188201	0.00710679	0.0116742	0.0250096	0.00863224
ó	0.0369935	0.109733	0.0357811	0.0255867	0.0201785	0.0499311	0.0383139	0.0421184	0.0564017	0.584962
o	0.138386	0.362674	0.0915486	0.02808	0.0343605	0.0322508	0.0219192	0.0254049	0.0636091	0.201767
t	0.00891539	0.884508	0.0544546	0.00814434	0.00488411	0.00154029	0.0133404	0.00235784	0.0013948	0.0204605
í	0.00161121	0.911135	0.0378216	0.00539209	0.00665818	0.00140786	0.0126453	0.00151606	0.00161424	0.0201986
m	0.00859672	0.782256	0.0960651	0.0164827	0.014376	0.00326628	0.0232705	0.0042667	0.00366725	0.0477523
á	0.00512112	0.128441	0.427816	0.306271	0.0546248	0.0261113	0.0195156	0.0105766	0.00392369	0.0175988
a	0.0208222	0.0325238	0.332943	0.398435	0.122652	0.0372477	0.0131525	0.0161346	0.00923532	0.0168527
b	0.00757302	0.0294701	0.238203	0.439997	0.173129	0.032192	0.0260837	0.0157569	0.0222675	0.0153281
é	0.00187991	0.0193993	0.211596	0.167527	0.258443	0.0708286	0.156215	0.0279997	0.0459777	0.040133
á	0.00139483	0.0180403	0.168864	0.173609	0.197314	0.0583708	0.0694976	0.051548	0.0446215	0.21674
o	0.00841153	0.00763213	0.0775207	0.377198	0.212248	0.200504	0.0493496	0.0353123	0.00634316	0.0254808
t	0.000558076	0.026041	0.0187744	0.0404598	0.311364	0.0371446	0.533817	0.0109156	0.0104594	0.0104659
s	0.000609018	0.0171296	0.0167444	0.00845074	0.480504	0.0278322	0.369868	0.0146223	0.0194021	0.0448379
a	0.000564084	0.0218071	0.0492758	0.0142022	0.483152	0.0467526	0.263137	0.0221398	0.0235284	0.0754404
o	0.000295281	0.00207081	0.0200696	0.0374144	0.233655	0.116153	0.307702	0.0499558	0.0110604	0.221623
t	0.000489982	0.0100245	0.020635	0.0377285	0.101419	0.208707	0.296561	0.217309	0.0123508	0.0947752
s	0.000760246	0.0107878	0.0156185	0.0100708	0.302754	0.0552156	0.389309	0.0399309	0.0264635	0.14909
a	0.000286345	0.017992	0.0321821	0.00814505	0.555061	0.0638084	0.237288	0.0224167	0.0273941	0.0354261
o	0.000177619	0.000740547	0.00548979	0.0116024	0.0970773	0.0738275	0.384548	0.108046	0.0169788	0.301512
k	0.000263343	0.00275225	0.0113296	0.0124439	0.022407	0.126915	0.150948	0.407957	0.0426905	0.222293
í	0.000549266	0.00538968	0.0146936	0.00416019	0.104369	0.0556997	0.38085	0.160645	0.0625677	0.211076
í	0.000216863	0.00317019	0.00218465	0.00166276	0.0405325	0.0165493	0.508627	0.0367831	0.0975396	0.292734
s	0.000428453	0.00140789	0.00812943	0.0101672	0.0129513	0.0802335	0.0869673	0.37197	0.23193	0.195815
i	0.000284002	0.00928462	0.0113602	0.0155411	0.0571072	0.0754975	0.108765	0.203597	0.318965	0.199598
m	0.000485973	0.000444837	0.00352588	0.00725599	0.0127491	0.0975815	0.0305808	0.250466	0.415429	0.181481
á	0.000202845	0.00110959	0.00798309	0.0769227	0.0319316	0.0670555	0.040071	0.424037	0.130564	0.220124
a	0.00036016	0.000325042	0.00575697	0.00915504	0.00886214	0.0461135	0.0173302	0.197767	0.676005	0.0383244
n	0.000463563	0.000743206	0.00292621	0.00371105	0.00459137	0.0124532	0.0228572	0.194928	0.450339	0.306987
d	0.00418568	0.00170433	0.00417058	0.00615342	0.0122443	0.0239909	0.0131612	0.0740462	0.754314	0.106029
a	0.00227657	0.000833724	0.00165404	0.00337994	0.00896034	0.0169747	0.01294	0.0611322	0.649662	0.242187
</S>	2.30649e-05	0.000406172	0.00142107	0.00188379	0.0346656	0.0539585	0.0568558	0.126684	0.304033	0.420069
