 	ce	blanc	a	de	longs	cheveux	</S>
e	0.513271	0.456369	0.013297	0.00752629	0.00780503	0.000457565	0.00127373
b	0.0882739	0.888214	0.012074	0.00427538	0.00224496	0.00128521	0.00363298
a	0.0638072	0.927956	0.00439877	0.00194896	0.000236434	0.000364999	0.00128747
a	0.0578712	0.877601	0.0167502	0.011519	0.00242566	0.00117071	0.0326628
m	0.371514	0.326125	0.174268	0.0211948	0.0150231	0.00289508	0.0889805
i	0.343098	0.137464	0.358934	0.0913989	0.0358647	0.00335392	0.0298855
y	0.178615	0.18521	0.349805	0.159922	0.0245074	0.0153226	0.0866177
é	0.262529	0.0397636	0.102762	0.155653	0.316595	0.105564	0.0171349
é	0.142599	0.0352363	0.234355	0.161189	0.196526	0.0757204	0.154373
d	0.00780229	0.0150791	0.296282	0.325871	0.20066	0.0913118	0.0629937
í	0.00400481	0.00189977	0.112218	0.331842	0.046282	0.254445	0.249308
s	0.00721637	0.00480771	0.116942	0.178574	0.100408	0.246988	0.345065
u	0.00305071	0.00128587	0.0133036	0.202628	0.176225	0.57929	0.0242168
é	0.0151462	0.00274519	0.0194264	0.0970879	0.0694326	0.70095	0.0952112
n	0.00723469	0.00491822	0.0611012	0.203326	0.180113	0.373697	0.16961
d	0.00600053	0.00407462	0.0411133	0.304452	0.287639	0.154417	0.202303
a	0.00104807	0.000501826	0.00708568	0.112225	0.373832	0.453537	0.0517701
á	0.00274711	0.00534694	0.0541527	0.232622	0.132784	0.151076	0.421272
n	0.00412038	0.00502517	0.0305266	0.115428	0.12835	0.289682	0.426868
d	0.00448904	0.00332137	0.0224199	0.145856	0.257146	0.203852	0.362915
a	0.000794402	0.000783472	0.00650881	0.087104	0.256145	0.382548	0.266116
á	0.000391661	0.00130948	0.0234229	0.104235	0.0322055	0.0664005	0.772035
</S>	0.00526896	0.00893013	0.0329967	0.0636012	0.0890548	0.202931	0.597217
