 	il	se	renferme	sur	soi-même	quand	on	lui	parle	il	ne	répond	pas	</S>
w	0.442037	0.487468	0.00426261	0.00953339	0.0242813	0.0101527	0.011445	0.00352342	0.000736684	0.00234908	0.00170967	0.000619681	0.00113081	0.000750798
a	0.457556	0.477755	0.00307677	0.0232238	0.0155107	0.00479588	0.004953	0.00449415	0.000422881	0.00167566	0.000889752	0.000277272	0.00518846	0.000180966
a	0.20972	0.579132	0.0872596	0.0305982	0.00635673	0.0136475	0.0203376	0.0247722	0.00285979	0.00943823	0.00609199	0.00230768	0.00165481	0.00582346
d	0.0389391	0.415486	0.195532	0.0439712	0.0182863	0.0325677	0.0634321	0.0410572	0.0412119	0.0330416	0.0235663	0.0136102	0.00107575	0.0382225
í	0.0503972	0.209633	0.379436	0.115117	0.0167114	0.0342208	0.0165693	0.0229299	0.0140198	0.02713	0.0141131	0.0142121	0.00188303	0.0836261
l	0.0195469	0.0616599	0.306426	0.129808	0.0432643	0.0403059	0.0346033	0.0139936	0.022183	0.0302286	0.0301382	0.03154	0.0189792	0.217323
a	0.0278005	0.0355048	0.303283	0.147502	0.0199727	0.0287782	0.038288	0.05079	0.0259236	0.0427334	0.0211562	0.0293963	0.0152612	0.21361
d	0.0348652	0.0484502	0.686182	0.0906357	0.0216156	0.00869802	0.00678281	0.0136399	0.0254972	0.0123903	0.00512298	0.00983655	0.0142482	0.0220349
z	0.00664873	0.00632256	0.827523	0.125291	0.00512403	0.00217063	0.000374768	0.00168993	0.00722599	0.0013358	0.00112781	0.00350817	0.00621856	0.00543909
ó	0.00986121	0.00256124	0.858514	0.0805964	0.0256584	0.00268139	0.000308622	0.00233149	0.00599031	0.00147496	0.000963827	0.00242697	0.00370225	0.00292882
o	0.0050452	0.0179931	0.506748	0.226968	0.073213	0.0241491	0.00524564	0.014839	0.0258739	0.00893079	0.00919192	0.0154264	0.0277946	0.0385812
w	0.000950564	0.0118196	0.198877	0.476908	0.102676	0.0658997	0.0149559	0.0277725	0.02624	0.00832011	0.0135845	0.0135361	0.00481104	0.0336492
á	0.0069244	0.016116	0.0354135	0.0586187	0.370585	0.198483	0.0505423	0.0768554	0.0537345	0.0598039	0.0186869	0.0066598	0.0106145	0.036962
á	0.00332183	0.00345126	0.0205237	0.0409373	0.430214	0.120539	0.0685084	0.0422881	0.042302	0.0283061	0.0141924	0.0116176	0.0225632	0.151236
b	0.00774976	0.0119209	0.018215	0.0975577	0.0764024	0.176439	0.200462	0.215724	0.115559	0.0289199	0.0168721	0.010278	0.00727033	0.016631
á	0.0103273	0.016282	0.0142218	0.0179726	0.350966	0.209701	0.0966477	0.0802037	0.103735	0.0540527	0.0114537	0.00282573	0.00755971	0.0240508
a	0.00377854	0.00646796	0.0028693	0.0172918	0.29406	0.190174	0.175008	0.0834953	0.068245	0.0516606	0.0133361	0.00524141	0.0153949	0.0729773
