 	pendant	la	grande	saison	sèche	les	femmes	sèchent	du	poisson	</S>
l	0.411742	0.259689	0.14189	0.0987523	0.0343558	0.0350647	0.0148445	0.000821586	0.00253863	0.000113264	0.000187736
é	0.46388	0.334409	0.0661416	0.0543807	0.0280568	0.027058	0.00711477	0.000232662	0.0090162	0.00824618	0.00146484
b	0.132188	0.238612	0.087711	0.177322	0.232146	0.045696	0.0282553	0.00106366	0.00515607	0.017327	0.0345232
h	0.038106	0.157719	0.201437	0.146829	0.260984	0.0261559	0.048638	0.0685646	0.00582971	0.0206561	0.0250817
ó	0.0332437	0.130298	0.152481	0.175166	0.416698	0.0128176	0.00697682	0.0537209	0.00134459	0.00268851	0.0145654
y	0.0629896	0.0807015	0.152497	0.385252	0.262937	0.0447829	0.00478639	0.00124222	0.00151476	0.000731359	0.00256556
á	0.100404	0.0734147	0.0820144	0.214533	0.180023	0.125527	0.00892339	0.00995852	0.0307854	0.0199503	0.154468
a	0.0571524	0.0135001	0.0491875	0.105939	0.0363383	0.502665	0.220951	0.000974432	0.00564537	0.00453125	0.00311522
y	0.014172	0.0157387	0.0177956	0.0347556	0.282444	0.17774	0.38909	0.0579181	0.00193715	0.00165278	0.00675543
ú	0.00421589	0.00837318	0.0118961	0.0637078	0.131278	0.0999779	0.595817	0.00293203	0.00424766	0.0230313	0.0545235
r	0.0211587	0.0113856	0.0178605	0.046924	0.116651	0.455666	0.250497	0.00174952	0.00426958	0.0125395	0.0612982
u	0.0250131	0.0237493	0.053422	0.149898	0.242588	0.433435	0.0250645	0.00149891	0.00676944	0.00862389	0.0299379
b	0.0079253	0.00562531	0.04982	0.10692	0.226464	0.480595	0.0393584	0.0262136	0.0242519	0.00364218	0.0291838
á	0.140612	0.0298148	0.0646423	0.122947	0.044767	0.492344	0.034997	0.00877774	0.0273104	0.0157098	0.0180776
a	0.0179687	0.0226212	0.074784	0.061413	0.0457614	0.527381	0.063581	0.070832	0.0496679	0.0162281	0.049762
b	0.00261124	0.00484607	0.00284451	0.00316197	0.0178629	0.0103887	0.0311223	0.905072	0.00955741	0.0034931	0.00903988
h	0.000476174	0.00261221	0.00299647	0.00177064	0.00781593	0.00418385	0.00303123	0.967625	0.00375164	0.00211567	0.0036209
i	0.00018498	0.000847432	0.000590118	0.000538394	0.00655607	0.00217141	0.00266375	0.982461	0.000873476	0.000942159	0.00217141
r	0.000254414	0.000396549	0.000735232	0.00167585	0.00692025	0.00476908	0.0340329	0.930028	0.00574136	0.00216789	0.0132785
á	0.00346429	0.00430985	0.00621274	0.00754759	0.0367062	0.0454438	0.0139827	0.467243	0.0512993	0.0179034	0.345887
a	0.00310388	0.00210605	0.00844154	0.0142543	0.0125657	0.158741	0.0227394	0.0477817	0.581104	0.0847393	0.0644228
s	0.0105365	0.00888231	0.0100045	0.00925566	0.0220321	0.032107	0.0130717	0.0620929	0.395402	0.348299	0.0883167
w	0.00202328	0.00639291	0.00629808	0.0113635	0.0154651	0.0256833	0.0086538	0.00881591	0.0820225	0.757794	0.0754879
é	0.000293103	0.000267868	0.000458292	0.00147599	0.00177041	0.0140168	0.0148018	0.000915634	0.0517367	0.904907	0.00935596
</S>	0.000143962	0.000348905	0.000864436	0.00227842	0.00452863	0.00829014	0.00229227	0.0306554	0.24338	0.24487	0.462348
