 	ce	jeune	garçon-ci	a	des	problèmes	avec	sa	femme	</S>
m	0.583127	0.388753	0.00788771	0.00228908	0.00310489	0.0013597	0.00468385	0.00822272	2.09261e-05	0.00055108
w	0.141291	0.788347	0.0571606	0.00614527	0.00154355	3.48333e-05	0.00101706	0.000405384	0.0011747	0.0028804
á	0.0682286	0.8627	0.0572445	0.00152102	0.00161607	0.00022188	0.000349358	0.000360529	0.00761049	0.000147364
n	0.0549065	0.915199	0.0267753	0.000418672	0.000354096	3.19916e-05	0.000357234	0.000246905	0.00138521	0.000324789
a	0.0567484	0.355331	0.102599	0.0462971	0.0197657	0.00458931	0.0186361	0.00685051	0.0558686	0.333314
i	0.775919	0.047734	0.0451471	0.0454372	0.0199005	0.00992734	0.0128263	0.0141269	0.00372328	0.0252589
b	0.160005	0.235296	0.20602	0.12617	0.0757868	0.0808275	0.0431163	0.00396607	0.0105276	0.0582851
a	0.0408112	0.0141011	0.293351	0.131556	0.170653	0.13277	0.0965806	0.0041465	0.0127913	0.10324
a	0.11672	0.0876889	0.479131	0.127393	0.0584672	0.0407462	0.0261702	0.00476794	0.00639994	0.0525147
w	0.0549587	0.0148157	0.361868	0.362843	0.0766693	0.0361482	0.0249967	0.0228084	0.000791793	0.0441003
ó	0.0765649	0.00710049	0.130225	0.266229	0.123566	0.0642628	0.109112	0.0445463	0.00302655	0.175367
a	0.0459039	0.00299893	0.146004	0.420409	0.127293	0.0413577	0.051268	0.0155158	0.00219891	0.147051
d	0.00728601	0.00171286	0.0798519	0.31932	0.244937	0.17222	0.0513815	0.00574811	0.00959131	0.107951
í	0.0209647	0.00104588	0.0320282	0.40705	0.296341	0.0587256	0.0764087	0.0159623	0.00677945	0.0846941
l	0.0200517	0.00985249	0.096751	0.193279	0.304455	0.09006	0.101455	0.0594345	0.0106217	0.114039
a	0.00107084	0.000218559	0.0111796	0.197188	0.239998	0.237483	0.127694	0.0466664	0.00198976	0.136512
p	0.0172163	0.00203054	0.0545886	0.126819	0.182459	0.278664	0.0862336	0.118505	0.0954613	0.0380227
ώ	0.00102387	0.000360874	0.00391065	0.00888712	0.0699281	0.864894	0.0248388	0.00368188	0.0158985	0.00657592
ω	0.000540975	0.000159973	0.00696042	0.0262067	0.12441	0.679214	0.0869112	0.0180348	0.00192452	0.055637
b	0.00339459	0.000552373	0.00464191	0.0353556	0.0419578	0.0541225	0.32385	0.455557	0.00487327	0.0756951
á	0.00387437	0.00150652	0.0095964	0.031783	0.0890689	0.245832	0.207865	0.114535	0.21197	0.083969
a	0.00254253	0.00287383	0.0366557	0.0281216	0.0301821	0.231297	0.165374	0.299401	0.0399265	0.163625
l	0.00103053	0.000294543	0.00495846	0.031029	0.0343946	0.0532015	0.262066	0.085075	0.0717606	0.45619
a	0.00539339	0.000133213	0.00258406	0.049039	0.0892431	0.0631582	0.21381	0.0943558	0.243988	0.238295
m	0.00115188	7.34669e-05	0.00169492	0.0269517	0.0424598	0.0225936	0.139075	0.420158	0.125187	0.220654
w	0.00835433	0.000554135	0.0015627	0.0251553	0.032597	0.0139159	0.19004	0.290564	0.28892	0.148337
á	0.00645644	0.00133691	0.0113621	0.022669	0.0650377	0.0188728	0.20041	0.412985	0.0844776	0.176392
s	0.0116507	0.000979929	0.00664426	0.0118627	0.00978107	0.0133853	0.104548	0.462328	0.0299675	0.348853
í	0.0199936	0.000323312	0.00421916	0.0200034	0.0266165	0.00618586	0.120487	0.343597	0.125336	0.333238
</S>	0.00607715	0.000350791	0.00197283	0.0103228	0.00878707	0.00728189	0.115285	0.303636	0.00871225	0.537575
