 	si	tu	ne	suis	pas	les	conseils	du	guérisseur	c'	est	toi-même	qui	seras	contaminé	de	rougeole	</S>
w	0.839471	0.0600685	0.0074862	0.00689295	0.00700598	0.0294748	0.00558114	0.0138187	0.00441592	0.0065239	0.00228168	0.00601359	0.00251316	0.00199485	0.00360701	0.0020222	0.00078333	4.51444e-05
á	0.515041	0.111707	0.0523488	0.0497091	0.0691961	0.119799	0.0217534	0.013153	0.000200972	0.00355548	0.00821322	0.014053	0.00651011	0.00267466	0.00540074	0.00185446	0.00478708	4.33098e-05
á	0.0845741	0.112109	0.12194	0.0399052	0.0237656	0.0285905	0.00824423	0.0150322	0.003281	0.0690888	0.14015	0.0412225	0.0315028	0.0174195	0.00914918	0.0457211	0.0315186	0.176785
o	0.109311	0.293443	0.241564	0.0798385	0.0324267	0.03899	0.0305371	0.00896456	0.00330821	0.0160975	0.0213956	0.013006	0.00965882	0.0119291	0.00676704	0.0139808	0.00763959	0.0611431
t	0.00344441	0.0188242	0.422569	0.234727	0.0646104	0.063455	0.0856331	0.00944498	0.000832018	0.00934326	0.0165797	0.0131241	0.00877924	0.00855719	0.0138152	0.00440079	0.00780498	0.014055
ó	0.00404768	0.0174935	0.358073	0.275069	0.069912	0.0410052	0.114525	0.0099998	0.000593169	0.00612679	0.00944352	0.01101	0.00684558	0.0151113	0.0132648	0.00338439	0.00605773	0.0380374
n	0.0063711	0.0533033	0.479291	0.252006	0.0548209	0.0390343	0.0258236	0.0198134	0.0102715	0.00450199	0.0098392	0.0111811	0.00630754	0.00497096	0.00219722	0.00412408	0.00343149	0.0127113
í	0.0220778	0.0632697	0.27322	0.271391	0.107926	0.0667288	0.0435972	0.0219639	0.0108549	0.0112072	0.0100927	0.0129577	0.0100989	0.0135952	0.00644558	0.00641969	0.00371701	0.0444364
o	0.105637	0.130834	0.0644888	0.0978847	0.144359	0.139373	0.0284448	0.114338	0.0286048	0.0538173	0.0254868	0.00664187	0.00657341	0.00561632	0.0033893	0.0212409	0.00611128	0.017159
b	0.000341066	0.0045563	0.0503771	0.223888	0.13309	0.246487	0.288602	0.015339	0.00262567	0.00263935	0.0032781	0.00438137	0.00317777	0.00687998	0.00722737	0.00211314	0.0024614	0.00253543
ó	0.000606122	0.00263665	0.0340446	0.0921948	0.0848723	0.196788	0.509843	0.00831768	0.000636385	0.00144336	0.00217331	0.00283618	0.00192224	0.0248517	0.0238838	0.00140745	0.00813388	0.0034093
n	0.000197385	0.000575262	0.0151329	0.0936595	0.0616895	0.149439	0.499824	0.0119503	0.000553379	0.0029576	0.00344446	0.00608242	0.00523236	0.0346862	0.0471677	0.00648414	0.0140755	0.0468487
d	0.000844847	0.00208564	0.0336442	0.166457	0.134933	0.189262	0.238403	0.0550479	0.00884397	0.0099325	0.00696965	0.0180302	0.0160671	0.0278506	0.0300679	0.00785261	0.00569359	0.0480139
á	0.00150854	0.00167574	0.0206435	0.0688947	0.0603769	0.0572564	0.508831	0.0388811	0.0130402	0.00652347	0.00408522	0.00605766	0.00536129	0.0184925	0.0343346	0.00489983	0.0192166	0.129921
a	0.021707	0.0524997	0.0524644	0.0709248	0.156458	0.222502	0.131734	0.146991	0.0225402	0.0497877	0.0183245	0.0106381	0.0108365	0.00674189	0.00383197	0.00755536	0.00197953	0.0124832
t	0.00122206	0.0147359	0.0395405	0.0458276	0.126092	0.139166	0.272637	0.113908	0.0704105	0.0360184	0.0380681	0.0345721	0.0293441	0.00824464	0.0088682	0.00794239	0.00688207	0.00651987
é	0.000158412	0.00182469	0.0264223	0.0613596	0.144176	0.0967695	0.15062	0.0760008	0.00990822	0.038817	0.0598916	0.0579871	0.0736609	0.075631	0.0590024	0.01834	0.0191373	0.0302926
b	0.000162039	0.00280997	0.0243576	0.0442132	0.0845415	0.0626194	0.265851	0.0972439	0.0692151	0.0680045	0.0306006	0.0150691	0.0210635	0.0298513	0.0187597	0.0133709	0.0145213	0.137746
h	0.000517917	0.00102717	0.00696945	0.0272464	0.0692972	0.0755432	0.247007	0.233661	0.0165054	0.0495908	0.0282481	0.0218492	0.0315453	0.110505	0.0220448	0.0132233	0.00748946	0.0377292
i	0.000366855	0.000480635	0.00196522	0.0109744	0.0358711	0.0441182	0.592945	0.0753005	0.0165829	0.0452452	0.00652216	0.0056085	0.00939546	0.0332573	0.0157237	0.00439538	0.00609591	0.0951513
m	5.67179e-05	0.000472315	0.00194091	0.00782199	0.0243374	0.0254031	0.0794411	0.241607	0.0484857	0.204116	0.0662167	0.0510521	0.0850739	0.0901007	0.0325832	0.0160976	0.00304454	0.0221493
á	0.00320535	0.00130198	0.00147732	0.00255682	0.010512	0.0176255	0.00858535	0.164901	0.0114415	0.194205	0.187673	0.0540943	0.0486029	0.0139654	0.0134961	0.118893	0.0729802	0.0744836
n	0.000480769	0.0018857	0.00443024	0.00587631	0.0126996	0.0189589	0.0103862	0.0970756	0.0469513	0.213641	0.186317	0.111625	0.107995	0.0580613	0.0671105	0.0315869	0.0130605	0.0118592
g	0.000373834	0.0117796	0.000617755	0.00077025	0.000850833	0.000999354	0.0039514	0.0466947	0.800507	0.0484647	0.0239928	0.0125472	0.0182758	0.0050109	0.00116707	0.0060918	0.00187303	0.0160318
a	0.000104399	0.00309043	0.000431188	0.000704062	0.000883313	0.000775504	0.00321776	0.0159205	0.898673	0.0190766	0.0132059	0.010432	0.00793994	0.00929988	0.00394062	0.00237927	0.00261539	0.00731042
n	2.09272e-05	0.00111664	0.000561354	0.00218769	0.00362742	0.0049926	0.00853296	0.0882326	0.491595	0.0467558	0.0527424	0.0711791	0.0725566	0.0193678	0.0157513	0.0512243	0.0157552	0.0537999
g	0.000221216	0.000540251	0.00103786	0.00387229	0.00804244	0.00582244	0.0262087	0.146166	0.0650333	0.115282	0.0799266	0.123464	0.145533	0.0565058	0.0722564	0.038559	0.0190812	0.0924484
a	0.000353739	0.00120437	0.000214146	0.00102552	0.00120624	0.00115381	0.00819529	0.0510453	0.858976	0.0227535	0.00680691	0.0103687	0.0113351	0.00870596	0.00478981	0.00227206	0.0041772	0.0054159
o	0.000186632	0.00155209	0.00160596	0.00192182	0.00856743	0.00521992	0.00359456	0.0475902	0.0262236	0.218442	0.208246	0.111206	0.204992	0.0307356	0.0129987	0.0949	0.00541003	0.0166077
