 	la	voiture	que	nous	conduisons	est	à	nous-mêmes	</S>
o	0.920856	0.0399697	0.00869624	0.0135907	0.00775975	0.00347439	0.00150794	0.00406096	8.42207e-05
t	0.0443964	0.947641	0.00234166	0.00184666	0.000666043	0.00077335	0.000717363	0.00041075	0.001207
ω	0.0042127	0.990406	0.00142368	0.00132368	0.00154601	0.000330817	0.000317708	0.000126004	0.000313325
m	0.00174854	0.994652	0.000588001	0.000964127	0.00132921	0.000160425	0.000145667	7.7649e-05	0.000334583
b	0.0775843	0.740825	0.045277	0.00136924	0.0400544	0.0184279	0.00465225	0.00487497	0.0669347
í	0.0667678	0.702194	0.0371127	0.0057779	0.0203765	0.0158822	0.00328048	0.0121475	0.136461
l	0.511762	0.292555	0.107605	0.00749961	0.00597043	0.0280604	0.0072376	0.00164994	0.0376609
i	0.394001	0.421401	0.0397725	0.0227602	0.00962702	0.0171389	0.00788431	0.0046465	0.0827683
m	0.467593	0.0596	0.326504	0.0421076	0.0176308	0.0220353	0.0139472	0.0082184	0.0423637
ó	0.646895	0.00648579	0.216704	0.0145619	0.0187659	0.019898	0.00806468	0.00334173	0.0652833
ó	0.547222	0.0120371	0.286697	0.0591524	0.0233928	0.0180999	0.00923081	0.00365734	0.040511
b	0.0719776	0.00261856	0.201446	0.402615	0.266094	0.0199103	0.0111966	0.0097599	0.0143816
h	0.0123821	0.00898598	0.0636976	0.342898	0.478679	0.0345985	0.0100418	0.0262166	0.0225005
é	0.00692763	0.00472214	0.0260045	0.115363	0.790929	0.0179447	0.00527299	0.0196962	0.0131399
m	0.0359627	0.00577447	0.10493	0.119893	0.55786	0.0702157	0.0171852	0.0288013	0.0593778
b	0.0319248	0.00141423	0.139332	0.0543334	0.596901	0.0809843	0.0149299	0.0484232	0.0317575
í	0.025902	0.00341035	0.155239	0.100975	0.538232	0.0602142	0.00832835	0.0403866	0.0673122
s	0.0229298	0.00187161	0.227502	0.396943	0.167948	0.130087	0.0185028	0.0148522	0.0193632
á	0.0155329	0.0121811	0.0942939	0.265861	0.379423	0.0955484	0.0278143	0.0259903	0.0833546
b	0.065598	0.00250198	0.0526526	0.39357	0.0967083	0.211923	0.089119	0.072998	0.0149292
í	0.00215334	0.000216587	0.0069551	0.851809	0.0566347	0.0142086	0.00297801	0.0629987	0.00204634
s	0.0044286	0.000138635	0.0122268	0.792732	0.0605652	0.0304171	0.00826555	0.0816592	0.00956659
í	0.00490604	0.00211207	0.0132999	0.432437	0.0904636	0.08494	0.028711	0.126742	0.216389
m	0.00536181	0.000322858	0.0290868	0.150266	0.0322948	0.465249	0.169065	0.0571515	0.0912035
ú	0.0260561	0.000819294	0.0363849	0.0146665	0.0527145	0.221236	0.334998	0.0717018	0.241423
ó	8.75447e-05	0.000285075	0.0107837	0.0134646	0.120481	0.221225	0.489636	0.0390538	0.104983
d	0.00248544	0.00386713	0.0103145	0.0103077	0.070441	0.195989	0.493744	0.121016	0.0918345
i	0.00105464	0.00127143	0.00638215	0.0232594	0.0172946	0.104704	0.358168	0.187398	0.300467
m	0.00038698	2.16929e-05	0.00407951	0.0252975	0.0110273	0.0870037	0.450141	0.237481	0.184561
á	0.000490123	2.74812e-05	0.00298928	0.00467545	0.0290265	0.0672637	0.246623	0.438249	0.210655
b	0.00210835	0.000273421	0.00697394	0.0108774	0.0096219	0.0721964	0.271043	0.368704	0.258202
í	0.00134458	5.83896e-05	0.00169693	0.0516591	0.00463097	0.0197448	0.0510935	0.847839	0.0219326
s	0.00499121	0.000118104	0.00211176	0.371816	0.00258766	0.0194144	0.0207589	0.52361	0.0545927
í	0.00236381	0.00354197	0.00405522	0.0203757	0.00860296	0.0483283	0.147015	0.137255	0.628463
m	0.00170411	0.000197998	0.00622403	0.00782131	0.00148851	0.0622181	0.164601	0.106837	0.648908
έ	0.00437758	0.000446822	0.0241759	0.00203942	0.0266885	0.0989074	0.393008	0.15453	0.295827
n	0.000373322	0.00042066	0.00353253	0.00269435	0.00577736	0.0433626	0.165437	0.248718	0.529683
έ	0.00631203	0.00908757	0.0115333	0.0260252	0.00711028	0.0251524	0.108343	0.291379	0.515057
</S>	0.000361078	0.000351673	0.00424276	0.0177176	0.00162932	0.0612568	0.149778	0.129301	0.635362
