 	ce	jeune	garçon-ci	est	fumeur	</S>
m	0.448296	0.549146	0.00151424	0.000230857	0.000775016	3.79517e-05
w	0.0447632	0.926899	0.0270199	0.000663652	1.17661e-05	0.000642234
á	0.00320189	0.994542	0.00220831	1.85757e-05	2.45769e-05	4.35341e-06
n	0.307122	0.677084	0.0114526	0.000321634	0.000809771	0.00321037
a	0.11485	0.739879	0.119715	0.0019147	0.000402674	0.0232382
i	0.804015	0.12332	0.0366907	0.0112919	0.00510957	0.0195735
b	0.244005	0.0627394	0.267691	0.185913	0.0611508	0.1785
a	0.0114262	0.0725692	0.661468	0.0510294	0.172801	0.0307062
a	0.101621	0.0149456	0.587964	0.0632714	0.0258895	0.206309
w	0.0525856	0.00448409	0.691754	0.114786	0.00601467	0.130375
ó	0.0897329	0.00639077	0.338889	0.262917	0.0205197	0.281551
l	0.0567144	0.00472703	0.5543	0.199823	0.0135753	0.17086
á	0.0294177	0.00305471	0.103496	0.12998	0.00916776	0.724884
a	0.159496	0.00599595	0.213318	0.403307	0.0961548	0.121729
n	0.0219866	0.00115119	0.349426	0.484196	0.0800184	0.0632222
y	0.0336072	0.0026222	0.274161	0.602935	0.0122891	0.0743854
w	0.0340097	0.00817448	0.223075	0.673833	0.01043	0.0504781
á	0.030179	0.00756535	0.0781578	0.711942	0.00451077	0.167645
á	0.0160215	0.00124573	0.0273003	0.294897	0.132956	0.527579
a	0.0206965	0.0016027	0.0238949	0.222181	0.455349	0.276276
k	0.0061555	0.000370297	0.0601523	0.135748	0.740965	0.0566087
έ	0.00249075	0.000332214	0.00382795	0.030423	0.92193	0.0409963
έ	0.00263464	0.000372431	0.00870487	0.0802049	0.525059	0.383024
</S>	0.00338657	0.000226951	0.0130697	0.269	0.101612	0.612704
