 	l'	argent	que	je	garde	chez	lui	a	augmenté	car	notre	père	m'	en	a	ajouté	</S>
m	0.651194	0.234542	0.0522755	0.0135981	0.0218569	0.0103263	0.00332127	0.00379833	0.000391137	0.000801496	0.00691245	0.000185155	0.000225617	0.000152631	0.000330779	7.20597e-05	1.62151e-05
b	0.0351291	0.92999	0.0105507	0.00228115	0.0026729	0.00995715	0.000651363	0.00125829	0.00134238	0.000357405	0.000288954	0.000152501	0.00121299	0.0009295	0.000999273	0.000270018	0.00195605
ώ	0.0370687	0.895692	0.00197981	0.0180194	0.018465	0.018889	0.000871856	0.0014623	0.00285888	0.00030546	0.00154431	0.000120302	0.00189008	0.000177754	0.000131683	0.000456549	6.63395e-05
n	0.0771694	0.820073	0.0111416	0.00605255	0.0137019	0.0486882	0.00215538	0.00246081	0.0136484	0.000231358	0.00171636	0.000133479	0.00109919	0.000606523	0.000287127	0.000129232	0.000705059
g	0.414935	0.343788	0.0718699	0.0343471	0.022983	0.0123918	0.0160988	0.00981528	0.0243718	0.00458961	0.00602043	0.00288486	0.01259	0.00606394	0.00304252	0.00108901	0.0131185
ω	0.368532	0.554329	0.0260964	0.00668383	0.00480825	0.00456588	0.00242881	0.00240302	0.00988903	0.00236462	0.000675404	0.000415779	0.00452581	0.00165586	0.000848263	0.00039966	0.00937774
y	0.146221	0.00913826	0.610413	0.102649	0.00713413	0.00876167	0.0124477	0.0151484	0.00870427	0.00890842	0.0140303	0.00769504	0.0103075	0.00991601	0.00864527	0.0021631	0.0177172
é	0.251353	0.10601	0.231565	0.0914216	0.00906095	0.00963597	0.0278902	0.0344442	0.0319909	0.0424205	0.0185818	0.021835	0.0456303	0.0197234	0.0195567	0.0147602	0.02412
é	0.0915689	0.0119851	0.418223	0.180363	0.00882833	0.00998493	0.02354	0.0341182	0.0260863	0.0269785	0.045467	0.0207873	0.0285048	0.0135247	0.0189961	0.0159908	0.0250526
b	0.0256719	0.0154321	0.287713	0.486591	0.0688426	0.0119082	0.0112413	0.0115643	0.0375427	0.00506211	0.00289613	0.00315723	0.00653301	0.00762873	0.00555828	0.00278345	0.00987414
o	0.00698879	0.034386	0.049816	0.14093	0.605891	0.0720841	0.0183634	0.0157315	0.0328204	0.00249042	0.00401023	0.000539508	0.00422482	0.00606772	0.00269423	0.000186479	0.002775
m	0.028426	0.0204841	0.10475	0.305872	0.403284	0.0301523	0.0108383	0.00805163	0.0412731	0.00421449	0.00141616	0.000734201	0.0032299	0.00586388	0.0024679	0.000969134	0.0279731
b	0.0928845	0.0336974	0.0598968	0.075715	0.519709	0.0968258	0.0397625	0.0259087	0.0187623	0.0167082	0.00228566	0.00167188	0.00335954	0.00788212	0.00195768	0.000167201	0.00280543
á	0.0595972	0.0470344	0.074713	0.0576913	0.512571	0.097166	0.0299698	0.00919306	0.0160118	0.00887696	0.00514786	0.00131744	0.00627584	0.014396	0.00813374	0.00196618	0.0499386
á	0.0119	0.00545733	0.28439	0.251734	0.153123	0.0783904	0.071659	0.0421267	0.0187662	0.0155308	0.0236907	0.0101657	0.00925916	0.0085109	0.00650641	0.00095844	0.00783186
n	0.00815452	0.00546309	0.0654709	0.282416	0.202279	0.176012	0.0672853	0.0441361	0.077982	0.00828375	0.0152954	0.00452072	0.00950021	0.00891091	0.00960032	0.00667735	0.00801167
g	0.023863	0.00923639	0.0374671	0.633377	0.0295277	0.0380825	0.0144094	0.0140731	0.0366756	0.00557026	0.0121566	0.00610996	0.0762295	0.0079142	0.0078382	0.0179728	0.0294967
á	0.00186167	0.0015368	0.0205662	0.853742	0.0363176	0.0136619	0.00797559	0.00506198	0.0275236	0.00169128	0.00353164	0.0013211	0.0127731	0.00219415	0.00168213	0.00576006	0.00279872
m	0.0023467	0.000317434	0.0187174	0.0423126	0.173701	0.110133	0.321076	0.144215	0.0572847	0.0551076	0.0133432	0.00624088	0.0105354	0.0161336	0.0140989	0.00262578	0.0118099
b	0.00661042	0.00578657	0.00438103	0.00484387	0.255164	0.345526	0.118328	0.139867	0.082479	0.0175462	0.000570172	0.00078728	0.00414416	0.00691039	0.00303345	3.78467e-05	0.00398488
v	0.00758282	0.00378008	0.00431857	0.0196752	0.355585	0.191947	0.181661	0.0906622	0.10118	0.0153969	0.00171781	0.000738376	0.00672673	0.0125981	0.00331764	0.000119189	0.00299298
á	0.00619128	0.0101739	0.0169321	0.0869382	0.111227	0.186311	0.162697	0.0700571	0.13949	0.0183954	0.0208366	0.00341179	0.0563795	0.0283579	0.0125282	0.00413928	0.0659334
a	0.00789109	0.000454528	0.0205755	0.0278491	0.0674608	0.219527	0.338961	0.117573	0.06584	0.0438665	0.00910682	0.00646047	0.00895762	0.0134978	0.00623163	0.00172584	0.0440205
w	0.000975141	0.000274776	0.0154441	0.0101209	0.0141855	0.0969483	0.343606	0.264964	0.110364	0.0567688	0.0178337	0.00949188	0.00961322	0.0137973	0.0120847	0.00394629	0.0195819
a	0.00152213	0.000442238	0.0421138	0.0355759	0.0364196	0.0349507	0.285267	0.158021	0.12359	0.0686276	0.0404097	0.0203276	0.0331011	0.0508452	0.0354906	0.00281035	0.030486
é	0.000908739	0.00011997	0.0130329	0.0119696	0.00488681	0.0460941	0.34549	0.267606	0.0898398	0.0876183	0.0363075	0.0358151	0.0103243	0.0131566	0.0163471	0.00546146	0.0150214
m	0.00441245	0.000555049	0.0410436	0.0206858	0.00621693	0.020442	0.0625043	0.209932	0.370581	0.098948	0.0188838	0.0189132	0.0173898	0.0287755	0.0247227	0.00921819	0.0467757
i	0.00342721	0.00132306	0.0045044	0.00210903	0.00784643	0.06653	0.0402084	0.206248	0.476794	0.0902889	0.0118866	0.0062965	0.0215388	0.0371319	0.0135507	0.000285471	0.0100312
k	0.000781145	0.000911308	0.0011831	0.00514121	0.0286156	0.0398045	0.0121773	0.0356166	0.815314	0.0324501	0.0035205	0.000987323	0.00445968	0.00977848	0.00253219	0.000208706	0.00651843
ú	3.35827e-05	0.000318285	0.000940492	0.00333189	0.0765321	0.0310116	0.0334416	0.0315135	0.583276	0.135754	0.0101568	0.00341084	0.00732404	0.0273559	0.00881609	0.00491937	0.0418644
n	0.00449597	0.0010548	0.0044983	0.0193474	0.190318	0.0468655	0.0516688	0.0496064	0.330722	0.163325	0.0080041	0.00310564	0.00409467	0.0268668	0.00660788	0.00254054	0.0868774
a	0.00685799	0.000586168	0.0079039	0.0256502	0.0696607	0.0393857	0.136418	0.0815795	0.224359	0.243354	0.0157149	0.00776203	0.010026	0.0273216	0.01063	0.0055873	0.087203
t	0.000252549	6.37123e-05	0.00431167	0.0023418	0.00173799	0.0128596	0.102054	0.120202	0.104157	0.345328	0.130515	0.0943782	0.0343583	0.0300307	0.0112499	0.000986533	0.00517387
s	0.000710631	0.000104961	0.00222527	0.00304298	0.00303792	0.0129882	0.138903	0.0501149	0.0477384	0.264959	0.0865007	0.308292	0.0155964	0.0278603	0.009133	0.00780838	0.0209839
í	0.0015111	9.34254e-05	0.00233338	0.00595764	0.0152481	0.0178716	0.0804978	0.0300243	0.0820209	0.292378	0.235905	0.0402361	0.0344029	0.0718748	0.0230878	0.0175962	0.0489612
n	0.00372015	0.000983432	0.012581	0.0145344	0.0022929	0.0221364	0.0648823	0.0431129	0.0722766	0.103415	0.360724	0.11384	0.0324599	0.0385796	0.0202874	0.0181731	0.0760012
a	0.00407657	0.00185727	0.0155191	0.0301664	0.00185666	0.00497324	0.0189241	0.0154812	0.0366431	0.0588753	0.0952258	0.132359	0.153055	0.0242177	0.0247258	0.155418	0.226626
t	0.00070095	8.79613e-05	0.00603878	0.00320648	0.000504388	0.00216691	0.0156805	0.0375293	0.043002	0.174549	0.152406	0.271418	0.109545	0.0781037	0.0618102	0.0153249	0.027926
á	0.00240543	0.000179729	0.00612492	0.00226823	0.00177164	0.00210092	0.0379182	0.02656	0.00774754	0.328173	0.0596427	0.348632	0.0225575	0.0710883	0.0235617	0.0103343	0.0489333
á	0.000759325	0.000466528	0.00771756	0.00318261	0.000959004	0.00298075	0.0150729	0.0110299	0.013283	0.0995732	0.0940046	0.530675	0.0279957	0.070711	0.0244792	0.0162005	0.0809089
y	0.000109304	6.68754e-05	0.00298098	0.00116139	0.000585903	0.00289262	0.00874642	0.0148934	0.017585	0.0830453	0.10948	0.306627	0.172241	0.152853	0.0863836	0.0128076	0.0275404
a	0.000382245	7.36294e-05	0.01407	0.00999871	0.0004421	0.00174519	0.0116013	0.0329264	0.0365409	0.139851	0.120027	0.125104	0.236755	0.0953919	0.0837623	0.0569989	0.0343299
b	0.000529473	8.11796e-05	0.00419949	0.00345156	7.04093e-05	0.000648312	0.00393478	0.014052	0.00542503	0.0744335	0.310796	0.11782	0.189467	0.074884	0.106164	0.0403166	0.0537271
í	0.000124139	0.000197207	0.00314804	0.00196081	0.00229279	0.00425644	0.00689905	0.0113406	0.00997764	0.0219916	0.633704	0.0202759	0.0811519	0.114929	0.0582368	0.00922954	0.0202846
