 	on	a	enterré	votre	mère	hier	</S>
a	0.650887	0.325293	0.0128124	0.00956774	0.000995968	0.000331766	0.000112024
k	0.0527645	0.321775	0.571461	0.0299151	0.00534362	0.0162675	0.00247303
u	0.00453416	0.0118037	0.900957	0.0529338	0.00576421	0.00086508	0.0231422
n	0.000555777	0.00289249	0.987983	0.00178041	0.000322053	0.000898035	0.00556783
d	0.0812787	0.0793034	0.7951	0.0198214	0.000652551	0.00138894	0.0224547
u	0.167884	0.162403	0.5904	0.0573032	0.00911513	0.000355884	0.0125389
n	0.174057	0.211889	0.0329971	0.432536	0.11078	0.00930015	0.0284406
g	0.0208926	0.0243546	0.0205132	0.518134	0.395547	0.00309813	0.0174604
ó	0.00967931	0.0159573	0.00931454	0.317288	0.637584	0.0012	0.00897617
o	0.00428287	0.00628907	0.00583963	0.208588	0.636339	0.0125661	0.126096
y	0.0240021	0.0448029	0.06774	0.324645	0.382126	0.104373	0.0523111
a	0.131784	0.13721	0.0158598	0.146282	0.340898	0.164452	0.0635139
b	0.0856854	0.0653625	0.0319617	0.215593	0.42281	0.115015	0.0635725
í	0.0510094	0.0357099	0.0111851	0.408153	0.272701	0.175621	0.04562
n	0.0535522	0.0259584	0.0246509	0.461494	0.206325	0.131498	0.096521
í	0.0195578	0.00669968	0.0435382	0.177438	0.280186	0.0385479	0.434032
l	0.00125368	0.00540129	0.00672933	0.0975228	0.580156	0.0993821	0.209555
a	0.00774009	0.0071571	0.0084849	0.0163233	0.0705483	0.501028	0.388719
p	0.00360878	0.00507506	0.0025686	0.0412332	0.135019	0.515928	0.296567
ó	0.000461992	0.000918602	0.000854231	0.00101172	0.00292527	0.979731	0.0140976
a	0.000676179	0.00042973	0.00255841	0.00641164	0.0455634	0.834722	0.109639
</S>	0.0112153	0.014494	0.0149324	0.00935384	0.0165563	0.211639	0.721809
