 	il	a	abordé	la	pirogue	</S>
w	0.899703	0.0594271	0.0217565	0.0109617	0.00785307	0.000298927
a	0.743963	0.04225	0.0167097	0.146006	0.0506281	0.000443569
a	0.313307	0.563219	0.0785085	0.0357556	0.00143575	0.00777349
t	0.0759629	0.457921	0.361007	0.0687274	0.00688143	0.0295004
i	0.0241691	0.391323	0.215115	0.14176	0.00880428	0.218828
n	0.00384811	0.435751	0.421933	0.0740929	0.0174167	0.0469578
g	0.0447796	0.348623	0.44288	0.0979129	0.00531927	0.0604853
í	0.154901	0.11681	0.507892	0.140139	0.0230878	0.0571691
s	0.0541066	0.0550509	0.256574	0.482785	0.0892294	0.0622548
í	0.00622991	0.0142959	0.724966	0.146972	0.0162487	0.0912875
b	0.00464181	0.00805706	0.0325296	0.37403	0.401042	0.179699
v	0.00447928	0.00256762	0.00228269	0.0250534	0.958386	0.00723104
á	3.21846e-05	0.000414107	0.00675271	0.0178439	0.972451	0.0025057
r	0.00112983	0.00377911	0.0512547	0.124759	0.697299	0.121778
e	0.00109684	0.0173313	0.0647021	0.340026	0.0913188	0.485525
</S>	0.00295241	0.0227047	0.0439821	0.380056	0.0593753	0.490929
