 	aujourd'	hui	le	ciel	est	plein	de	nuages	</S>
p	0.228386	0.361444	0.0941995	0.228173	0.066733	0.00275506	0.0146886	0.00329675	0.000324282
á	0.179227	0.770118	0.0155669	0.0245267	0.00324226	0.0041073	0.00142816	0.00157573	0.000207633
b	0.0239621	0.940357	0.0110094	0.00248063	0.00302447	0.00835325	0.00151609	0.000551109	0.00874626
h	0.148726	0.489204	0.0365892	0.249974	0.0214869	0.0293627	0.00665716	0.00408345	0.013916
a	0.261059	0.354661	0.0944001	0.143986	0.0269087	0.0130306	0.00589062	0.010018	0.0900457
i	0.0777872	0.0432822	0.650387	0.0775243	0.0966865	0.0118102	0.0234055	0.00117042	0.0179467
k	0.0290419	0.0159168	0.141886	0.165595	0.277156	0.239519	0.0799224	0.00291368	0.0480492
o	0.00638709	0.00930775	0.0547177	0.361216	0.141075	0.372464	0.0404326	0.00191403	0.0124855
ó	0.00415571	0.00511746	0.0780357	0.352099	0.162978	0.372887	0.0164232	0.000549152	0.00775471
í	0.00424663	0.0010308	0.10473	0.0205116	0.276481	0.0986018	0.346606	0.0178638	0.129928
d	0.00302713	0.0030213	0.0522412	0.0260686	0.141993	0.120467	0.41606	0.125754	0.111368
í	0.000278069	3.63571e-05	0.00918726	0.000430091	0.0122219	0.00879376	0.131471	0.130382	0.707199
b	0.000897189	0.000327892	0.0199942	0.00354623	0.026319	0.106604	0.305713	0.21224	0.324358
a	0.012187	0.0131956	0.0290739	0.00766553	0.0246153	0.228209	0.137986	0.424043	0.123024
m	0.00427244	0.00447829	0.0290711	0.00883912	0.0216147	0.16076	0.126523	0.428719	0.215723
í	0.00522394	0.00154202	0.013511	0.00364764	0.00666854	0.0459979	0.391055	0.224856	0.307498
y	0.00304378	0.00183909	0.0198998	0.00791408	0.0159228	0.0299041	0.197661	0.286786	0.437029
í	0.00804803	0.00134375	0.0537847	0.00171013	0.0103699	0.0153733	0.0846193	0.602748	0.222003
r	0.000366145	9.57533e-05	0.00302069	0.000582409	0.00167505	0.00214614	0.0280367	0.834142	0.129935
á	4.90414e-05	1.52756e-05	0.000424044	7.2065e-06	0.000151678	2.60916e-05	0.00122354	0.950989	0.0471136
</S>	0.000162228	5.33395e-05	0.00128904	0.000159989	0.000632074	0.00158202	0.00812877	0.533668	0.454324
