 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
i	0.563035	0.378587	0.0284701	0.0178442	0.00485216	0.00290367	0.00392731	9.13974e-05	0.000289554
b	0.271453	0.640369	0.0212741	0.0339467	0.00440199	0.00651108	0.00872786	0.0110275	0.00228888
a	0.00709419	0.984397	0.00221134	0.0022889	0.00310021	0.000357585	0.000257492	8.32852e-05	0.000209829
a	0.0321485	0.904428	0.0214076	0.0106154	0.00712963	0.00169937	0.00108928	0.000804443	0.0206773
í	0.424801	0.123543	0.26201	0.0504226	0.0303685	0.010854	0.00470277	0.000298592	0.0929992
d	0.0403307	0.00774928	0.261684	0.316832	0.107954	0.119472	0.0785532	0.0198367	0.0475878
i	0.00694399	0.0302612	0.0803485	0.182993	0.0130139	0.0921005	0.0422218	0.034093	0.518024
b	0.00922517	0.00727647	0.0873699	0.340705	0.0973389	0.241367	0.152894	0.0285564	0.0352671
h	0.0015599	0.0211937	0.0385452	0.216872	0.426031	0.152912	0.101242	0.00307412	0.0385705
í	0.0014896	0.0121316	0.0536252	0.193316	0.446495	0.144959	0.0635308	0.00339225	0.0810601
o	0.00479185	0.00465215	0.110259	0.136185	0.191573	0.274797	0.19453	0.00967326	0.0735381
l	0.000628805	0.00236851	0.00145361	0.0142274	0.00999927	0.0716288	0.0818517	0.787692	0.0301503
a	0.000900357	0.000931599	0.00200897	0.010194	0.00605177	0.0949438	0.109145	0.733739	0.042086
n	0.00058977	0.000250328	0.00286307	0.00919646	0.001547	0.0284445	0.0515144	0.832527	0.073068
g	0.00285362	0.00348847	0.0144528	0.0444134	0.0306145	0.150344	0.18524	0.406039	0.162554
i	0.00603136	0.00117578	0.0165089	0.0260448	0.00613322	0.0257439	0.0499383	0.459603	0.408821
</S>	0.00557074	0.00135759	0.0184124	0.0235074	0.0115566	0.132925	0.232352	0.0160343	0.558284
