 	cet	enfant	sait	vider	le	silure	</S>
m	0.692121	0.298658	0.000792376	0.0062425	0.00178618	4.30958e-05	0.000356389
w	0.0869668	0.909294	6.37194e-05	0.000367264	0.00220666	6.42679e-05	0.00103709
á	0.00290807	0.996987	3.51043e-06	8.04659e-05	1.13788e-05	6.01417e-06	3.42398e-06
n	0.396572	0.579897	0.000331779	0.00184555	0.0035403	2.2622e-05	0.0177913
a	0.134084	0.709496	0.00690916	0.0157208	0.0151252	0.00073187	0.117933
w	0.900636	0.0618292	0.017778	0.00137471	0.00783331	0.000238774	0.0103096
ó	0.287283	0.0919195	0.273782	0.0269212	0.139042	0.0129476	0.168104
l	0.276788	0.0911411	0.202972	0.016264	0.113958	0.0100652	0.288812
á	0.0656531	0.0095103	0.100299	0.0604563	0.114675	0.0108486	0.638557
a	0.14369	0.0285697	0.408802	0.132375	0.0582791	0.00925958	0.219024
y	0.00601606	0.00341876	0.97544	0.0101201	0.000551547	0.000250165	0.00420366
é	0.00921753	0.0014449	0.978062	0.00762491	0.00081972	0.000210206	0.00262034
b	0.0083041	0.000331046	0.944804	0.0179158	0.00881149	0.000333423	0.0194998
h	0.0152067	0.00115269	0.945892	0.0281938	0.00767552	8.91079e-05	0.00178989
á	0.149517	0.00557288	0.395176	0.246942	0.0843283	0.00847662	0.109987
o	0.00714748	0.000987908	0.492296	0.350914	0.132107	0.00239433	0.0141529
b	0.00198644	0.00216862	0.14107	0.81434	0.0266086	0.00343869	0.0103879
h	0.000164432	0.000247283	0.0173065	0.95632	0.0167557	0.000830998	0.00837553
a	0.000206478	0.000187817	0.0131624	0.974949	0.00757344	6.60194e-05	0.00385542
n	0.00580755	0.00190894	0.328843	0.575923	0.0617258	0.00700433	0.0187872
d	0.000668434	0.000160049	0.0500332	0.783665	0.0337274	0.000680112	0.131066
á	0.000558603	7.91648e-05	0.0450178	0.530763	0.0530629	0.0119536	0.358565
n	0.00567143	0.00178107	0.0177214	0.221183	0.624978	0.0384232	0.0902422
g	0.00738901	0.00148203	0.00180642	0.0912088	0.156095	0.69074	0.0512783
ω	0.00245616	0.00230925	0.000258316	0.00142471	0.0112571	0.979084	0.00321034
l	7.7453e-05	2.29917e-05	0.000420362	0.00184793	0.0135577	0.969793	0.0142807
ω	8.94366e-05	0.000115676	0.00684929	0.0225708	0.0616285	0.849781	0.0589656
</S>	0.00237354	0.000222015	0.00761092	0.0188093	0.367536	0.149765	0.453683
