 	onduma	a	commis	l'	adultère	</S>
o	0.863831	0.133904	0.000273254	0.000721177	0.00112136	0.000149699
n	0.523596	0.444657	0.0249679	0.00277486	0.00291468	0.0010894
d	0.256813	0.40722	0.0655285	0.034112	0.0477059	0.18862
ú	0.854362	0.122322	0.0059931	0.00169958	0.00773413	0.00788967
m	0.59794	0.19466	0.0468241	0.0555159	0.0646686	0.0403905
a	0.612115	0.345664	0.0112929	0.00125758	0.00086023	0.0288104
á	0.111846	0.465058	0.314118	0.0635255	0.0049053	0.0405471
b	0.00797119	0.0449454	0.689172	0.210568	0.014581	0.0327627
v	0.00197893	0.0428176	0.801802	0.130789	0.00873932	0.0138728
e	0.0100409	0.0406541	0.429845	0.460825	0.0376525	0.0209825
e	0.0053237	0.00761449	0.609841	0.147587	0.0502881	0.179346
s	0.0076126	0.00718236	0.0550834	0.475933	0.248391	0.205797
i	0.00409384	0.00112078	0.0758212	0.741488	0.0781534	0.0993233
b	0.00755083	0.00171233	0.0131915	0.337996	0.378741	0.260808
ώ	0.00198685	0.00253826	0.025849	0.208764	0.706397	0.0544647
s	9.25883e-05	0.000746148	0.0139936	0.0592362	0.872207	0.0537249
i	0.000513719	0.00108872	0.107589	0.300853	0.464261	0.125694
</S>	0.000896601	0.00292748	0.0264058	0.19588	0.233638	0.540253
