 	son	discours	fut	bref	</S>
d	0.606713	0.34979	0.0422232	0.000534601	0.000739423
z	0.0748764	0.857599	0.0409252	0.00927383	0.0173255
ú	0.00311335	0.990857	0.000384398	0.00449966	0.00114555
e	0.0103561	0.975508	0.00112947	0.00866922	0.00433743
l	0.140793	0.0969475	0.30139	0.010722	0.450147
á	0.391975	0.0349603	0.28749	0.0161972	0.269378
w	0.839581	0.029385	0.120807	0.00628831	0.00393811
a	0.619387	0.0668267	0.198638	0.0650055	0.0501426
á	0.143371	0.0167147	0.736449	0.0343505	0.0691148
d	0.0146288	0.0221115	0.445597	0.38161	0.136053
z	0.00429916	0.00290692	0.0794572	0.245498	0.667839
a	0.0342229	0.0189667	0.0663765	0.625299	0.255135
i	0.0200558	0.00314808	0.0551528	0.19509	0.726554
k	0.00964224	0.0108756	0.0339528	0.618574	0.326956
ú	0.00436627	0.0332008	0.00497877	0.646135	0.311319
l	0.00172234	0.00807245	0.00108998	0.274577	0.714538
ú	0.0361398	0.0130905	0.00738079	0.326364	0.617025
</S>	0.0178759	0.00159189	0.0243404	0.0691241	0.887068
