 	je	les	fait	écrire	des	lettres	</S>
n	0.894531	0.0607732	0.0214838	0.0113862	0.0086735	0.00293512	0.000217319
g	0.991445	0.00656085	0.000693154	0.000693054	0.000562139	3.40719e-05	1.21389e-05
á	0.983231	0.0130074	0.00220412	0.00106285	0.000284971	0.000186944	2.3125e-05
l	0.136068	0.478849	0.124542	0.0347499	0.0946577	0.0117473	0.119386
í	0.587933	0.202843	0.0390505	0.0116789	0.060609	0.00462184	0.093264
i	0.048471	0.317154	0.301658	0.121367	0.0712724	0.0182555	0.121821
k	0.00193782	0.239422	0.560867	0.167913	0.0064602	0.00605726	0.0173424
y	0.000108703	0.0731923	0.577672	0.317502	0.00296185	0.0185156	0.0100479
έ	0.00256322	0.0580274	0.299305	0.614872	0.00612245	0.00830039	0.0108102
m	0.000652427	0.027409	0.332587	0.553334	0.0352156	0.0186137	0.0321886
b	0.00201858	0.0282396	0.0623202	0.513823	0.266786	0.0138912	0.112922
í	0.0156545	0.0443415	0.0528155	0.310872	0.421102	0.0137015	0.141512
s	0.0232179	0.0411408	0.0542259	0.202274	0.55305	0.102367	0.0237251
έ	0.0031452	0.0276728	0.0428217	0.417261	0.368196	0.0659686	0.0749341
b	0.00103646	0.0295631	0.0395244	0.206195	0.506627	0.150175	0.0668802
á	0.00175606	0.0145072	0.0342348	0.0850454	0.214622	0.594473	0.055362
a	0.00840769	0.043167	0.0332038	0.0444614	0.426262	0.331523	0.112976
k	0.000239278	0.0131422	0.0201991	0.0148562	0.41381	0.391781	0.145973
á	1.26464e-05	0.000567682	0.0233665	0.019365	0.00728498	0.905227	0.0441763
s	0.000756701	0.00989942	0.0232546	0.0588428	0.0381666	0.84828	0.0207996
i	0.000132897	0.00262408	0.0236063	0.0241419	0.054058	0.847045	0.0483917
</S>	9.68988e-06	0.0028206	0.0164962	0.012606	0.2005	0.194585	0.572982
