 	l'	enfant	a	envoyé	un	lot	de	cuillères	</S>
m	0.721743	0.272776	0.00183138	0.000141675	0.00102998	0.00177129	0.000566511	7.37727e-05	6.63623e-05
w	0.163263	0.814404	0.0151307	0.00312684	0.00116707	0.000691959	0.0010506	0.000148911	0.00101705
á	0.00746031	0.992322	4.53488e-05	0.000123195	1.76314e-05	1.04305e-05	6.75633e-06	1.15522e-05	2.41491e-06
n	0.171932	0.825366	0.000333407	0.00023904	0.000236641	0.000142513	0.000226106	9.71392e-05	0.00142759
a	0.084134	0.855204	0.0205823	0.00203837	0.000879837	0.000451298	0.00145115	0.00154244	0.0337165
á	0.669109	0.0583162	0.250784	0.00558344	0.00657979	0.00118583	0.004281	0.000858969	0.00330123
t	0.00997054	0.00504641	0.423669	0.541257	0.0069037	0.00187272	0.00432082	0.00096028	0.00599957
í	0.000165112	0.000279521	0.0913076	0.89616	0.00624313	0.00185405	0.00102809	0.000449484	0.00251329
n	0.0011365	0.000302733	0.0165349	0.971952	0.00523958	0.00117929	0.000629376	0.000399738	0.00262578
d	0.0050103	0.000310854	0.0518824	0.906253	0.0265353	0.00342945	0.00226736	0.00118131	0.0031303
i	0.00275651	0.000238763	0.107113	0.829345	0.046789	0.00397041	0.00358354	0.00251906	0.00368424
n	0.0114871	0.00328656	0.153307	0.0939803	0.59273	0.0666371	0.0426297	0.0128438	0.0230987
g	0.0889285	0.0495898	0.043779	0.219915	0.491285	0.0337234	0.0264378	0.0305352	0.015807
ó	0.123477	0.186625	0.0740373	0.0285075	0.404111	0.0676476	0.0292016	0.0500982	0.0362943
o	0.0305772	0.00890069	0.0223049	0.0125519	0.612092	0.123166	0.0672373	0.0858391	0.0373308
l	0.0011297	8.19343e-05	0.0058524	0.00620073	0.64385	0.28384	0.0485678	0.00617541	0.00430217
e	0.0291401	8.63414e-05	0.00707709	0.035066	0.44145	0.252078	0.0865035	0.0723014	0.0762979
b	0.0145402	0.000644546	0.0375856	0.0301152	0.563782	0.16547	0.105855	0.051125	0.0308817
o	0.00127438	0.000393767	0.00151011	0.00325644	0.108958	0.827361	0.0299566	0.0192279	0.00806227
l	0.00157944	0.000121792	0.00237327	0.00482087	0.0774156	0.870876	0.0232788	0.00533193	0.0142023
o	0.000584431	1.35872e-05	0.00399575	0.0426388	0.119592	0.506384	0.122002	0.0358724	0.168917
l	0.000857145	1.79397e-05	0.00436584	0.00216497	0.0502589	0.150716	0.381862	0.0813148	0.328442
á	0.00244799	2.03991e-05	0.00569727	0.0673402	0.0694251	0.0928277	0.118556	0.364554	0.279131
s	0.00542139	0.000541247	0.0272264	0.00200429	0.0605543	0.0147891	0.187071	0.596076	0.106316
ε	0.000644314	3.4628e-05	0.00059248	0.00201677	0.00911905	0.00370472	0.048648	0.858805	0.0764355
b	0.000541832	2.84571e-05	0.000139319	0.000207908	0.00594265	0.0144418	0.0540616	0.686151	0.238485
h	0.00284101	0.000102237	0.00057047	0.000765247	0.105632	0.16299	0.231464	0.357266	0.138369
έ	0.000328779	4.33189e-06	6.63695e-05	0.00312897	0.0488814	0.117079	0.106897	0.559879	0.163735
</S>	0.0056448	5.23077e-05	0.00068617	0.000976337	0.0342908	0.0126888	0.235288	0.264726	0.445647
