 	le	manioc	que	nyebhi	a	préparé	hier	s'	est	déjà	durci	</S>
i	0.578713	0.382394	0.011874	0.0144328	0.00922138	0.00200827	0.000610702	0.00030855	0.000194262	0.000102622	0.000133719	7.17752e-06
k	0.152856	0.808097	0.0108556	0.00325183	0.00299009	0.00984337	0.000851749	0.00119847	0.00156511	0.00161824	0.00588841	0.000984056
ώ	0.0245655	0.946493	0.00550351	0.00805157	0.00226291	0.00377786	0.00233051	0.000718305	0.000676639	0.000184151	0.00472159	0.000714314
ώ	0.0502185	0.877281	0.0156994	0.0205128	0.0108643	0.011138	0.0015999	0.00132857	0.00105859	0.000649522	0.00635641	0.0032935
b	0.41658	0.274055	0.168235	0.0120406	0.052657	0.0109229	0.00530419	0.0120051	0.0109888	0.00376289	0.000854234	0.0325949
í	0.0342911	0.043558	0.124976	0.117889	0.05035	0.021094	0.103895	0.0871615	0.0573973	0.0117267	0.0245214	0.32314
í	0.123164	0.0824744	0.254841	0.0834137	0.133145	0.0502045	0.0463474	0.0659365	0.0455924	0.0237431	0.00724176	0.0838959
l	0.037182	0.0261975	0.615587	0.039603	0.0867653	0.0597446	0.00739994	0.0182757	0.0279377	0.0481704	0.00383519	0.0293013
á	0.0185118	0.0112584	0.478074	0.0238382	0.0918302	0.0964517	0.00940355	0.0407146	0.0412715	0.0803018	0.00180392	0.10654
m	0.0351816	0.00758265	0.416261	0.114366	0.0879487	0.074517	0.0155063	0.039498	0.0308748	0.0451568	0.00478043	0.128327
b	0.0104247	0.00571018	0.308921	0.464628	0.0554201	0.0521951	0.0352712	0.0220609	0.0147584	0.00616178	0.00115706	0.0232908
í	0.00300616	0.00180044	0.0862649	0.849155	0.0141673	0.01609	0.00160514	0.00743284	0.0078231	0.00211479	0.00186839	0.00867224
n	0.0076724	0.00721329	0.139598	0.720712	0.0333592	0.0228961	0.00426393	0.00898002	0.00753045	0.0022081	0.00552512	0.0400412
y	0.0457459	0.00881608	0.36441	0.405893	0.0586108	0.0306626	0.0057909	0.00896412	0.00562587	0.00215603	0.00475712	0.058568
é	0.00933361	0.00195037	0.426554	0.27738	0.0583311	0.0410117	0.00545153	0.0143749	0.0150042	0.00840802	0.00473126	0.137469
e	0.00792443	0.00572499	0.30211	0.163392	0.291128	0.0797841	0.0450503	0.030946	0.0182936	0.00795085	0.00849123	0.039204
b	0.00583338	0.00948751	0.218245	0.238469	0.29654	0.0770171	0.0752889	0.0177322	0.0145411	0.00752006	0.00826485	0.0310602
h	0.00347834	0.0138669	0.0344678	0.554749	0.138927	0.092503	0.0891338	0.0200894	0.0173738	0.00394909	0.017234	0.0142276
í	0.00182891	0.00613684	0.0297114	0.676562	0.091994	0.0693914	0.0150725	0.0140817	0.0123575	0.00555661	0.044301	0.0330061
l	0.00218375	0.00285135	0.0719292	0.29207	0.417353	0.116172	0.0459892	0.0165455	0.00987628	0.00470138	0.0049048	0.0154234
a	0.00241813	0.00559732	0.0670545	0.0891287	0.1592	0.120377	0.172395	0.0385007	0.0326841	0.0207805	0.0188114	0.273053
p	0.00199482	0.000953532	0.0160351	0.0203991	0.234241	0.206218	0.386775	0.0470574	0.0249763	0.0158286	0.00782792	0.0376928
ó	0.00143881	0.00207586	0.00375052	0.00588908	0.0358547	0.0613481	0.85232	0.0172568	0.00658021	0.000789523	0.00496885	0.00772717
a	0.000257153	0.000272272	0.00403902	0.00484589	0.0502944	0.0964772	0.730225	0.0409332	0.019355	0.00749968	0.00635063	0.0394509
í	0.00102608	0.00198433	0.020829	0.00405408	0.248137	0.144959	0.187315	0.184542	0.0931461	0.063848	0.00851861	0.0416414
m	0.00765937	0.00920757	0.041717	0.00614394	0.0740144	0.108606	0.0569086	0.250641	0.249662	0.1392	0.0176812	0.0385595
i	0.0024807	0.00164774	0.0353553	0.00737583	0.0409777	0.109703	0.0408212	0.221261	0.251472	0.179799	0.0311006	0.0780044
s	0.00223279	0.00364583	0.0188108	0.0131935	0.0283489	0.260591	0.145751	0.168856	0.142175	0.0869533	0.0512917	0.0781505
á	0.000349148	0.000340978	0.0248196	0.00538705	0.0641459	0.300467	0.0633053	0.144034	0.138293	0.168736	0.0091051	0.0810172
á	0.000356497	5.68531e-05	0.00334929	0.00124237	0.0561445	0.0551698	0.240772	0.328834	0.125438	0.0581007	0.00498363	0.125552
o	0.000627362	0.000286373	0.00655689	0.00597225	0.0474911	0.0309328	0.0917524	0.348199	0.300557	0.130862	0.0205578	0.0162049
b	0.0016828	0.00264245	0.0147689	0.0148062	0.0128198	0.0709629	0.0372809	0.0881861	0.234588	0.140067	0.361325	0.0208705
h	0.000424614	0.00496425	0.0189796	0.0565557	0.0154968	0.0569251	0.0103611	0.0549796	0.111242	0.0359541	0.601981	0.0321366
á	0.00032589	0.00177698	0.007341	0.049213	0.00861605	0.0425615	0.00773161	0.0345619	0.0938557	0.0627576	0.639901	0.0513577
m	0.000944974	0.000249625	0.00301988	0.00907786	0.0272551	0.0251326	0.0388466	0.198651	0.265757	0.0667745	0.100052	0.264239
i	0.000827558	0.000187697	0.00300434	0.0164953	0.00594588	0.013574	0.00331517	0.095384	0.31442	0.229878	0.0970983	0.219869
n	0.000484788	0.000102049	0.00222297	0.00484883	0.00680796	0.010311	0.0157021	0.0810936	0.173581	0.0936734	0.353317	0.257855
a	0.00241504	0.000273136	0.0143579	0.00825904	0.0399144	0.0591229	0.00966012	0.134113	0.190485	0.13393	0.135081	0.272388
</S>	0.000221687	3.9614e-05	0.00151606	0.000657942	0.0341908	0.0143251	0.0225569	0.119874	0.180529	0.149781	0.0708325	0.405477
