 	le	ruisseau	vouma	me	fait	peur	car	il	est	plein	de	fougue	</S>
w	0.50547	0.434944	0.0237416	0.00502993	0.00743872	0.00557917	0.00599526	0.00424371	0.00262214	0.000197937	0.00258679	0.00210695	4.40621e-05
ó	0.329952	0.552361	0.0387388	0.0139812	0.0312027	0.0195681	0.00213873	0.00606828	0.00350601	4.93323e-05	0.00151958	0.00087416	4.00141e-05
m	0.348485	0.396632	0.100316	0.0258885	0.0319683	0.0152299	0.0244959	0.0189087	0.0158878	0.00285109	0.0137256	0.000754943	0.00485648
á	0.0575205	0.0243452	0.815464	0.0115229	0.0423685	0.0211764	0.00228958	0.00692065	0.00403934	0.000494286	0.00170626	0.000157603	0.011995
l	0.106416	0.164729	0.327853	0.155289	0.0545602	0.0266722	0.0294938	0.0391663	0.0307614	0.00861818	0.0185873	0.00356456	0.034289
á	0.111839	0.109053	0.320023	0.282359	0.0417078	0.00645221	0.0159684	0.0251108	0.0366005	0.00283161	0.00949439	0.000688541	0.0378723
a	0.0990845	0.0383594	0.455026	0.21566	0.0579353	0.0237127	0.0322278	0.0411229	0.0141466	0.0014839	0.0057041	0.000282964	0.015254
p	0.0882609	0.169584	0.14499	0.115272	0.315119	0.0203399	0.0138604	0.00798139	0.0173396	0.0585916	0.0084759	0.0212833	0.0189011
ε	0.0195137	0.201793	0.0461954	0.00352507	0.345799	0.00757994	0.0459312	0.0121432	0.0169014	0.212234	0.010779	0.019955	0.0576511
ε	0.112982	0.560619	0.0469024	0.0056161	0.0547151	0.00397211	0.0603308	0.0186501	0.0137098	0.0252582	0.0172715	0.00358882	0.0763849
n	0.0296763	0.0123853	0.179593	0.223195	0.34996	0.0543253	0.0556036	0.0265134	0.0187269	0.00226871	0.0133805	0.00479375	0.029578
g	0.0228596	0.0100877	0.0574079	0.760296	0.0954517	0.0164632	0.0141639	0.00773511	0.00479037	0.000308246	0.00239396	0.000246929	0.00779565
á	0.0268231	0.0297831	0.0793515	0.728064	0.0902159	0.013943	0.0112158	0.00830895	0.00484064	0.000476998	0.00333222	0.000110437	0.00353499
b	0.00808981	0.0109745	0.0426656	0.0612927	0.32653	0.175808	0.265727	0.0754828	0.0151221	0.00294547	0.0062111	0.00453654	0.00461499
ώ	0.00394213	0.0026808	0.0178125	0.0319005	0.0651614	0.699088	0.0610131	0.0402912	0.0148162	0.0112598	0.00412377	0.0389459	0.00896476
m	0.00167301	0.00120145	0.0014386	0.0158571	0.0328101	0.5102	0.165933	0.0688039	0.0171725	0.0185503	0.00935777	0.135572	0.0214306
ώ	0.00112275	0.000308125	0.0125944	0.0148809	0.0611009	0.658614	0.0591016	0.0633962	0.0332728	0.00355051	0.0298676	0.00234595	0.059844
