 	cette	maison	n'	est	pas	encore	peinte	de	ce	côté	</S>
n	0.284092	0.428083	0.162982	0.031336	0.0597412	0.0126573	0.00672702	0.00671423	0.00378594	0.00266669	0.00121531
d	0.0334125	0.964424	0.000827632	0.000307049	0.000351554	0.000293137	3.08162e-05	0.000110263	6.14519e-05	0.000177737	3.8221e-06
é	0.0146381	0.982819	0.00041041	0.000242798	0.000213533	0.00109891	8.60262e-05	0.000123492	6.02619e-05	0.000278176	2.92597e-05
e	0.159244	0.584455	0.133048	0.0541304	0.0194785	0.0152227	0.00315925	0.008637	0.00723587	0.00290226	0.0124863
y	0.170009	0.0912309	0.518658	0.0863997	0.0479176	0.0528019	0.00292003	0.00545696	0.00745919	0.00173706	0.0154104
é	0.29935	0.152157	0.305195	0.078106	0.0284704	0.0678231	0.00211956	0.0130082	0.0144796	0.00286743	0.0364233
é	0.232514	0.0845333	0.358678	0.144804	0.0659423	0.0620555	0.004939	0.00968899	0.00983867	0.000966569	0.0260399
s	0.0268815	0.00352963	0.0798912	0.0726683	0.0490182	0.645675	0.0718459	0.0099216	0.00810256	0.00155617	0.03091
á	0.00518798	0.000754209	0.0133756	0.0349756	0.0178636	0.896005	0.0202602	0.00233026	0.00148955	4.13667e-05	0.00771628
a	0.0421284	0.00658148	0.0621293	0.168776	0.111432	0.471027	0.0369795	0.0143903	0.0108474	0.00052199	0.0751866
o	0.0095368	0.00294481	0.0424847	0.176753	0.206714	0.41355	0.101169	0.0202635	0.0116606	0.00313299	0.0117898
k	0.00155306	6.66078e-05	0.00357708	0.033168	0.0293493	0.089165	0.814605	0.0174748	0.00413094	0.00382336	0.0030872
ó	0.000265054	1.69632e-05	0.00215608	0.0178835	0.0410191	0.00259186	0.902729	0.0143699	0.00402329	0.00598072	0.00896491
á	0.000446285	3.80449e-05	0.012943	0.0625197	0.117181	0.00894052	0.753049	0.0200595	0.0058961	0.0031712	0.0157565
o	0.0157782	0.00246994	0.0417824	0.118855	0.172581	0.121032	0.254235	0.186976	0.0483015	0.00971274	0.0282763
k	0.0047311	0.000301439	0.00285687	0.0126041	0.0102414	0.0554438	0.582223	0.236228	0.0545191	0.0294443	0.0114065
ó	0.00121357	0.00018382	0.00230018	0.00895482	0.0153439	0.00241701	0.760025	0.114489	0.0287768	0.0448242	0.0214715
b	0.000175718	1.81514e-05	0.00493102	0.0218068	0.0258815	0.00229238	0.773555	0.0859724	0.0250735	0.0151768	0.0451166
h	0.00277394	0.000340146	0.00687106	0.0135425	0.035351	0.00207901	0.334192	0.197768	0.0542186	0.0525467	0.300317
o	0.0368405	0.00547145	0.00881032	0.0283928	0.0494642	0.00535666	0.151006	0.268677	0.109096	0.146738	0.190147
m	0.00975649	0.000722142	0.0120578	0.0175758	0.0164954	0.00694823	0.0405099	0.435145	0.279124	0.0325547	0.14911
ó	0.0427484	0.00108251	0.0239719	0.0218663	0.0106532	0.00227299	0.0011837	0.198182	0.385231	0.171793	0.141015
m	0.0102278	0.00333754	0.0188955	0.0173026	0.00942027	0.00446875	0.0182945	0.256928	0.316551	0.195485	0.149089
b	0.0168403	0.00217414	0.0176787	0.0163448	0.00369273	0.0173993	0.00122499	0.0900254	0.328235	0.284039	0.222346
a	0.00234683	0.000521943	0.000657598	0.00463754	0.00130746	0.00247137	0.018667	0.158356	0.221507	0.451324	0.138203
n	0.00121978	5.90204e-05	0.000818056	0.00360764	0.00197603	0.000342386	0.0026834	0.100638	0.246145	0.521496	0.121015
g	0.00915626	0.00201524	0.00662994	0.0124458	0.00709839	0.00701715	0.0164047	0.248657	0.367209	0.115146	0.208221
e	0.00988044	0.0121893	0.002874	0.0052524	0.00300804	0.00443454	0.0110427	0.264749	0.154445	0.143883	0.388242
y	0.00229212	0.000316906	0.00479948	0.00357204	0.00241091	0.000540097	0.00259597	0.110989	0.275415	0.0740781	0.522991
é	0.0356112	0.00280101	0.0330763	0.0296304	0.0118691	0.0104677	0.00385372	0.196913	0.427412	0.11572	0.132645
k	0.00534388	0.000530874	0.0103307	0.0133699	0.00441269	0.00576578	0.00365672	0.0824248	0.275806	0.05229	0.546069
a	0.0003983	0.000217575	0.00365949	0.00477045	0.0049252	0.000269808	0.015312	0.0719601	0.105641	0.69294	0.099906
á	0.000462548	9.1067e-05	0.00165209	0.00358928	0.00200386	0.000285188	0.0103886	0.0628022	0.0989918	0.208574	0.611159
</S>	0.00214961	0.000389783	0.0172739	0.013747	0.00447114	0.0110479	0.00353494	0.0393863	0.183781	0.0432378	0.680981
