 	celui-ci	est	l'	assesseur	de	notre	village	</S>
w	0.470439	0.294825	0.158598	0.0407852	0.0210436	0.0101205	0.00331119	0.00087833
ó	0.111475	0.320809	0.200402	0.112485	0.0931173	0.151869	0.00972258	0.000120266
t	0.186955	0.188385	0.193954	0.0732645	0.120346	0.107587	0.0473198	0.0821889
w	0.368462	0.103354	0.178698	0.0565506	0.0359495	0.0165696	0.149307	0.0911092
ε	0.432171	0.204613	0.151212	0.0574221	0.0319246	0.0394785	0.054767	0.0284115
r	0.364991	0.176585	0.18171	0.0737195	0.0433435	0.0112204	0.0238097	0.124622
ε	0.342943	0.366049	0.20089	0.013278	0.0209497	0.0188588	0.0129794	0.0240521
y	0.0505886	0.344066	0.294571	0.102694	0.0543649	0.131086	0.00951694	0.0131123
a	0.0896401	0.272614	0.330007	0.0570615	0.0524948	0.0592996	0.0606171	0.0782662
p	0.00697928	0.0879129	0.453099	0.024653	0.0428996	0.200491	0.172459	0.0115058
o	0.0169873	0.0156707	0.0281759	0.0138821	0.0110307	0.00217513	0.904202	0.00787598
o	0.00917316	0.00937012	0.0448333	0.0263276	0.0313151	0.00394434	0.864421	0.0106158
y	0.00246826	0.0203169	0.0492031	0.0262078	0.239503	0.482835	0.0144603	0.165005
á	0.00652675	0.0927152	0.297065	0.0829393	0.164097	0.254331	0.0518845	0.0504414
b	0.00217542	0.0277593	0.0977142	0.0250662	0.0862342	0.590524	0.0723959	0.0981303
í	0.0137965	0.0852173	0.132127	0.10163	0.183354	0.405084	0.044198	0.0345938
s	0.0053253	0.0407448	0.0527444	0.0687815	0.0654768	0.441115	0.246705	0.0791065
í	0.00200078	0.0113985	0.0218317	0.0161238	0.0987963	0.348847	0.17984	0.321162
</S>	0.0011045	0.00690882	0.0113724	0.00920197	0.0691436	0.141445	0.0217267	0.739097
