 	c'	est	vraiment	insolite	de	voir	une	bête	bossue	</S>
y	0.694941	0.220198	0.0599757	0.00729816	0.0131948	0.00165775	0.00109024	0.0013941	0.000112225	0.000137289
é	0.545657	0.110125	0.0499616	0.264898	0.00822503	0.00116397	0.00328493	0.00519088	0.00862125	0.00287146
w	0.161654	0.252203	0.208142	0.34278	0.0154656	0.00137397	0.00198323	0.00547322	0.00471403	0.00621125
á	0.0292934	0.0852679	0.230459	0.212402	0.115524	0.0535718	0.0344167	0.0582589	0.00647171	0.174335
r	0.204834	0.0880191	0.163723	0.124645	0.0375712	0.054192	0.0302078	0.0152908	0.00166973	0.279847
é	0.2283	0.111636	0.0987599	0.0199881	0.0942038	0.0478678	0.0177133	0.0603075	0.0466446	0.274579
e	0.0646525	0.0984348	0.353182	0.057836	0.222371	0.0367485	0.0208094	0.0383838	0.0117788	0.0958033
t	0.00298604	0.0387325	0.212564	0.576843	0.0912064	0.0222521	0.0341428	0.0130551	0.000579278	0.00763882
é	0.000444853	0.0129079	0.0947355	0.721699	0.120264	0.019461	0.0220019	0.00496175	9.90908e-05	0.00342456
t	0.00171697	0.0263235	0.126034	0.634417	0.149294	0.0217928	0.0166251	0.00696896	0.000674515	0.0161531
e	0.00195229	0.0101735	0.0913254	0.755045	0.102073	0.0143263	0.0152225	0.00431473	0.000248887	0.00531861
é	0.00820719	0.0322153	0.178228	0.0843577	0.517195	0.0945047	0.0280427	0.00910783	0.00049568	0.0476462
i	0.00220692	0.0133706	0.0633107	0.00348143	0.351658	0.427901	0.0703277	0.00823063	0.000367581	0.0591454
t	0.000824964	0.0130003	0.02745	0.00852201	0.0890673	0.591601	0.210216	0.0225621	0.00122586	0.03553
á	6.95304e-05	0.00348093	0.0255516	0.0291267	0.0857433	0.462418	0.345942	0.0333756	0.000947663	0.013345
a	0.000788497	0.00470998	0.0290698	0.0319527	0.0944604	0.683244	0.0988253	0.0132822	0.00208726	0.0415803
l	0.00395988	0.00348799	0.0132236	0.0036197	0.124446	0.509686	0.246021	0.063877	0.0124195	0.0192591
á	0.000636565	0.00105242	0.00476661	0.00211983	0.0281603	0.415071	0.317825	0.0753459	0.0173398	0.137682
n	0.0105114	0.00200224	0.00838845	0.00338682	0.0356339	0.277355	0.173743	0.166079	0.254531	0.0683694
y	0.000789554	0.000133456	0.000893101	0.000654396	0.0117111	0.045319	0.0465914	0.0517813	0.78841	0.0537168
a	0.000129712	0.000221865	0.000949157	0.000428803	0.00316025	0.0121206	0.0443636	0.088603	0.822581	0.0274422
m	6.02595e-05	0.00022081	0.00282498	0.00298315	0.0288731	0.0283214	0.266111	0.285325	0.299983	0.0852976
a	0.00197733	0.00070647	0.00156865	0.000622043	0.0139337	0.0322617	0.103453	0.427537	0.224446	0.193494
l	0.000931415	0.00231975	0.0092283	0.000887696	0.025654	0.0594488	0.198446	0.249794	0.0421193	0.411171
e	0.00161721	0.00292095	0.0102237	0.00132288	0.01048	0.0662561	0.186377	0.219949	0.12666	0.374193
n	0.000163001	0.00054434	0.00435673	0.000530235	0.00449036	0.0127894	0.150526	0.344466	0.199521	0.282612
g	0.000192876	9.51351e-05	0.000589869	0.000165851	0.0011901	0.00106313	0.0125996	0.0967817	0.82154	0.0657813
ú	5.55383e-05	0.000151315	0.000757435	0.000195711	0.00259046	0.00435327	0.0272718	0.162719	0.754467	0.047438
l	3.33702e-05	1.65879e-05	7.76909e-05	4.87751e-05	0.000242733	0.000610603	0.00718677	0.056985	0.911575	0.0232233
ε	0.00138027	0.000597421	0.00262222	0.00153535	0.00221653	0.00417393	0.0495147	0.344171	0.443994	0.149795
</S>	0.000425897	0.00012296	0.000754478	0.000120084	0.00145697	0.000905588	0.0531749	0.125914	0.0729991	0.744126
