 	lorsque	la	femme	accouche	ses	seins	deviennent	gros	</S>
o	0.672136	0.298966	0.00303248	0.0163451	0.00467707	0.00299994	0.00138007	0.000409713	5.37835e-05
y	0.0976579	0.190664	0.697595	0.00205804	0.00130867	0.00193061	0.00305262	0.0017439	0.00398916
ú	0.318729	0.325501	0.349397	0.00092402	0.0011117	0.00101644	0.000450627	0.000380918	0.00248965
r	0.261161	0.505455	0.0602595	0.00272413	0.00824689	0.0066215	0.00402588	0.0194363	0.132071
u	0.386313	0.427103	0.0135447	0.0248774	0.0575176	0.0305692	0.00564095	0.0285981	0.0258354
w	0.426209	0.426511	0.0426703	0.0309699	0.0217565	0.0117931	0.00762805	0.00619668	0.0262654
á	0.260968	0.235446	0.00422179	0.0564514	0.105527	0.164066	0.0891658	0.0166671	0.067486
á	0.169288	0.156206	0.0561124	0.180637	0.135333	0.0635702	0.060363	0.0242104	0.15428
a	0.0679369	0.148885	0.0470467	0.319843	0.0899794	0.0485257	0.0526612	0.0238564	0.201266
b	0.0480288	0.106572	0.0944901	0.437991	0.113024	0.0422047	0.0429628	0.0238692	0.090858
ó	0.0170645	0.0452103	0.00566	0.597479	0.2053	0.0856972	0.0167218	0.0126111	0.0142567
r	0.0607957	0.0652243	0.00363848	0.458038	0.174177	0.0569136	0.0243709	0.0185206	0.138321
í	0.0721134	0.130501	0.00303876	0.292528	0.218713	0.109885	0.0349374	0.0294154	0.108868
a	0.0109624	0.0274422	0.00119455	0.423003	0.398394	0.0760184	0.0337287	0.00542818	0.023828
b	0.00947101	0.0118947	0.00336539	0.268934	0.405146	0.18009	0.0677938	0.0234442	0.0298603
έ	0.00160501	0.00481636	0.000663992	0.388027	0.343695	0.196985	0.0269941	0.0210372	0.0161759
ε	0.00806794	0.00664366	0.000331209	0.195014	0.297626	0.244775	0.0392737	0.0531034	0.155165
m	0.00308179	0.00318433	0.000235079	0.0505075	0.383585	0.268531	0.194131	0.0336948	0.0630494
á	0.000652596	0.00226917	0.00552763	0.0214905	0.166585	0.0762263	0.032711	0.297535	0.397003
á	0.00366255	0.00858662	0.00075789	0.0202092	0.17379	0.170579	0.212862	0.296806	0.112748
y	0.0120166	0.00713801	0.00120858	0.0114192	0.0354759	0.103889	0.31441	0.289792	0.22465
a	0.0102701	0.0223867	0.00170903	0.00115162	0.00882898	0.0566064	0.318172	0.126472	0.454403
á	0.00101542	0.00229591	0.000209162	0.00177969	0.0294552	0.0643869	0.207431	0.204994	0.488433
t	0.00408793	0.00467071	0.000143272	0.00611778	0.0394862	0.0947898	0.214623	0.326478	0.309603
ú	0.00194591	0.00359354	5.13831e-05	0.0250464	0.0839353	0.317861	0.312969	0.150721	0.103877
ú	0.000663154	0.000981943	9.22021e-06	0.00243669	0.0338977	0.0974159	0.149139	0.233808	0.481648
g	0.000543231	0.000824468	5.49767e-06	0.00222315	0.0215603	0.0593727	0.111573	0.322277	0.48162
h	0.000866839	0.00105762	1.1478e-05	0.00118744	0.00911381	0.03208	0.0556663	0.694036	0.20598
ú	0.00259244	0.00505397	1.96575e-05	0.000976153	0.00920795	0.0213943	0.0341779	0.536489	0.390089
t	0.000497413	0.000831162	1.06804e-05	0.000476841	0.0042214	0.012542	0.0498393	0.318963	0.612618
ú	0.00298114	0.0045025	9.80917e-06	0.00484642	0.027442	0.160184	0.243819	0.264195	0.292021
ú	0.00241806	0.004635	3.1742e-05	0.00179277	0.0132911	0.0286971	0.0627631	0.295806	0.590565
g	0.00389794	0.00496419	1.81656e-05	0.00393637	0.0153428	0.0216618	0.0674622	0.255899	0.626817
h	0.00470311	0.00485087	1.11233e-05	0.0107214	0.0255864	0.0616563	0.106292	0.503499	0.28268
ú	0.00274576	0.00411405	6.80378e-06	0.0031522	0.0142631	0.047351	0.0691213	0.51944	0.339806
</S>	0.00107558	0.00143005	3.16253e-05	0.00107856	0.00413491	0.0134752	0.0974578	0.292263	0.589053
