 	cet	étang	est	devenu	sec	</S>
e	0.932791	0.0407992	0.0174068	0.00837019	0.000190501	0.000442127
t	0.0934254	0.894626	0.00787085	0.00223752	0.000789147	0.00105112
o	0.00306124	0.990241	0.00573392	0.000514221	7.57827e-05	0.000373676
n	0.00315066	0.992165	0.00254445	0.000945931	8.02839e-05	0.00111406
g	0.117157	0.873658	0.00634321	0.000371611	0.000133012	0.0023369
o	0.100105	0.881731	0.0115895	0.000733546	0.000142576	0.00569813
y	0.229724	0.118	0.60388	0.0299394	0.00493971	0.0135163
é	0.814392	0.0165993	0.145749	0.0157028	0.00233842	0.00521873
é	0.573044	0.0323246	0.229274	0.111748	0.0231625	0.0304467
m	0.055812	0.00786611	0.207046	0.49775	0.153004	0.0785214
i	0.0169765	0.000110962	0.107876	0.194023	0.522469	0.158544
s	0.00557797	0.000485727	0.0290773	0.412873	0.460055	0.0919307
á	0.00201365	0.0029939	0.0505065	0.170375	0.601439	0.172672
á	0.00494074	0.000871519	0.179292	0.177625	0.209723	0.427548
o	0.0250874	0.000676563	0.100956	0.509262	0.254707	0.109311
w	0.00267942	0.00149328	0.00429322	0.128907	0.806518	0.0561092
ó	0.0268885	0.0266617	0.107729	0.481394	0.160458	0.196869
m	0.000611131	0.00826377	0.0386938	0.0249055	0.422078	0.505448
a	0.0142539	0.00816081	0.0888918	0.106965	0.229908	0.551821
</S>	0.0123536	0.00123231	0.0759867	0.0834202	0.0265782	0.800429
