 	auparavant	on	cultivait	ici	du	riz	maintenant	on	ne	cultive	que	le	manioc	</S>
o	0.868325	0.0670635	0.00701075	0.0268589	0.0239067	0.000897067	0.00131883	0.00143521	0.00114238	0.000247544	0.000942421	0.000523482	0.000294341	3.40481e-05
b	0.999649	4.07863e-05	0.00014587	9.06086e-06	1.47245e-05	2.57166e-05	4.21131e-06	3.27107e-06	7.53638e-06	2.69986e-05	1.16845e-05	1.11734e-05	5.23298e-06	4.51846e-05
o	0.996886	0.000332831	0.00101663	0.000401849	0.000188088	0.000576348	2.49628e-05	0.00013599	8.09069e-05	4.37764e-05	6.40334e-05	0.000135979	3.00854e-05	8.23155e-05
s	0.990417	0.000920329	0.00156905	0.00128315	0.00127165	0.000528162	0.0002119	0.000310752	0.000595798	0.000277802	0.000454312	0.000618943	0.000295746	0.00124552
ó	0.635112	0.0374114	0.0180469	0.0383294	0.0334361	0.00447601	0.0281041	0.0209	0.0285327	0.0183023	0.0293029	0.027282	0.0242208	0.0565431
á	0.028802	0.663644	0.0157763	0.0409526	0.0253716	0.0152617	0.0397345	0.0368423	0.0247266	0.0061485	0.018948	0.0125453	0.00311436	0.0681322
d	0.00949545	0.711058	0.133784	0.0323553	0.0139873	0.0158457	0.00784309	0.00999544	0.012639	0.0120745	0.0144255	0.0106063	0.0043187	0.0115722
z	0.0170743	0.465867	0.223849	0.0252642	0.00897643	0.0439048	0.00358345	0.00819646	0.0140091	0.010165	0.0148812	0.0110927	0.000557423	0.152579
a	0.00512423	0.301122	0.395701	0.0619444	0.0398079	0.0189729	0.00578704	0.0175823	0.0235615	0.0383846	0.024512	0.0140164	0.00148092	0.052002
b	0.00111008	0.32713	0.243951	0.038208	0.0243572	0.0200477	0.0294098	0.0333676	0.0241963	0.0275074	0.0355668	0.0282496	0.0151229	0.151776
á	0.000197531	0.390354	0.102831	0.15661	0.0918723	0.0533382	0.061856	0.0352402	0.0269057	0.00162722	0.0261509	0.00886066	0.00512542	0.0390304
a	0.00012707	0.459354	0.0286478	0.117951	0.0376836	0.0447352	0.0517836	0.086389	0.0235693	0.00181191	0.0297058	0.0332895	0.00640591	0.0785468
s	0.000401876	0.128897	0.773824	0.0500587	0.00530169	0.00518295	0.00598277	0.00284363	0.00528296	0.00730177	0.00257687	0.00203581	0.00273853	0.00757179
i	0.00224699	0.00790344	0.966562	0.00453318	0.000741	0.00145841	0.000191761	0.000428842	0.000968874	0.00511047	0.000611777	0.000650906	0.000335483	0.00825704
á	0.000305702	0.0728678	0.866668	0.0278713	0.00274899	0.00220387	0.000601633	0.000494098	0.0018209	0.0117813	0.000948606	0.000995134	0.000806462	0.00988652
l	0.000259039	0.203792	0.365272	0.283259	0.0462256	0.0178809	0.0151621	0.0135514	0.00910307	0.00761197	0.00880129	0.00594444	0.0029777	0.0201598
ώ	0.000155177	0.0628757	0.212612	0.13646	0.0464208	0.0651104	0.029699	0.0150361	0.0369622	0.0149979	0.0421702	0.0333996	0.00868526	0.295416
s	0.000241384	0.0401384	0.103741	0.24225	0.135253	0.234956	0.0213268	0.0118347	0.019173	0.0109286	0.0278368	0.0262608	0.0129984	0.113062
ω	0.000345038	0.0174993	0.322311	0.170331	0.118127	0.231301	0.0138974	0.0155278	0.0145016	0.0268413	0.0236857	0.0139839	0.00736124	0.0242863
b	3.93328e-05	0.0114415	0.154597	0.271314	0.227148	0.114884	0.0288662	0.00818915	0.0274932	0.0108403	0.0378428	0.0305776	0.0133318	0.0634349
h	0.000118455	0.0206984	0.0525572	0.245447	0.263827	0.048454	0.210055	0.0649195	0.0438611	0.0039089	0.0197894	0.00717056	0.00548374	0.0137102
á	0.000193101	0.0111738	0.0304896	0.442946	0.184589	0.0138911	0.120668	0.0446336	0.0220126	0.00254031	0.0275238	0.0153948	0.004488	0.0794551
p	8.66767e-05	0.00460911	0.0022717	0.226464	0.510691	0.0359723	0.139553	0.029212	0.0199706	0.00635488	0.00817947	0.00321607	0.00179958	0.0116197
á	9.28245e-05	0.00282455	0.00110811	0.0237104	0.251915	0.0441315	0.452579	0.0401787	0.0384809	0.028057	0.0261035	0.00404647	0.0558441	0.0309272
r	0.000960114	0.00704361	0.00435801	0.0393288	0.172621	0.167681	0.303931	0.0699893	0.0224026	0.0454254	0.012729	0.00394392	0.0259774	0.123608
á	0.000675008	0.003202	0.00219282	0.0414903	0.0989883	0.301477	0.067741	0.0278609	0.030403	0.00801269	0.0606088	0.0334004	0.00750008	0.316448
a	1.7544e-05	0.00469027	0.00121046	0.044068	0.168064	0.27033	0.258715	0.0901051	0.0762107	0.0211338	0.0183009	0.0140326	0.00315064	0.029971
d	0.000210784	0.00905652	0.00777733	0.0261084	0.0509315	0.118725	0.141506	0.142831	0.252167	0.144335	0.0583837	0.0276032	0.0114865	0.0088774
í	0.000715649	0.00495572	0.0208915	0.0161191	0.034381	0.155245	0.025874	0.0610783	0.118425	0.245178	0.0580497	0.0415351	0.00542791	0.212123
b	6.66275e-05	0.00123783	0.00129605	0.0106248	0.0323026	0.041736	0.0928165	0.161334	0.167451	0.28574	0.0789468	0.0501701	0.0230795	0.0531976
h	2.27234e-05	0.00144108	0.000542069	0.0114001	0.099962	0.108131	0.213608	0.258277	0.0954456	0.0399119	0.0719382	0.0249406	0.039784	0.0345956
á	8.06509e-05	0.00115523	0.00103021	0.0336242	0.12286	0.0378936	0.209925	0.179634	0.087224	0.0449211	0.0914345	0.0352265	0.0376547	0.117336
a	7.88309e-06	0.00204116	0.0002372	0.0113621	0.0700142	0.0765252	0.168866	0.282936	0.180487	0.0548856	0.0737873	0.0364762	0.00854447	0.0338292
b	0.00013057	0.00437061	0.00580562	0.0122404	0.0146264	0.0303209	0.0321346	0.0774245	0.203183	0.328285	0.132444	0.0673285	0.0584003	0.0333061
