 	la	construction	du	bâtiment	de	l'	école	concerne	tout	le	village	</S>
i	0.620213	0.216975	0.11086	0.0107527	0.00944099	0.00933293	0.00230752	0.00383926	0.00182239	0.0121945	0.00215741	0.000104844
t	0.206532	0.510869	0.106482	0.0372678	0.0119264	0.0128313	0.00618352	0.0112891	0.0217907	0.0287544	0.038806	0.00726799
ó	0.0331191	0.55964	0.0629095	0.0239469	0.0162663	0.019456	0.0955933	0.0200668	0.0380225	0.00563789	0.110171	0.0151701
n	0.180075	0.691822	0.0569809	0.00670084	0.00492748	0.00386528	0.0239927	0.00430566	0.00585754	0.0012024	0.0166008	0.00366986
g	0.311755	0.520419	0.0592141	0.0244883	0.0106395	0.00829422	0.0159223	0.0079388	0.0113179	0.012268	0.0034612	0.0142819
a	0.361613	0.527076	0.0504216	0.0375941	0.00815911	0.00267485	0.00640036	0.00159774	0.000704642	0.00127913	0.000299683	0.00218028
l	0.0815149	0.0341269	0.731101	0.0235349	0.058442	0.0130475	0.00964622	0.00449783	0.00948883	0.0095074	0.000423332	0.0246689
á	0.0472813	0.0218902	0.188292	0.184482	0.0703766	0.0325005	0.0217999	0.02276	0.056677	0.0428212	0.00270562	0.308414
n	0.0874239	0.0414845	0.181813	0.501722	0.0736878	0.0260797	0.03711	0.0119358	0.0103751	0.0112675	0.00328731	0.0138135
d	0.0133073	0.0191448	0.107337	0.742672	0.0687623	0.0170187	0.00908564	0.00505654	0.00393593	0.00815052	3.37449e-05	0.00549585
é	0.000817338	0.00473077	0.0138534	0.90799	0.0361193	0.00961762	0.0187672	0.00182472	0.00153528	0.00190911	0.000118048	0.00271732
e	0.0165882	0.0390812	0.142964	0.281152	0.201586	0.117246	0.157107	0.0190567	0.00549062	0.0106129	0.000419086	0.00869602
y	0.00695622	0.00475324	0.168948	0.0276341	0.380053	0.229837	0.107122	0.0303446	0.0161398	0.0116933	0.000452006	0.0160675
á	0.0252164	0.00664764	0.168856	0.0350206	0.297153	0.194342	0.158718	0.0354398	0.0201244	0.019854	0.00346999	0.0351584
l	0.0125002	0.00428166	0.0814929	0.0456202	0.208012	0.270813	0.281846	0.0449437	0.0127256	0.0120123	0.0156733	0.010079
e	0.00422272	0.00486486	0.0281932	0.0454913	0.225205	0.267	0.242896	0.0608317	0.0392413	0.0181841	0.000385813	0.0634838
k	0.00154181	0.00290305	0.0225275	0.00394148	0.133198	0.23965	0.369012	0.171613	0.030686	0.0060587	0.00133818	0.0175303
ώ	0.0077099	0.00861562	0.0207583	0.00949768	0.104375	0.261593	0.31559	0.132838	0.0884111	0.00389723	0.00958369	0.0371307
ώ	0.000793557	0.00274382	0.0189194	0.00334949	0.0600557	0.164074	0.373316	0.272516	0.051543	0.0122652	0.00639713	0.0340262
l	0.00169852	0.000920086	0.0173125	0.0032199	0.0812509	0.200694	0.099634	0.329167	0.141669	0.0816506	0.00550333	0.0372799
i	0.00546106	0.00280171	0.0283089	0.00435331	0.0597003	0.138007	0.0383729	0.251428	0.20071	0.0829964	0.00464667	0.183213
l	0.00304214	0.000930049	0.0168901	0.00185654	0.0576842	0.123018	0.0674316	0.330478	0.151804	0.149424	0.0132462	0.0841951
í	0.00278551	0.00159053	0.0115386	0.00281853	0.0290077	0.0696894	0.0324908	0.2257	0.25788	0.0969139	0.00820853	0.261377
i	0.00158079	0.00247657	0.00680435	0.000726801	0.0214859	0.0541706	0.0498961	0.422848	0.216088	0.105449	0.0298747	0.0885986
t	0.00308705	0.0044404	0.00480084	0.00238367	0.00748529	0.0191528	0.0335227	0.246443	0.407627	0.0589471	0.0796418	0.132468
á	0.000256884	0.0015087	0.0019273	0.00044217	0.00417487	0.0150359	0.0304305	0.14147	0.328737	0.0194398	0.34335	0.113227
á	0.00178635	0.00154875	0.00418097	0.000346538	0.0111632	0.0356892	0.020216	0.185685	0.226306	0.045909	0.354523	0.112646
p	0.000933657	0.000411165	0.00331235	0.0013762	0.00696753	0.0123127	0.00242218	0.103541	0.240544	0.416136	0.041503	0.17054
o	0.000276349	0.000322693	0.000869702	0.000112543	0.00124852	0.00312471	0.00447352	0.0104566	0.069536	0.0188915	0.832696	0.0579919
o	4.38117e-05	3.60668e-05	0.000114202	2.47719e-05	0.000408519	0.00155564	0.021691	0.00776333	0.0248566	0.0112097	0.898188	0.0341079
é	0.00116211	0.000216405	0.00501917	0.000265439	0.0118289	0.0202831	0.00702509	0.0166634	0.137487	0.334172	0.0602604	0.405618
t	0.00371236	0.00137354	0.062408	0.00223931	0.0578637	0.0427844	0.0297368	0.0251982	0.142973	0.259491	0.0777198	0.2945
s	0.000411345	0.000568643	0.00313746	0.000326332	0.00627014	0.0132026	0.0264225	0.0159852	0.191291	0.0737808	0.552904	0.1157
ω	0.000293407	0.000837104	0.00234549	0.000435304	0.00710669	0.0173985	0.0171998	0.0695488	0.229361	0.101003	0.391547	0.162924
</S>	0.000971035	0.000413053	0.00263563	0.000203836	0.00573555	0.00814862	0.00353946	0.0132958	0.0806202	0.0841703	0.0730211	0.727245
