 	ses	yeux	laissent	couler	de	larmes	</S>
w	0.965197	0.0322877	0.000262743	0.00121781	0.000943856	1.53729e-05	7.54664e-05
a	0.936118	0.0608715	5.85535e-05	0.000441025	0.00246825	1.92114e-06	4.04394e-05
m	0.240577	0.741651	0.00332801	0.00223911	0.00979232	0.000359288	0.00205317
í	0.0392792	0.948795	0.000764134	0.000407653	0.00509382	2.76595e-05	0.00563261
s	0.219243	0.64757	0.0176861	0.0127717	0.0217499	0.00088474	0.0800953
í	0.213455	0.414636	0.00905384	0.0232984	0.105315	0.0333557	0.200886
m	0.0856723	0.491606	0.173374	0.0393063	0.0878384	0.0145656	0.107638
á	0.0993235	0.761456	0.11496	0.00250153	0.0104431	0.000103209	0.0112134
a	0.111301	0.320758	0.421029	0.0748782	0.0317299	0.00465963	0.0356444
p	0.00337266	0.020767	0.767366	0.161796	0.0181324	0.0111059	0.0174602
f	0.000219889	0.000461493	0.856078	0.129154	0.00209838	0.00719714	0.00479035
e	0.0002812	0.000545736	0.853368	0.13974	0.00187148	0.00173091	0.00246193
e	0.00117705	0.00185135	0.90594	0.0634838	0.00622718	0.00299697	0.0183236
s	0.00412387	0.0072624	0.419211	0.377982	0.138369	0.00345407	0.0495982
á	0.0109124	0.00485526	0.139905	0.642508	0.110402	0.0133535	0.0780642
a	0.00941768	0.0157956	0.142715	0.213064	0.466764	0.0928149	0.0594288
t	0.00176312	0.00411975	0.0663229	0.515292	0.137261	0.250003	0.0252389
s	0.00147835	0.000625998	0.187898	0.44872	0.0527116	0.232564	0.0760014
á	0.00040366	0.00017597	0.11821	0.682177	0.0573269	0.0992378	0.0424687
n	0.00441548	0.00235416	0.214332	0.141859	0.144423	0.0976404	0.394975
g	0.00136306	0.00103219	0.0115816	0.226271	0.173409	0.310177	0.276166
á	0.00331781	0.000746345	0.000479723	0.185115	0.301198	0.261019	0.248124
</S>	0.00982833	0.00636066	0.00900396	0.0417344	0.386403	0.190826	0.355844
