 	il	taille	une	canne	de	bambou	</S>
w	0.927034	0.0254396	0.0119452	0.0204274	0.0143699	0.000725391	5.84788e-05
a	0.901992	0.00208906	0.00638693	0.025902	0.0587997	0.00468782	0.000142945
l	0.193961	0.613236	0.107521	0.0437063	0.0238167	0.00293407	0.0148257
á	0.0888416	0.143535	0.0832606	0.0558057	0.0607627	0.011534	0.55626
a	0.409446	0.111882	0.120548	0.0630205	0.100525	0.0219106	0.172666
p	0.020147	0.756251	0.194473	0.018448	0.00151353	0.00258505	0.00658266
á	0.00449923	0.716886	0.225069	0.0363526	0.00108555	0.00196613	0.0141414
á	0.00600531	0.558722	0.333259	0.0794984	0.00697252	0.00330129	0.012242
o	0.087477	0.0552118	0.253442	0.422245	0.16056	0.00850237	0.0125618
t	0.00146497	0.0370631	0.235603	0.544947	0.0683056	0.107318	0.00529765
ú	0.00203483	0.0549718	0.162458	0.570045	0.0266338	0.163354	0.0205028
m	0.000364321	0.019341	0.124825	0.739515	0.0274421	0.0198381	0.0686737
u	0.0074538	0.00895264	0.0583352	0.708079	0.112679	0.0440741	0.0604259
m	0.00508528	0.0140146	0.0987324	0.117473	0.393909	0.14943	0.221356
ó	0.00395031	0.0013281	0.029762	0.0948792	0.299946	0.281653	0.288481
b	0.00390661	0.00512657	0.0253722	0.0967518	0.268675	0.521193	0.0789753
a	0.00949434	0.000728687	0.00856399	0.020818	0.116189	0.804388	0.0398182
m	0.000722956	0.000318108	0.00274908	0.0180571	0.0248281	0.815023	0.138301
b	0.0030922	0.000798356	0.00776727	0.0254512	0.134126	0.66395	0.164815
ú	0.0037463	0.000797648	0.0138423	0.0647255	0.127418	0.582346	0.207125
</S>	0.000777829	0.00259315	0.0293891	0.0504498	0.139872	0.0574013	0.719516
