 	il	a	amené	son	chef	avec	lui	</S>
w	0.823504	0.111326	0.0372177	0.019859	0.00581959	0.00179205	0.000271557	0.000210208
a	0.82258	0.0673757	0.0102666	0.086182	0.00054474	0.0106095	0.0021421	0.000299768
á	0.120557	0.565694	0.150922	0.133251	0.0114147	0.00600731	0.00493297	0.00722198
b	0.0271718	0.358217	0.505679	0.0613812	0.0157912	0.0132302	0.00392891	0.014601
é	0.0243197	0.194728	0.588408	0.115187	0.0344617	0.012504	0.0025164	0.0278749
r	0.00252456	0.0966942	0.635391	0.115516	0.0383376	0.010972	0.00508606	0.0954791
i	0.0217197	0.0714009	0.236043	0.420793	0.149059	0.0203026	0.0235695	0.0571125
o	0.0531614	0.115386	0.378486	0.271159	0.0168564	0.102567	0.034359	0.0280257
k	0.000921786	0.00498552	0.0148006	0.0485913	0.84187	0.0538057	0.0275619	0.00746319
o	2.90196e-05	0.000131011	0.000635329	0.00458345	0.988221	0.00189944	0.00244945	0.00205165
n	7.54109e-05	0.000400237	0.00402226	0.00667574	0.977693	0.00609522	0.00246412	0.00257405
d	0.0011506	0.00230323	0.00353109	0.0202236	0.91484	0.011006	0.004185	0.0427606
z	0.0260825	0.00970015	0.00672165	0.0335788	0.855786	0.00532921	0.00590214	0.0568993
i	0.00906582	0.00458813	0.00568965	0.0667312	0.848948	0.00996109	0.0210667	0.0339497
y	0.0081522	0.0244281	0.073158	0.135338	0.0950323	0.48294	0.0472522	0.1337
a	0.013393	0.011239	0.0241825	0.159988	0.0204484	0.159154	0.291659	0.319936
w	0.0166503	0.0116734	0.0407025	0.266388	0.0171219	0.287366	0.304816	0.0552822
a	0.0492453	0.0361683	0.14779	0.240713	0.00856016	0.221784	0.270579	0.0251597
</S>	0.000914749	0.00128973	0.0113053	0.0303824	0.00414847	0.391972	0.301801	0.258186
