 	il	a	raison	dans	cette	affaire	</S>
m	0.484752	0.267979	0.10982	0.0748319	0.0506871	0.0102397	0.00168954
í	0.065804	0.426882	0.0970237	0.134468	0.129612	0.0580945	0.0881156
b	0.0840349	0.113707	0.241265	0.0723452	0.0384983	0.29544	0.154709
h	0.144002	0.0960351	0.258606	0.109964	0.0325312	0.330767	0.0280952
ώ	0.380803	0.111411	0.192144	0.118957	0.0957777	0.0390966	0.0618106
ω	0.294271	0.318327	0.149852	0.0819777	0.0955562	0.0143956	0.0456207
d	0.110449	0.384788	0.255544	0.10406	0.0703742	0.0051074	0.0696774
í	0.0157677	0.0971974	0.151339	0.228208	0.0661045	0.0035975	0.437786
i	0.00761085	0.0379061	0.0700389	0.307843	0.109674	0.0291779	0.437749
w	0.0243366	0.137078	0.236906	0.167744	0.111261	0.0433783	0.279296
a	0.037374	0.057736	0.488446	0.135922	0.14863	0.0661464	0.0657454
a	0.0161043	0.052438	0.117832	0.282391	0.146982	0.186064	0.198189
d	0.00957818	0.0604904	0.0661504	0.281696	0.229052	0.0854046	0.267629
í	0.000836623	0.00448041	0.00605991	0.117499	0.0578125	0.0143644	0.798947
l	0.00224589	0.00823078	0.0153336	0.265718	0.203002	0.12082	0.384649
o	0.00327759	0.0137135	0.0126469	0.0887321	0.117368	0.046679	0.717583
s	0.00201574	0.0229133	0.031581	0.114885	0.591708	0.0855713	0.151326
u	0.00165228	0.0134865	0.0153889	0.264777	0.438394	0.0413556	0.224946
é	0.00117877	0.00436615	0.00997586	0.116379	0.310171	0.0248163	0.533114
</S>	0.000960984	0.00641027	0.0108682	0.168241	0.350019	0.0769936	0.386506
