 	elle	remplit	son	verre	jusqu'	au	bord	</S>
w	0.987834	0.00107483	0.00949741	7.37338e-05	3.63751e-05	0.00142557	4.97186e-05	8.59893e-06
a	0.97503	0.000240043	0.0199721	7.67987e-05	3.98593e-05	0.00425124	0.000381048	9.23023e-06
l	0.830263	0.072796	0.0781987	0.00638245	0.00112127	0.00698387	0.00069108	0.00356364
á	0.0672275	0.213076	0.048828	0.121801	0.0349538	0.0247605	0.00567531	0.483678
a	0.47734	0.108549	0.154601	0.0734433	0.00891657	0.0455253	0.00853882	0.123087
n	0.00275283	0.976055	0.00164316	0.0103088	0.00696579	0.000546363	0.000235787	0.00149172
y	0.00211347	0.994264	0.000387495	0.00194173	7.5867e-05	0.000107709	8.55928e-06	0.00110112
á	0.0069251	0.969918	0.00304071	0.0128559	0.000842636	0.000747439	0.000101271	0.00556868
á	0.0203999	0.154359	0.523238	0.14712	0.0375453	0.0212857	0.00447225	0.0915798
s	0.028087	0.00624342	0.780881	0.121923	0.0380406	0.0183415	0.00160797	0.0048757
á	0.0138351	0.138553	0.112721	0.480304	0.0650291	0.0403723	0.0097764	0.139409
e	0.06627	0.00478813	0.427517	0.352976	0.0447043	0.0710389	0.0123795	0.0203261
w	0.00169632	0.0494547	0.0126693	0.742204	0.11526	0.0233763	0.0385073	0.0168325
á	0.000528781	0.0462721	0.00388578	0.486186	0.28249	0.0398306	0.115345	0.025462
l	0.00163166	0.00921786	0.0228586	0.236293	0.550281	0.0313263	0.032988	0.115404
á	0.00168589	0.0639125	0.0171453	0.328107	0.413866	0.0494422	0.0209168	0.104924
y	0.00371439	0.00328579	0.0352626	0.144717	0.352196	0.319914	0.0635937	0.0773168
á	0.112567	0.0115595	0.150575	0.119776	0.198069	0.264767	0.0539318	0.0887548
w	0.0194234	0.00358958	0.0537028	0.0284201	0.0358229	0.43971	0.359123	0.0602077
a	0.0242567	0.00279585	0.0476337	0.0921607	0.10661	0.353683	0.322172	0.0506884
ó	0.000632126	0.000249572	0.00452417	0.020016	0.0898194	0.331797	0.368938	0.184023
t	0.00333484	0.00514978	0.00638126	0.0368988	0.0907111	0.274236	0.505882	0.0774057
s	0.000155979	0.00127232	0.000603749	0.00735214	0.0655608	0.15638	0.732277	0.036398
ώ	0.000215128	0.00313449	0.000564312	0.00720345	0.0544801	0.103599	0.784762	0.0460419
b	0.000119114	0.000340158	0.00302925	0.00768726	0.0511169	0.0888222	0.277041	0.571845
a	0.00346313	0.00246001	0.00534826	0.0162676	0.0331855	0.127866	0.756732	0.0546784
</S>	0.00144608	0.00076122	0.00302619	0.00847383	0.0233203	0.0506811	0.423129	0.489162
