 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
w	0.287519	0.0981906	0.0791175	0.107137	0.021327	0.0262182	0.0223348	0.109844	0.0251602	0.0383057	0.137069	0.0327498	0.0123878	0.00263902
a	0.465572	0.10711	0.0471672	0.0816786	0.0318348	0.0551903	0.0862202	0.0623602	0.0109947	0.00815503	0.0213538	0.0134711	0.00815697	0.000735903
a	0.0682847	0.261281	0.12805	0.0504579	0.0281879	0.0510149	0.0227975	0.129445	0.0731469	0.0335044	0.048281	0.0827444	0.00213337	0.0206707
s	0.0282522	0.135652	0.148773	0.0660276	0.0840472	0.0369986	0.10619	0.0375234	0.0508471	0.0637717	0.0453807	0.100875	0.0278488	0.0678123
á	0.00273044	0.134816	0.278196	0.0662557	0.15393	0.0225558	0.148858	0.00578793	0.0213354	0.00842385	0.0121774	0.0246518	0.00106708	0.119214
a	0.00674055	0.0466468	0.244398	0.0976725	0.0962457	0.13842	0.0485648	0.00926832	0.0125496	0.00475731	0.016485	0.0103722	0.00215139	0.265728
a	0.0265141	0.0613039	0.192242	0.17658	0.129203	0.173883	0.065238	0.0699457	0.0221764	0.0410662	0.0130191	0.0109177	0.00279542	0.0151148
y	0.00311971	0.0440026	0.092381	0.132178	0.198312	0.0565487	0.0771402	0.075893	0.113324	0.0741223	0.0350561	0.0416808	0.0148822	0.0413598
ú	0.00475986	0.0750813	0.0974442	0.0573218	0.20587	0.128165	0.237588	0.016954	0.0508348	0.0516797	0.0167211	0.013958	0.00284404	0.0407781
r	0.00411386	0.0324295	0.0685617	0.0467704	0.0954061	0.114441	0.0179316	0.028342	0.0734694	0.0333278	0.0153272	0.0370515	0.0020335	0.430794
u	0.0154669	0.0536546	0.133117	0.130836	0.0602174	0.317413	0.0164929	0.0421427	0.0527085	0.0422906	0.0462524	0.0247993	0.00491459	0.0596934
o	0.012353	0.0440068	0.0945671	0.0996735	0.0809851	0.24647	0.00799601	0.181617	0.0757998	0.0712558	0.0449045	0.0161076	0.00785997	0.0164035
y	0.0022811	0.0142987	0.0307271	0.0732079	0.187651	0.0361169	0.0313204	0.0951985	0.169898	0.215355	0.103197	0.0231673	0.0110809	0.00650082
