 	notre	père	a	l'	habitude	de	manger	de	la	cola	</S>
t	0.217954	0.759824	0.00817739	0.0021573	0.00149375	0.00292449	0.00169359	0.00135594	0.00117203	0.00318191	6.57281e-05
á	0.125456	0.833668	0.0123856	0.00612158	0.00326084	0.0044345	0.00394132	0.00272466	0.0027929	0.00507916	0.000135704
á	0.0536947	0.904933	0.0116053	0.00854711	0.00116191	0.00163971	0.00681576	0.0012546	0.000564826	0.000440274	0.0093423
y	0.412313	0.283414	0.16869	0.0196481	0.0338147	0.0133917	0.00384689	0.00603567	0.00648821	0.00039243	0.0519661
a	0.300454	0.271592	0.145696	0.0737389	0.0737005	0.0301306	0.0158755	0.00858773	0.0120696	0.00157595	0.0665799
b	0.689663	0.0525461	0.087204	0.0271715	0.0580799	0.0187532	0.00321966	0.00264026	0.00564128	0.000341188	0.0547399
í	0.894426	0.0100667	0.0329465	0.0303595	0.00991126	0.00835641	0.00329222	0.00184894	0.00334824	0.00370028	0.00174459
s	0.903413	0.0701856	0.00936739	0.00646068	0.00251944	0.00253288	0.00114405	0.000621954	0.000853839	0.000587185	0.00231361
í	0.12736	0.0114425	0.113746	0.133332	0.185981	0.0931388	0.028002	0.0261456	0.0281971	0.0050589	0.247596
l	0.0130579	0.0207711	0.386552	0.185151	0.150092	0.114559	0.0295843	0.024577	0.019766	0.00519333	0.0506963
á	0.00672575	0.00680965	0.219423	0.115797	0.179173	0.0638241	0.0284867	0.0246886	0.0185663	0.00300682	0.3335
a	0.0649212	0.00631615	0.202144	0.194636	0.0961853	0.0920878	0.119784	0.0295613	0.0214694	0.0203753	0.15252
d	0.00158568	0.000586207	0.148689	0.19499	0.0409751	0.0457986	0.290556	0.0232432	0.0131538	0.153564	0.0868577
z	0.000240167	0.000167614	0.0294696	0.248852	0.0283039	0.0294311	0.323079	0.0443429	0.0223652	0.13335	0.140399
á	0.00671481	0.0179422	0.110078	0.309609	0.0277789	0.0298587	0.35917	0.0392387	0.0129746	0.0267613	0.0598727
á	0.000992745	0.00100567	0.0236255	0.084933	0.0774552	0.134157	0.140306	0.116767	0.0839726	0.106312	0.230474
a	0.00644411	0.000573886	0.0151135	0.0245442	0.0607303	0.0741123	0.0698103	0.170138	0.320464	0.117737	0.140331
b	0.000335931	2.03982e-05	0.00308607	0.00933342	0.00753197	0.00706821	0.0382946	0.0222595	0.0292111	0.86296	0.0198986
e	0.000755893	7.49303e-05	0.00293736	0.00939183	0.00465257	0.0088768	0.015451	0.0128162	0.0142078	0.926741	0.00409445
s	0.000101647	2.59023e-05	0.00172403	0.0141999	0.00775771	0.0128258	0.0556339	0.0606467	0.0631937	0.63025	0.153641
í	0.000150041	8.09027e-05	0.00343572	0.0343226	0.0370836	0.0542496	0.15239	0.162345	0.0983501	0.122128	0.335464
</S>	0.0111795	0.000625212	0.011142	0.0143716	0.0507601	0.0390643	0.0278601	0.0854803	0.124179	0.0348696	0.600469
