 	de	la	manière	qu'	il	a	de	mandé	son	père	il	y	a	longtemps	qu'	il	l'	a	vu	</S>
e	0.308661	0.35422	0.199148	0.0969131	0.0216125	0.0110759	0.00369037	0.00102338	0.000701878	0.000186851	0.000255626	0.000401412	0.000177487	0.000243657	0.000314676	0.000115232	0.0002985	8.22833e-05	0.000190142	0.000688006
m	0.00646907	0.0170253	0.0094318	0.0343509	0.0236124	0.283181	0.160024	0.455086	0.00108212	0.000133865	0.000658802	0.000411159	0.000740515	0.0028434	0.000271366	0.000691389	0.000802277	0.000419604	0.00187304	0.000892141
a	0.00859976	0.00290204	0.00136996	0.00287049	0.0135028	0.15352	0.110475	0.705347	0.000163595	8.00414e-05	6.68518e-05	1.09435e-05	6.83133e-05	0.000559643	2.58582e-05	8.57681e-05	3.51179e-05	1.9773e-05	1.37865e-05	0.000283547
a	0.00740662	0.00111159	0.00127569	0.00192762	0.0117448	0.122921	0.197701	0.640503	0.000490473	0.00023136	0.000599593	0.00016962	0.000641432	0.0028288	0.000486122	0.000993895	0.000359195	0.00026291	0.000279308	0.00806548
s	0.0221012	0.0263733	0.0183753	0.0327808	0.136882	0.209614	0.292806	0.112539	0.0316197	0.00600342	0.0170144	0.00778556	0.00616416	0.00929848	0.00991938	0.018074	0.00687367	0.00521034	0.00133637	0.0292296
í	0.0299343	0.0312412	0.00827371	0.00966236	0.0137679	0.0843732	0.13696	0.399237	0.0345176	0.0107872	0.0231107	0.00787595	0.0143448	0.0180635	0.00740191	0.0221561	0.0096561	0.00692041	0.00234442	0.129372
l	0.107467	0.270956	0.0986513	0.0541392	0.0514354	0.0713262	0.110616	0.0327741	0.0217851	0.00226986	0.0147865	0.0115686	0.0114213	0.00774038	0.0201894	0.0161634	0.0174302	0.00893847	0.00317774	0.0671633
í	0.188076	0.107269	0.0327672	0.0878252	0.0563097	0.0615988	0.0734503	0.0670489	0.0419284	0.00988855	0.0186994	0.00866427	0.0161118	0.0131561	0.00778513	0.0168864	0.0123468	0.0101628	0.00553952	0.164486
y	0.0370743	0.137897	0.271464	0.126995	0.0726411	0.0474027	0.0556857	0.0257925	0.022298	0.00689355	0.0147352	0.0111069	0.0105546	0.0121297	0.0349772	0.0329908	0.0293296	0.0118372	0.00212996	0.0360646
é	0.0734699	0.107271	0.102955	0.255455	0.0995657	0.0860452	0.0514442	0.0252775	0.0563993	0.0291975	0.0114287	0.00773462	0.0110034	0.00712638	0.00670592	0.0177733	0.0157696	0.00816402	0.00191257	0.025301
é	0.0476929	0.094227	0.105903	0.1929	0.139172	0.108918	0.070717	0.0525364	0.0287172	0.0253107	0.0119495	0.00739947	0.00902614	0.00914073	0.0125741	0.0169502	0.0167422	0.0065054	0.00231349	0.0413043
m	0.0054757	0.00205516	0.00603147	0.0308116	0.0584126	0.306863	0.206285	0.281977	0.00493394	0.0154835	0.00405756	0.00254263	0.00380356	0.00508752	0.00165595	0.00303882	0.00353099	0.00876413	0.0184202	0.0307691
a	0.00287267	0.00113939	0.000561203	0.00256816	0.0166303	0.115507	0.12901	0.670764	0.0185821	0.00598525	0.0144721	0.00246528	0.00460685	0.00551019	0.00117859	0.00242653	0.00104342	0.00125639	0.000106389	0.00331427
a	0.00223749	0.000588932	0.0025565	0.00679844	0.0139699	0.167373	0.214865	0.560439	0.00389395	0.00508957	0.00285236	0.00114347	0.00219744	0.00239524	0.00113387	0.00129621	0.000956253	0.000866707	0.00136627	0.00798009
s	0.000594791	0.000245779	0.000706658	0.00345981	0.0121004	0.0699208	0.154615	0.696666	0.0120211	0.00861754	0.00449135	0.00182142	0.0023102	0.00458963	0.00175278	0.00258555	0.00206912	0.00173367	0.00300992	0.0166878
í	0.00135427	0.00157796	0.00647068	0.0298596	0.0254262	0.200055	0.25526	0.232814	0.0791079	0.0238659	0.0151264	0.00984557	0.0131157	0.0120673	0.00592366	0.0110303	0.0138003	0.00729203	0.00600577	0.0500018
w	0.00121528	0.00359444	0.00526965	0.0552977	0.0515116	0.138729	0.0827323	0.186631	0.195034	0.148935	0.0347751	0.0191308	0.013066	0.00998366	0.00646134	0.00873741	0.00756629	0.0054709	0.00250573	0.0233529
