 	pourquoi	tu	ne	me	parles	plus	</S>
n	0.602554	0.340605	0.0371632	0.00439328	0.0109031	0.00297679	0.00140457
ω	0.829747	0.160719	0.0021298	0.00556951	0.00120837	0.000512956	0.000112644
o	0.650033	0.255708	0.0423986	0.0205498	0.00726897	0.0107423	0.0133
b	0.0562778	0.184223	0.607811	0.0380461	0.0318462	0.0381691	0.0436269
h	0.00810326	0.0181642	0.441847	0.046472	0.169451	0.0480053	0.267957
i	0.00430812	0.0116493	0.423551	0.076307	0.332751	0.0289443	0.122489
n	0.077523	0.0701157	0.49839	0.081828	0.0540528	0.0269136	0.191177
g	0.283629	0.296987	0.148294	0.128593	0.0248846	0.0132539	0.104358
á	0.173883	0.422397	0.116672	0.240171	0.0157987	0.00172483	0.0293538
o	0.0447245	0.134128	0.372446	0.273453	0.118976	0.0317236	0.0245493
b	0.000638497	0.00553812	0.210894	0.405007	0.318653	0.0463551	0.012914
v	0.000580824	0.00150418	0.111262	0.0357846	0.642505	0.153199	0.0551641
ú	0.00110112	0.00546142	0.098148	0.0543071	0.674156	0.0837882	0.0830382
r	0.0203259	0.0134038	0.0680741	0.150907	0.495169	0.0737843	0.178336
á	0.0340522	0.055074	0.0710249	0.420694	0.166165	0.0589677	0.194023
o	0.0119319	0.0314059	0.0725295	0.334383	0.249146	0.225022	0.0755817
t	0.000287678	0.000534174	0.0261597	0.0655867	0.272777	0.562313	0.0723413
á	0.000112324	0.000331243	0.038533	0.03354	0.327318	0.438795	0.16137
n	0.000782425	0.00096159	0.034789	0.0871273	0.204646	0.446737	0.224956
g	0.00420334	0.00871216	0.0140181	0.218664	0.427788	0.232256	0.094358
a	0.0689371	0.0660913	0.0139958	0.44375	0.115763	0.112176	0.179287
k	0.00445325	0.0083215	0.0113213	0.114236	0.173819	0.171217	0.516632
a	0.0037723	0.00102671	0.00898639	0.00992814	0.42572	0.44714	0.103426
á	0.000508336	0.00028007	0.00102985	0.00665273	0.10047	0.253881	0.637178
m	0.00440247	0.00992591	0.0169782	0.0711778	0.0793405	0.104736	0.713439
b	0.00444305	0.00127047	0.0488969	0.029014	0.20488	0.19955	0.511946
é	0.00217745	0.000751547	0.00465023	0.0152908	0.237556	0.224089	0.515485
á	0.000370436	0.000350006	0.00628186	0.0167386	0.169955	0.184159	0.622145
n	0.00203553	0.00346736	0.0314	0.0794774	0.0896887	0.127192	0.666739
d	0.0240429	0.0225805	0.0164331	0.239168	0.0525665	0.0586285	0.586581
e	0.0168339	0.0199762	0.00659546	0.164391	0.0182063	0.051938	0.722059
</S>	4.47915e-05	9.47326e-05	0.00142241	0.0226435	0.0280726	0.0592295	0.888492
