 	quel	événement	insolite	le	chef	coutumier	atsaa	est	mort	</S>
y	0.695101	0.236002	0.0348506	0.0139879	0.0176067	0.00141674	5.15084e-05	0.00066542	0.000201483	0.000116223
é	0.901324	0.0404929	0.0356292	0.00391597	0.00213384	0.0040265	0.00105868	0.00382187	0.00396171	0.00363516
e	0.537692	0.102384	0.251133	0.0300451	0.0117782	0.00440812	0.00483745	0.0179815	0.0199798	0.01976
n	0.412204	0.419427	0.0509049	0.0275556	0.0290858	0.0133324	0.011761	0.00515846	0.00389821	0.0266727
d	0.613459	0.0760716	0.0597078	0.0463895	0.0464701	0.0606292	0.00348688	0.00962382	0.0106726	0.073489
z	0.584433	0.132537	0.083893	0.0343814	0.0290409	0.0372506	0.00254426	0.0125063	0.0171534	0.0662594
e	0.451824	0.174459	0.259342	0.0150151	0.0107701	0.0342279	0.000680827	0.00272917	0.00605	0.0449024
m	0.402626	0.166533	0.258178	0.0721181	0.0441995	0.0111581	0.00115649	0.00421972	0.0028489	0.0369624
í	0.185642	0.237948	0.449403	0.0728389	0.0171074	0.0111996	0.00332145	0.00247971	0.00243414	0.0176248
w	0.191101	0.163385	0.312215	0.17406	0.0290351	0.0188487	0.0229804	0.015946	0.00667577	0.0657536
á	0.0204527	0.0195863	0.428485	0.142463	0.0437212	0.0209418	0.171072	0.0614281	0.021941	0.0699089
r	0.0304554	0.0218773	0.297775	0.208082	0.0640616	0.104433	0.0884572	0.0248494	0.013413	0.146595
e	0.0568304	0.0327111	0.117226	0.112285	0.0887964	0.349537	0.00959937	0.0516513	0.0334128	0.14795
b	0.0231876	0.0395461	0.175527	0.644082	0.0411466	0.0111339	0.0189886	0.0285386	0.00589444	0.0119551
o	0.161553	0.0802596	0.297898	0.17629	0.13571	0.086442	0.0295481	0.00620888	0.00667948	0.0194108
m	0.0178933	0.0119077	0.0720079	0.458341	0.317742	0.0620127	0.0418134	0.00846549	0.00298947	0.0068269
w	0.0500221	0.0267287	0.0317645	0.155393	0.135672	0.476835	0.0145627	0.0421841	0.0209804	0.0458577
ε	0.000913969	0.000502707	0.00622768	0.00422127	0.0197574	0.965501	0.000784209	0.000266172	0.000863928	0.00096159
n	0.000670305	0.00936587	0.0586748	0.0651135	0.251363	0.316776	0.0328648	0.00602577	0.0285914	0.230555
έ	0.0128085	0.0255419	0.0977246	0.246917	0.370765	0.143634	0.00853026	0.0166484	0.0200855	0.057345
a	0.00680578	0.00921758	0.0284777	0.376684	0.122734	0.0478478	0.209289	0.144531	0.0132041	0.041209
t	0.00537216	0.00716772	0.00535703	0.139694	0.0551521	0.00711135	0.493674	0.217114	0.0356918	0.0336662
s	0.000360358	0.000928769	0.00696113	0.0236494	0.0450905	0.00667441	0.786053	0.0573925	0.0292341	0.043656
a	0.000413471	0.00164728	0.0060225	0.0695815	0.092564	0.00975009	0.633077	0.0989014	0.0393523	0.0486908
a	0.000645077	0.0010409	0.00177813	0.048099	0.0180085	0.0113474	0.492241	0.12186	0.0717298	0.23325
á	0.00230757	0.00447875	0.00328122	0.0325699	0.0118074	0.00320019	0.208205	0.482707	0.112479	0.138965
m	0.00554833	0.0114356	0.00605282	0.0230247	0.0141635	0.00167255	0.091104	0.259447	0.451489	0.136062
i	0.00140478	0.00394351	0.000914912	0.0190786	0.00298974	0.0020065	0.015421	0.213722	0.384684	0.355835
s	0.00413046	0.00436896	0.00374742	0.00569753	0.0141608	0.00738909	0.0693922	0.153488	0.285062	0.452563
í	0.00132073	0.00752958	0.00296354	0.0268531	0.00714384	0.00291888	0.014374	0.227959	0.431686	0.277251
á	0.000531429	0.000307865	0.000949702	0.0118894	0.00349385	0.00276076	0.0548692	0.205943	0.185086	0.534169
o	0.00145317	0.00187443	0.00644131	0.0113316	0.00960497	0.00436198	0.0593238	0.432404	0.362598	0.110607
w	0.000876538	0.00730294	0.00205008	0.00506787	0.00650766	0.00228272	0.00513239	0.0365608	0.784658	0.149561
á	0.00168894	0.00531891	0.0117514	0.00999104	0.00745272	0.0213687	0.0584365	0.0369297	0.519541	0.327522
a	0.000251478	0.000585917	0.00254454	0.00338189	0.00232663	0.00372716	0.0845312	0.0518797	0.428476	0.422296
</S>	0.00102826	0.00252203	0.00357402	0.00694433	0.00613049	0.00107832	0.0270428	0.202614	0.460963	0.288102
