 	il	pétrit	la	peau	pour	s'	assouplir	</S>
w	0.932419	0.00863483	0.020322	0.0166237	0.0153261	0.00600247	0.000579459	9.27399e-05
a	0.823262	0.00242437	0.0485983	0.0257676	0.0572247	0.041365	0.00125655	0.000101113
l	0.404666	0.297773	0.227798	0.0204902	0.013598	0.016486	0.00581305	0.0133748
á	0.121363	0.0648489	0.255839	0.0362215	0.0693123	0.0842383	0.0415927	0.326584
a	0.265975	0.0521257	0.201097	0.0241916	0.0560481	0.0809679	0.0637561	0.255839
k	0.0158752	0.882269	0.0521485	0.0356535	0.00166699	0.0016756	0.000936482	0.00977472
ώ	0.0283964	0.726065	0.117234	0.117685	0.00334773	0.00163475	0.00038428	0.00525184
ώ	0.0122595	0.404204	0.242977	0.306936	0.0110432	0.00467617	0.000600529	0.0173034
e	0.01658	0.0313213	0.66905	0.217298	0.0410865	0.00895608	0.000926065	0.0147819
k	0.00638667	0.00450591	0.215452	0.498253	0.221543	0.0399947	0.00516363	0.00870148
ó	0.0025493	0.00418519	0.0176335	0.863517	0.0936558	0.00894265	0.00446669	0.00504999
r	0.00159874	0.00887097	0.0167791	0.892989	0.0564575	0.0107327	0.00219002	0.0103822
ó	0.00820119	0.038163	0.101222	0.602196	0.102518	0.0145503	0.00500586	0.128144
b	0.027578	0.0100013	0.305161	0.167833	0.270921	0.149178	0.0148257	0.0545025
a	0.0963555	0.00318637	0.0703811	0.110929	0.304122	0.17645	0.13634	0.102237
á	0.00581153	0.000874254	0.0420654	0.0411782	0.346685	0.319369	0.0951982	0.148819
l	0.0161544	0.00591952	0.0619094	0.0302601	0.170443	0.445197	0.0385921	0.231525
á	0.00967412	0.00558925	0.035347	0.0129315	0.041397	0.154858	0.172574	0.567629
a	0.0100687	0.00135802	0.0444712	0.0131352	0.173937	0.304393	0.3584	0.0942371
y	0.00698349	0.0860469	0.0872426	0.0998751	0.0688347	0.251844	0.186903	0.21227
a	0.000742797	0.0729805	0.0423241	0.0144206	0.0326491	0.112271	0.153207	0.571404
á	0.000233029	0.00272265	0.0193608	0.00892923	0.102869	0.14369	0.0302371	0.691958
ω	0.00343003	0.00458846	0.0442135	0.01057	0.0587343	0.238448	0.0933948	0.546621
k	0.00577343	0.0173576	0.0477207	0.0508857	0.0520186	0.145402	0.22086	0.459981
ω	0.000912784	0.0362117	0.011737	0.249008	0.0476959	0.0638753	0.384698	0.205861
ώ	0.000353001	0.00351147	0.00343117	0.101538	0.093097	0.0886844	0.422514	0.286871
</S>	0.00337988	0.00060471	0.0322866	0.0193654	0.196454	0.182375	0.114647	0.450888
